Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,32.15,0,0%,1.71,18.8,17.1,21.89,26.68,31.46,36.25,41.04
24W52,32.15,+2.65,+8.98%,1.71,18.8,17.1,21.89,26.68,31.46,36.25,41.04
24W51,29.5,-1.85,-5.9%,1.69,17.45,16.9,21.64,26.37,31.1,35.84,40.57
24W50,31.35,-1.3,-3.98%,1.67,18.76,16.71,21.39,26.06,30.74,35.42,40.1
24W49,32.65,+1.75,+5.66%,1.65,19.77,16.51,21.13,25.76,30.38,35,39.63
24W48,30.9,+0.25,+0.82%,1.63,18.94,16.32,20.88,25.45,30.02,34.59,39.16
24W47,30.65,+1.1,+3.72%,1.61,19.01,16.12,20.63,25.15,29.66,34.17,38.69
24W46,29.55,+0.25,+0.85%,1.59,18.56,15.92,20.38,24.84,29.3,33.76,38.22
24W45,29.3,-0.2,-0.68%,1.57,18.63,15.73,20.13,24.53,28.94,33.34,37.74
24W44,29.5,+0.4,+1.37%,1.55,18.99,15.53,19.88,24.23,28.58,32.93,37.27
24W43,29.1,-0.95,-3.16%,1.53,18.98,15.33,19.63,23.92,28.22,32.51,36.8
24W42,30.05,-0.6,-1.96%,1.51,19.85,15.14,19.38,23.62,27.85,32.09,36.33
24W41,30.65,-0.6,-1.92%,1.49,20.51,14.94,19.13,23.31,27.49,31.68,35.86
24W40,31.25,+0.15,+0.48%,1.47,21.19,14.75,18.88,23,27.13,31.26,35.39
24W39,31.1,-0.55,-1.74%,1.46,21.37,14.55,18.62,22.7,26.77,30.85,34.92
24W38,31.65,-0.65,-2.01%,1.44,22.05,14.35,18.37,22.39,26.41,30.43,34.45
24W37,32.3,-0.75,-2.27%,1.42,22.81,14.16,18.12,22.09,26.05,30.01,33.98
24W36,33.05,-2.25,-6.37%,1.4,23.67,13.96,17.87,21.78,25.69,29.6,33.51
24W35,35.3,+1.75,+5.22%,1.38,25.64,13.77,17.62,21.47,25.33,29.18,33.04
24W34,33.55,-0.85,-2.47%,1.36,24.73,13.57,17.37,21.17,24.97,28.77,32.57
24W33,34.4,+1.6,+4.88%,1.34,25.72,13.37,17.12,20.86,24.61,28.35,32.1
24W32,32.8,-2.35,-6.69%,1.32,24.89,13.18,16.87,20.56,24.25,27.94,31.62
24W31,35.15,+0.45,+1.3%,1.3,27.08,12.98,16.62,20.25,23.88,27.52,31.15
24W30,34.7,-0.5,-1.42%,1.28,27.14,12.78,16.36,19.94,23.52,27.1,30.68
24W29,35.2,+1.15,+3.38%,1.26,27.96,12.59,16.11,19.64,23.16,26.69,30.21
24W28,34.05,0,0%,1.24,27.48,12.39,15.86,19.33,22.8,26.27,29.74
24W27,34.05,+0.55,+1.64%,1.22,27.92,12.2,15.61,19.03,22.44,25.86,29.27
24W26,33.5,-1.1,-3.18%,1.2,27.92,12,15.36,18.72,22.08,25.44,28.8
24W25,34.6,-0.75,-2.12%,1.18,29.31,11.8,15.11,18.41,21.72,25.02,28.33
24W24,35.35,-0.6,-1.67%,1.16,30.45,11.61,14.86,18.11,21.36,24.61,27.86
24W23,35.95,+0.75,+2.13%,1.14,31.5,11.41,14.61,17.8,21,24.19,27.39
24W22,35.2,+1.1,+3.23%,1.12,31.39,11.22,14.36,17.5,20.64,23.78,26.92
24W21,34.1,-1.8,-5.01%,1.1,30.95,11.02,14.1,17.19,20.28,23.36,26.45
24W20,35.9,-0.2,-0.55%,1.08,33.17,10.82,13.85,16.88,19.91,22.94,25.98
24W19,36.1,-3.75,-9.41%,1.06,33.97,10.63,13.6,16.58,19.55,22.53,25.5
24W18,39.85,+0.8,+2.05%,1.04,38.2,10.43,13.35,16.27,19.19,22.11,25.03
24W17,39.05,+3.55,+10%,1.02,38.15,10.23,13.1,15.97,18.83,21.7,24.56
24W16,35.5,+0.6,+1.72%,1,35.36,10.04,12.85,15.66,18.47,21.28,24.09
24W15,34.9,+3.35,+10.6%,0.98,35.46,9.842,12.6,15.35,18.11,20.87,23.62
24W14,31.55,+1.05,+3.44%,0.96,32.71,9.646,12.35,15.05,17.75,20.45,23.15
24W13,30.5,+1,+3.39%,0.94,32.28,9.45,12.1,14.74,17.39,20.03,22.68
24W12,29.5,+0.55,+1.9%,0.93,31.88,9.254,11.84,14.44,17.03,19.62,22.21
24W11,28.95,+0.15,+0.52%,0.91,31.96,9.058,11.59,14.13,16.67,19.2,21.74
24W10,28.8,-0.7,-2.37%,0.89,32.5,8.862,11.34,13.82,16.31,18.79,21.27
24W09,29.5,-0.2,-0.67%,0.87,34.04,8.665,11.09,13.52,15.94,18.37,20.8
24W08,29.7,+0.15,+0.51%,0.85,35.07,8.469,10.84,13.21,15.58,17.95,20.33
24W07,29.55,+0.2,+0.68%,0.83,35.72,8.273,10.59,12.91,15.22,17.54,19.86
24W06,29.35,+0.05,+0.17%,0.81,36.34,8.077,10.34,12.6,14.86,17.12,19.38
24W05,29.3,-0.5,-1.68%,0.79,37.18,7.881,10.09,12.29,14.5,16.71,18.91
24W04,29.8,+0.25,+0.85%,0.77,38.78,7.685,9.836,11.99,14.14,16.29,18.44
24W03,29.55,-0.6,-1.99%,0.75,39.46,7.488,9.585,11.68,13.78,15.88,17.97
24W02,30.15,-0.35,-1.15%,0.73,41.34,7.292,9.334,11.38,13.42,15.46,17.5
24W01,30.5,+0.5,+1.67%,0.71,42.98,7.096,9.083,11.07,13.06,15.04,17.03
23W52,30,+0.7,+2.39%,0.69,43.48,6.9,8.832,10.76,12.7,14.63,16.56
23W51,29.3,+0.55,+1.91%,0.67,43.51,6.733,8.619,10.5,12.39,14.27,16.16
23W50,28.75,-0.55,-1.88%,0.66,43.78,6.567,8.405,10.24,12.08,13.92,15.76
23W49,29.3,+0.05,+0.17%,0.64,45.78,6.4,8.192,9.984,11.78,13.57,15.36
23W48,29.25,0,0%,0.62,46.93,6.233,7.979,9.724,11.47,13.21,14.96
23W47,29.25,+0.8,+2.81%,0.61,48.21,6.067,7.765,9.464,11.16,12.86,14.56
23W46,28.45,+0.55,+1.97%,0.59,48.22,5.9,7.552,9.204,10.86,12.51,14.16
23W45,27.9,+0.1,+0.36%,0.57,48.66,5.733,7.339,8.944,10.55,12.15,13.76
23W44,27.8,0,0%,0.56,49.94,5.567,7.125,8.684,10.24,11.8,13.36
23W43,27.8,+0.5,+1.83%,0.54,51.48,5.4,6.912,8.424,9.936,11.45,12.96
23W42,27.3,-1.4,-4.88%,0.52,52.17,5.233,6.699,8.164,9.629,11.09,12.56
23W41,28.7,+0.5,+1.77%,0.51,56.64,5.067,6.485,7.904,9.323,10.74,12.16
23W40,28.2,+1.6,+6.02%,0.49,57.55,4.9,6.272,7.644,9.016,10.39,11.76
23W39,26.6,+0.4,+1.53%,0.47,56.2,4.733,6.059,7.384,8.709,10.03,11.36
23W38,26.2,-0.25,-0.95%,0.46,57.37,4.567,5.845,7.124,8.403,9.681,10.96
23W37,26.45,-0.3,-1.12%,0.44,60.11,4.4,5.632,6.864,8.096,9.328,10.56
23W36,26.75,+0.95,+3.68%,0.42,63.19,4.233,5.419,6.604,7.789,8.975,10.16
23W35,25.8,+0.35,+1.38%,0.41,63.44,4.067,5.205,6.344,7.483,8.621,9.76
23W34,25.45,+0.25,+0.99%,0.39,65.26,3.9,4.992,6.084,7.176,8.268,9.36
23W33,25.2,-0.4,-1.56%,0.37,67.5,3.733,4.779,5.824,6.869,7.915,8.96
23W32,25.6,-0.25,-0.97%,0.36,71.78,3.567,4.565,5.564,6.563,7.561,8.56
23W31,25.85,-0.3,-1.15%,0.34,76.03,3.4,4.352,5.304,6.256,7.208,8.16
23W30,26.15,+0.3,+1.16%,0.32,80.88,3.233,4.139,5.044,5.949,6.855,7.76
23W29,25.85,-0.5,-1.9%,0.31,84.29,3.067,3.925,4.784,5.643,6.501,7.36
23W28,26.35,+0.05,+0.19%,0.29,90.86,2.9,3.712,4.524,5.336,6.148,6.96
23W27,26.3,-0.65,-2.41%,0.27,96.22,2.733,3.499,4.264,5.029,5.795,6.56
23W26,26.95,+0.4,+1.51%,0.26,105,2.567,3.285,4.004,4.723,5.441,6.16
23W25,26.55,+0.35,+1.34%,0.24,110.6,2.4,3.072,3.744,4.416,5.088,5.76
23W24,26.2,+0.25,+0.96%,0.22,117.3,2.233,2.859,3.484,4.109,4.735,5.36
23W23,25.95,+0.25,+0.97%,0.21,125.6,2.067,2.645,3.224,3.803,4.381,4.96
23W22,25.7,-0.25,-0.96%,0.19,135.3,1.9,2.432,2.964,3.496,4.028,4.56
23W21,25.95,+0.5,+1.96%,0.17,149.7,1.733,2.219,2.704,3.189,3.675,4.16
23W20,25.45,0,0%,0.16,162.4,1.567,2.005,2.444,2.883,3.321,3.76
23W19,25.45,+1,+4.09%,0.14,181.8,1.4,1.792,2.184,2.576,2.968,3.36
23W18,24.45,-0.05,-0.2%,0.12,198.2,1.233,1.579,1.924,2.269,2.615,2.96
23W17,24.5,+0.55,+2.3%,0.11,229.7,1.067,1.365,1.664,1.963,2.261,2.56
