Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,59.7,-3,-4.78%,-5.01,,-,-,-,-,-,-
24W52,62.7,+9,+16.8%,-5.01,,-,-,-,-,-,-
24W51,53.7,+1.2,+2.29%,-4.93,,-,-,-,-,-,-
24W50,52.5,+12.95,+32.7%,-4.86,,-,-,-,-,-,-
24W49,39.55,-0.25,-0.63%,-4.78,,-,-,-,-,-,-
24W48,39.8,-0.6,-1.49%,-4.71,,-,-,-,-,-,-
24W47,40.4,-0.5,-1.22%,-4.63,,-,-,-,-,-,-
24W46,40.9,-2.55,-5.87%,-4.56,,-,-,-,-,-,-
24W45,43.45,+1.45,+3.45%,-4.48,,-,-,-,-,-,-
24W44,42,-4.45,-9.58%,-4.41,,-,-,-,-,-,-
24W43,46.45,+1.6,+3.57%,-4.33,,-,-,-,-,-,-
24W42,44.85,+7.35,+19.6%,-4.26,,-,-,-,-,-,-
24W41,37.5,-2.4,-6.02%,-4.18,,-,-,-,-,-,-
24W40,39.9,-3.3,-7.64%,-4.11,,-,-,-,-,-,-
24W39,43.2,+1.8,+4.35%,-4.03,,-,-,-,-,-,-
24W38,41.4,-0.8,-1.9%,-3.95,,-,-,-,-,-,-
24W37,42.2,+0.4,+0.96%,-3.88,,-,-,-,-,-,-
24W36,41.8,-3.1,-6.9%,-3.8,,-,-,-,-,-,-
24W35,44.9,-0.2,-0.44%,-3.73,,-,-,-,-,-,-
24W34,45.1,-3.15,-6.53%,-3.65,,-,-,-,-,-,-
24W33,48.25,+5.15,+11.9%,-3.58,,-,-,-,-,-,-
24W32,43.1,+6.8,+18.7%,-3.5,,-,-,-,-,-,-
24W31,36.3,+2,+5.83%,-3.43,,-,-,-,-,-,-
24W30,34.3,-3.2,-8.53%,-3.35,,-,-,-,-,-,-
24W29,37.5,-0.6,-1.57%,-3.28,,-,-,-,-,-,-
24W28,38.1,+1,+2.7%,-3.2,,-,-,-,-,-,-
24W27,37.1,+5.9,+18.9%,-3.13,,-,-,-,-,-,-
24W26,31.2,-1,-3.11%,-3.05,,-,-,-,-,-,-
24W25,32.2,+0.1,+0.31%,-2.97,,-,-,-,-,-,-
24W24,32.1,-4.05,-11.2%,-2.9,,-,-,-,-,-,-
24W23,36.15,+1.15,+3.29%,-2.82,,-,-,-,-,-,-
24W22,35,-0.85,-2.37%,-2.75,,-,-,-,-,-,-
24W21,35.85,+2.6,+7.82%,-2.67,,-,-,-,-,-,-
24W20,33.25,-0.35,-1.04%,-2.6,,-,-,-,-,-,-
24W19,33.6,+0.75,+2.28%,-2.52,,-,-,-,-,-,-
24W18,32.85,+0.25,+0.77%,-2.45,,-,-,-,-,-,-
24W17,32.6,+0.9,+2.84%,-2.37,,-,-,-,-,-,-
24W16,31.7,-2.45,-7.17%,-2.3,,-,-,-,-,-,-
24W15,34.15,-1,-2.84%,-2.22,,-,-,-,-,-,-
24W14,35.15,-1.85,-5%,-2.15,,-,-,-,-,-,-
24W13,37,+2.6,+7.56%,-2.07,,-,-,-,-,-,-
24W12,34.4,+1.2,+3.61%,-1.99,,-,-,-,-,-,-
24W11,33.2,-0.85,-2.5%,-1.92,,-,-,-,-,-,-
24W10,34.05,-0.7,-2.01%,-1.84,,-,-,-,-,-,-
24W09,34.75,+0.9,+2.66%,-1.77,,-,-,-,-,-,-
24W08,33.85,+0.9,+2.73%,-1.69,,-,-,-,-,-,-
24W07,32.95,+0.55,+1.7%,-1.62,,-,-,-,-,-,-
24W06,32.4,+0.25,+0.78%,-1.54,,-,-,-,-,-,-
24W05,32.15,-0.05,-0.16%,-1.47,,-,-,-,-,-,-
24W04,32.2,+0.3,+0.94%,-1.39,,-,-,-,-,-,-
24W03,31.9,-0.3,-0.93%,-1.32,,-,-,-,-,-,-
24W02,32.2,+0.05,+0.16%,-1.24,,-,-,-,-,-,-
24W01,32.15,-0.15,-0.46%,-1.17,,-,-,-,-,-,-
23W52,32.3,-0.05,-0.15%,-1.09,,-,-,-,-,-,-
23W51,32.35,-0.15,-0.46%,-1.01,,-,-,-,-,-,-
23W50,32.5,-1.3,-3.85%,-0.93,,-,-,-,-,-,-
23W49,33.8,+0.55,+1.65%,-0.85,,-,-,-,-,-,-
23W48,33.25,+1.05,+3.26%,-0.77,,-,-,-,-,-,-
23W47,32.2,+1.05,+3.37%,-0.69,,-,-,-,-,-,-
23W46,31.15,+0.15,+0.48%,-0.61,,-,-,-,-,-,-
23W45,31,0,0%,-0.53,,-,-,-,-,-,-
23W44,31,-0.05,-0.16%,-0.45,,-,-,-,-,-,-
23W43,31.05,+0.45,+1.47%,-0.36,,-,-,-,-,-,-
23W42,30.6,-0.8,-2.55%,-0.28,,-,-,-,-,-,-
23W41,31.4,+0.15,+0.48%,-0.2,,-,-,-,-,-,-
23W40,31.25,-0.75,-2.34%,-0.12,,-,-,-,-,-,-
23W39,32,-0.7,-2.14%,-0.04,,-,-,-,-,-,-
23W38,32.7,-0.45,-1.36%,0.04,855.2,0.574,0.688,0.803,0.918,1.032,1.147
23W37,33.15,+1.45,+4.57%,0.12,279,1.782,2.139,2.495,2.852,3.208,3.565
23W36,31.7,-1.45,-4.37%,0.2,159,2.991,3.589,4.188,4.786,5.384,5.982
23W35,33.15,+0.35,+1.07%,0.28,118.4,4.2,5.04,5.88,6.72,7.56,8.4
23W34,32.8,+0.1,+0.31%,0.36,90.96,5.409,6.491,7.572,8.654,9.736,10.82
23W33,32.7,-1.8,-5.22%,0.44,74.12,6.618,7.941,9.265,10.59,11.91,13.24
23W32,34.5,-3.85,-10%,0.52,66.12,7.826,9.392,10.96,12.52,14.09,15.65
23W31,38.35,-0.75,-1.92%,0.6,63.67,9.035,10.84,12.65,14.46,16.26,18.07
23W30,39.1,+1.05,+2.76%,0.68,57.25,10.24,12.29,14.34,16.39,18.44,20.49
23W29,38.05,-0.75,-1.93%,0.76,49.83,11.45,13.74,16.03,18.32,20.62,22.91
23W28,38.8,-1,-2.51%,0.84,45.97,12.66,15.19,17.73,20.26,22.79,25.32
23W27,39.8,-0.25,-0.62%,0.92,43.04,13.87,16.64,19.42,22.19,24.97,27.74
23W26,40.05,-1.3,-3.14%,1.01,39.84,15.08,18.1,21.11,24.13,27.14,30.16
23W25,41.35,+0.8,+1.97%,1.09,38.08,16.29,19.55,22.8,26.06,29.32,32.58
23W24,40.55,+0.3,+0.75%,1.17,34.76,17.5,21,24.5,28,31.49,34.99
23W23,40.25,-0.1,-0.25%,1.25,32.28,18.71,22.45,26.19,29.93,33.67,37.41
23W22,40.35,-0.1,-0.25%,1.33,30.39,19.91,23.9,27.88,31.86,35.85,39.83
23W21,40.45,-0.7,-1.7%,1.41,28.72,21.12,25.35,29.57,33.8,38.02,42.25
23W20,41.15,+0.75,+1.86%,1.49,27.64,22.33,26.8,31.27,35.73,40.2,44.66
23W19,40.4,-2.8,-6.48%,1.57,25.74,23.54,28.25,32.96,37.67,42.37,47.08
23W18,43.2,+1.85,+4.47%,1.65,26.18,24.75,29.7,34.65,39.6,44.55,49.5
23W17,41.35,-0.25,-0.6%,1.73,23.89,25.96,31.15,36.34,41.53,46.73,51.92
23W16,41.6,-1.3,-3.03%,1.81,22.97,27.17,32.6,38.03,43.47,48.9,54.34
23W15,42.9,+1.15,+2.75%,1.89,22.68,28.38,34.05,39.73,45.4,51.08,56.75
23W14,41.75,-0.1,-0.24%,1.97,21.17,29.59,35.5,41.42,47.34,53.25,59.17
23W13,41.85,+0.65,+1.58%,2.05,20.39,30.79,36.95,43.11,49.27,55.43,61.59
23W12,41.2,-0.1,-0.24%,2.13,19.31,32,38.4,44.8,51.2,57.61,64.01
23W11,41.3,-0.75,-1.78%,2.21,18.65,33.21,39.85,46.5,53.14,59.78,66.42
23W10,42.05,+0.65,+1.57%,2.29,18.32,34.42,41.3,48.19,55.07,61.96,68.84
23W09,41.4,0,0%,2.38,17.43,35.63,42.76,49.88,57.01,64.13,71.26
23W08,41.4,+0.2,+0.49%,2.46,16.86,36.84,44.21,51.57,58.94,66.31,73.68
23W07,41.2,+1.6,+4.04%,2.54,16.24,38.05,45.66,53.27,60.88,68.48,76.09
23W06,39.6,0,0%,2.62,15.13,39.26,47.11,54.96,62.81,70.66,78.51
23W05,39.6,+1.65,+4.35%,2.7,14.68,40.46,48.56,56.65,64.74,72.84,80.93
23W03,37.95,+1.5,+4.12%,2.78,13.66,41.67,50.01,58.34,66.68,75.01,83.35
23W02,36.45,-0.05,-0.14%,2.86,12.75,42.88,51.46,60.04,68.61,77.19,85.76
23W01,36.5,+0.05,+0.14%,2.94,12.42,44.09,52.91,61.73,70.55,79.36,88.18
22W52,36.4,-1,-2.67%,3.01,12.09,45.16,54.19,63.22,72.25,81.28,90.31
22W51,37.4,+0.1,+0.27%,3,12.46,45.01,54.01,63.02,72.02,81.02,90.02
22W50,37.3,-0.45,-1.19%,2.99,12.47,44.87,53.84,62.81,71.79,80.76,89.73
22W49,37.75,+1.95,+5.45%,2.98,12.66,44.72,53.67,62.61,71.56,80.5,89.45
22W48,35.8,-0.6,-1.65%,2.97,12.05,44.58,53.49,62.41,71.33,80.24,89.16
22W47,36.4,+1,+2.82%,2.96,12.29,44.43,53.32,62.21,71.1,79.98,88.87
22W46,35.4,+0.55,+1.58%,2.95,11.99,44.29,53.15,62.01,70.86,79.72,88.58
22W45,34.85,+1.85,+5.61%,2.94,11.84,44.15,52.98,61.8,70.63,79.46,88.29
22W44,33,+0.8,+2.48%,2.93,11.25,44,52.8,61.6,70.4,79.2,88
22W43,32.2,-1.55,-4.59%,2.92,11.01,43.86,52.63,61.4,70.17,78.94,87.72
22W42,33.75,-3.8,-10.1%,2.91,11.58,43.71,52.46,61.2,69.94,78.68,87.43
22W41,37.55,-0.8,-2.09%,2.9,12.93,43.57,52.28,61,69.71,78.42,87.14
22W40,38.35,-3.1,-7.48%,2.9,13.25,43.42,52.11,60.8,69.48,78.17,86.85
22W39,41.45,-2.5,-5.69%,2.89,14.37,43.28,51.94,60.59,69.25,77.91,86.56
