Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,101,-3,-2.88%,7.42,13.61,111.3,133.6,155.8,178.1,200.3,222.6
24W52,104,+5.4,+5.48%,7.42,14.02,111.3,133.6,155.8,178.1,200.3,222.6
24W51,98.6,-3.4,-3.33%,7.38,13.36,110.7,132.9,155,177.2,199.3,221.5
24W50,102,-1.5,-1.45%,7.34,13.89,110.2,132.2,154.2,176.2,198.3,220.3
24W49,103.5,0,0%,7.31,14.17,109.6,131.5,153.4,175.3,197.2,219.2
24W48,103.5,-1.5,-1.43%,7.27,14.24,109,130.8,152.6,174.4,196.2,218
24W47,105,-6,-5.41%,7.23,14.53,108.4,130.1,151.8,173.5,195.2,216.9
24W46,111,-4.5,-3.9%,7.19,15.44,107.9,129.4,151,172.6,194.1,215.7
24W45,115.5,+1,+0.87%,7.15,16.15,107.3,128.7,150.2,171.7,193.1,214.6
24W44,114.5,-2.5,-2.14%,7.11,16.1,106.7,128,149.4,170.7,192.1,213.4
24W43,117,+1.5,+1.3%,7.08,16.54,106.1,127.4,148.6,169.8,191,212.3
24W42,115.5,+1,+0.87%,7.04,16.41,105.6,126.7,147.8,168.9,190,211.1
24W41,114.5,-3.5,-2.97%,7,16.36,105,126,147,168,189,210
24W40,118,-11,-8.53%,6.96,16.95,104.4,125.3,146.2,167.1,187.9,208.8
24W39,129,+3.5,+2.79%,6.92,18.63,103.8,124.6,145.4,166.1,186.9,207.7
24W38,125.5,-2.5,-1.95%,6.88,18.23,103.3,123.9,144.6,165.2,185.9,206.5
24W37,128,-8,-5.88%,6.85,18.7,102.7,123.2,143.8,164.3,184.8,205.4
24W36,136,-4,-2.86%,6.81,19.98,102.1,122.5,143,163.4,183.8,204.2
24W35,140,+2.5,+1.82%,6.77,20.68,101.5,121.8,142.2,162.5,182.8,203.1
24W34,137.5,+5.5,+4.17%,6.73,20.43,101,121.2,141.4,161.5,181.7,201.9
24W33,132,+12,+10%,6.69,19.72,100.4,120.5,140.6,160.6,180.7,200.8
24W32,120,-6,-4.76%,6.65,18.03,99.82,119.8,139.7,159.7,179.7,199.6
24W31,126,-7,-5.26%,6.62,19.04,99.25,119.1,138.9,158.8,178.6,198.5
24W30,133,-1,-0.75%,6.58,20.22,98.67,118.4,138.1,157.9,177.6,197.3
24W29,134,-1,-0.74%,6.54,20.49,98.1,117.7,137.3,157,176.6,196.2
24W28,135,-3.5,-2.53%,6.5,20.76,97.52,117,136.5,156,175.5,195
24W27,138.5,-26.5,-16.1%,6.46,21.43,96.95,116.3,135.7,155.1,174.5,193.9
24W26,165,+41.5,+33.6%,6.42,25.68,96.38,115.6,134.9,154.2,173.5,192.8
24W25,123.5,+2.5,+2.07%,6.39,19.34,95.8,115,134.1,153.3,172.4,191.6
24W24,121,+2.5,+2.11%,6.35,19.06,95.23,114.3,133.3,152.4,171.4,190.5
24W23,118.5,+4.5,+3.95%,6.31,18.78,94.65,113.6,132.5,151.4,170.4,189.3
24W22,114,-2.5,-2.15%,6.27,18.18,94.08,112.9,131.7,150.5,169.3,188.2
24W21,116.5,-9,-7.17%,6.23,18.69,93.5,112.2,130.9,149.6,168.3,187
24W20,125.5,+5.5,+4.58%,6.2,20.26,92.93,111.5,130.1,148.7,167.3,185.9
24W19,120,+6.5,+5.73%,6.16,19.49,92.36,110.8,129.3,147.8,166.2,184.7
24W18,113.5,-5.5,-4.62%,6.12,18.55,91.78,110.1,128.5,146.9,165.2,183.6
24W17,119,+3,+2.59%,6.08,19.57,91.21,109.5,127.7,145.9,164.2,182.4
24W16,116,-11,-8.66%,6.04,19.2,90.63,108.8,126.9,145,163.1,181.3
24W15,127,-5.5,-4.15%,6,21.15,90.06,108.1,126.1,144.1,162.1,180.1
24W14,132.5,+14.5,+12.3%,5.97,22.21,89.49,107.4,125.3,143.2,161.1,179
24W13,118,+8.5,+7.76%,5.93,19.91,88.91,106.7,124.5,142.3,160,177.8
24W12,109.5,+29.2,+36.4%,5.89,18.59,88.34,106,123.7,141.3,159,176.7
24W11,80.3,-0.4,-0.5%,5.85,13.72,87.76,105.3,122.9,140.4,158,175.5
24W10,80.7,+0.3,+0.37%,5.81,13.88,87.19,104.6,122.1,139.5,156.9,174.4
24W09,80.4,+1.6,+2.03%,5.77,13.92,86.62,103.9,121.3,138.6,155.9,173.2
24W08,78.8,-2.4,-2.96%,5.74,13.74,86.04,103.3,120.5,137.7,154.9,172.1
24W07,81.2,-1.2,-1.46%,5.7,14.25,85.47,102.6,119.7,136.7,153.8,170.9
24W06,82.4,-0.3,-0.36%,5.66,14.56,84.89,101.9,118.9,135.8,152.8,169.8
24W05,82.7,0,0%,5.62,14.71,84.32,101.2,118,134.9,151.8,168.6
24W04,82.7,-1.3,-1.55%,5.58,14.81,83.75,100.5,117.2,134,150.7,167.5
24W03,84,-4.6,-5.19%,5.54,15.15,83.17,99.81,116.4,133.1,149.7,166.3
24W02,88.6,+1.6,+1.84%,5.51,16.09,82.6,99.12,115.6,132.2,148.7,165.2
24W01,87,+1.5,+1.75%,5.47,15.91,82.02,98.43,114.8,131.2,147.6,164
23W52,85.5,+0.1,+0.12%,5.43,15.75,81.45,97.74,114,130.3,146.6,162.9
23W51,85.4,-1.1,-1.27%,5.43,15.73,81.45,97.74,114,130.3,146.6,162.9
23W50,86.5,-5.7,-6.18%,5.43,15.93,81.45,97.74,114,130.3,146.6,162.9
23W49,92.2,+5.2,+5.98%,5.43,16.98,81.45,97.74,114,130.3,146.6,162.9
23W48,87,-1,-1.14%,5.43,16.02,81.45,97.74,114,130.3,146.6,162.9
23W47,88,+2.5,+2.92%,5.43,16.21,81.45,97.74,114,130.3,146.6,162.9
23W46,85.5,+4.1,+5.04%,5.43,15.75,81.45,97.74,114,130.3,146.6,162.9
23W45,81.4,+0.1,+0.12%,5.43,14.99,81.45,97.74,114,130.3,146.6,162.9
23W44,81.3,-1.6,-1.93%,5.43,14.97,81.45,97.74,114,130.3,146.6,162.9
23W43,82.9,-0.5,-0.6%,5.43,15.27,81.45,97.74,114,130.3,146.6,162.9
23W42,83.4,-8.7,-9.45%,5.43,15.36,81.45,97.74,114,130.3,146.6,162.9
23W41,92.1,-3.5,-3.66%,5.43,16.96,81.45,97.74,114,130.3,146.6,162.9
