Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,32.9,-0.25,-0.75%,1.76,18.69,17.6,24.64,31.68,38.72,45.76,52.8
24W52,33.15,+0.2,+0.61%,1.76,18.84,17.6,24.64,31.68,38.72,45.76,52.8
24W51,32.95,-1.6,-4.63%,1.76,18.74,17.58,24.62,31.65,38.68,45.72,52.75
24W50,34.55,-0.85,-2.4%,1.76,19.67,17.57,24.59,31.62,38.64,45.67,52.7
24W49,35.4,+1,+2.91%,1.75,20.17,17.55,24.57,31.59,38.61,45.62,52.64
24W48,34.4,-0.3,-0.86%,1.75,19.62,17.53,24.54,31.56,38.57,45.58,52.59
24W47,34.7,-0.1,-0.29%,1.75,19.81,17.51,24.52,31.52,38.53,45.54,52.54
24W46,34.8,-1.15,-3.2%,1.75,19.89,17.5,24.49,31.49,38.49,45.49,52.49
24W45,35.95,-1.6,-4.26%,1.75,20.57,17.48,24.47,31.46,38.45,45.44,52.44
24W44,37.55,-0.55,-1.44%,1.75,21.5,17.46,24.45,31.43,38.42,45.4,52.38
24W43,38.1,+0.45,+1.2%,1.74,21.84,17.44,24.42,31.4,38.38,45.36,52.33
24W42,37.65,-0.65,-1.7%,1.74,21.6,17.43,24.4,31.37,38.34,45.31,52.28
24W41,38.3,-1.05,-2.67%,1.74,22,17.41,24.37,31.34,38.3,45.26,52.23
24W40,39.35,-0.3,-0.76%,1.74,22.62,17.39,24.35,31.31,38.26,45.22,52.18
24W39,39.65,+0.8,+2.06%,1.74,22.82,17.38,24.32,31.28,38.22,45.18,52.12
24W38,38.85,+0.4,+1.04%,1.74,22.38,17.36,24.3,31.24,38.19,45.13,52.07
24W37,38.45,+0.2,+0.52%,1.73,22.17,17.34,24.28,31.21,38.15,45.08,52.02
24W36,38.25,-2.25,-5.56%,1.73,22.08,17.32,24.25,31.18,38.11,45.04,51.97
24W35,40.5,+2.3,+6.02%,1.73,23.4,17.31,24.23,31.15,38.07,45,51.92
24W34,38.2,-0.05,-0.13%,1.73,22.1,17.29,24.2,31.12,38.03,44.95,51.87
24W33,38.25,+1.5,+4.08%,1.73,22.15,17.27,24.18,31.09,38,44.9,51.81
24W32,36.75,-1.8,-4.67%,1.73,21.3,17.25,24.16,31.06,37.96,44.86,51.76
24W31,38.55,-1.05,-2.65%,1.72,22.37,17.24,24.13,31.03,37.92,44.82,51.71
24W30,39.6,-0.35,-0.88%,1.72,23,17.22,24.11,30.99,37.88,44.77,51.66
24W29,39.95,-0.85,-2.08%,1.72,23.22,17.2,24.08,30.96,37.84,44.72,51.61
24W28,40.8,+1.5,+3.82%,1.72,23.74,17.18,24.06,30.93,37.81,44.68,51.55
24W27,39.3,+0.5,+1.29%,1.72,22.89,17.17,24.03,30.9,37.77,44.64,51.5
24W26,38.8,-1.2,-3%,1.72,22.62,17.15,24.01,30.87,37.73,44.59,51.45
24W25,40,-1.15,-2.79%,1.71,23.35,17.13,23.99,30.84,37.69,44.54,51.4
24W24,41.15,-1.6,-3.74%,1.71,24.04,17.12,23.96,30.81,37.65,44.5,51.35
24W23,42.75,-0.4,-0.93%,1.71,25,17.1,23.94,30.78,37.62,44.46,51.29
24W22,43.15,+1.6,+3.85%,1.71,25.26,17.08,23.91,30.75,37.58,44.41,51.24
