Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,15.65,+0.15,+0.97%,1.36,11.51,20.4,24.48,28.56,32.64,36.72,40.8
24W52,15.5,+0.45,+2.99%,1.36,11.4,20.4,24.48,28.56,32.64,36.72,40.8
24W51,15.05,-0.05,-0.33%,1.33,11.28,20.01,24.01,28.01,32.02,36.02,40.02
24W50,15.1,-1.4,-8.48%,1.31,11.54,19.62,23.55,27.47,31.39,35.32,39.24
24W49,16.5,+1.2,+7.84%,1.28,12.87,19.23,23.08,26.92,30.77,34.62,38.46
24W48,15.3,+0.15,+0.99%,1.26,12.18,18.84,22.61,26.38,30.15,33.92,37.68
24W47,15.15,-0.45,-2.88%,1.23,12.32,18.45,22.14,25.83,29.52,33.22,36.91
24W46,15.6,-0.6,-3.7%,1.2,12.95,18.06,21.68,25.29,28.9,32.51,36.13
24W45,16.2,+0.65,+4.18%,1.18,13.75,17.67,21.21,24.74,28.28,31.81,35.35
24W44,15.55,-0.45,-2.81%,1.15,13.49,17.28,20.74,24.2,27.66,31.11,34.57
24W43,16,+0.05,+0.31%,1.13,14.21,16.9,20.27,23.65,27.03,30.41,33.79
24W42,15.95,-0.7,-4.2%,1.1,14.49,16.51,19.81,23.11,26.41,29.71,33.01
24W41,16.65,-0.65,-3.76%,1.07,15.5,16.12,19.34,22.56,25.79,29.01,32.23
24W40,17.3,+0.05,+0.29%,1.05,16.5,15.73,18.87,22.02,25.16,28.31,31.45
24W39,17.25,-0.3,-1.71%,1.02,16.87,15.34,18.41,21.47,24.54,27.61,30.68
24W38,17.55,-0.95,-5.14%,1,17.61,14.95,17.94,20.93,23.92,26.91,29.9
24W37,18.5,-0.05,-0.27%,0.97,19.06,14.56,17.47,20.38,23.29,26.21,29.12
24W36,18.55,-1.7,-8.4%,0.94,19.64,14.17,17,19.84,22.67,25.5,28.34
24W35,20.25,+0.55,+2.79%,0.92,22.04,13.78,16.54,19.29,22.05,24.8,27.56
24W34,19.7,-0.45,-2.23%,0.89,22.07,13.39,16.07,18.75,21.42,24.1,26.78
24W33,20.15,-0.05,-0.25%,0.87,23.25,13,15.6,18.2,20.8,23.4,26
24W32,20.2,-2.15,-9.62%,0.84,24.03,12.61,15.13,17.66,20.18,22.7,25.22
24W31,22.35,+0.15,+0.68%,0.81,27.43,12.22,14.67,17.11,19.56,22,24.44
24W30,22.2,-0.6,-2.63%,0.79,28.14,11.83,14.2,16.57,18.93,21.3,23.67
24W29,22.8,-0.85,-3.59%,0.76,29.89,11.44,13.73,16.02,18.31,20.6,22.89
24W28,23.65,-0.7,-2.87%,0.74,32.09,11.05,13.26,15.48,17.69,19.9,22.11
24W27,24.35,+4.5,+22.7%,0.71,34.25,10.66,12.8,14.93,17.06,19.2,21.33
24W26,19.85,-0.8,-3.87%,0.68,28.98,10.28,12.33,14.39,16.44,18.5,20.55
24W25,20.65,-0.6,-2.82%,0.66,31.33,9.886,11.86,13.84,15.82,17.79,19.77
24W24,21.25,-1.25,-5.56%,0.63,33.57,9.496,11.4,13.29,15.19,17.09,18.99
24W23,22.5,-0.15,-0.66%,0.61,37.06,9.107,10.93,12.75,14.57,16.39,18.21
24W22,22.65,+2.4,+11.9%,0.58,38.97,8.717,10.46,12.2,13.95,15.69,17.43
24W21,20.25,-1,-4.71%,0.56,36.47,8.328,9.993,11.66,13.32,14.99,16.66
24W20,21.25,+1.35,+6.78%,0.53,40.15,7.938,9.526,11.11,12.7,14.29,15.88
24W19,19.9,-2.55,-11.4%,0.5,39.54,7.549,9.059,10.57,12.08,13.59,15.1
24W18,22.45,+4.9,+27.9%,0.48,47.03,7.16,8.592,10.02,11.46,12.89,14.32
24W17,17.55,-0.3,-1.68%,0.45,38.88,6.77,8.124,9.478,10.83,12.19,13.54
24W16,17.85,-0.9,-4.8%,0.43,41.96,6.381,7.657,8.933,10.21,11.49,12.76
24W15,18.75,-0.7,-3.6%,0.4,46.94,5.991,7.19,8.388,9.586,10.78,11.98
24W14,19.45,-0.7,-3.47%,0.37,52.08,5.602,6.722,7.843,8.963,10.08,11.2
24W13,20.15,+2.05,+11.3%,0.35,57.99,5.212,6.255,7.298,8.34,9.382,10.42
24W12,18.1,-1.45,-7.42%,0.32,56.29,4.823,5.788,6.752,7.717,8.682,9.646
24W11,19.55,-3.25,-14.3%,0.3,66.14,4.434,5.32,6.207,7.094,7.981,8.867
24W10,22.8,-0.3,-1.3%,0.27,84.56,4.044,4.853,5.662,6.471,7.28,8.088
24W09,23.1,+2.75,+13.5%,0.24,94.81,3.655,4.386,5.117,5.848,6.579,7.31
24W08,20.35,+5.75,+39.4%,0.22,93.48,3.265,3.918,4.572,5.225,5.878,6.531
24W07,14.6,+1.05,+7.75%,0.19,76.15,2.876,3.451,4.026,4.602,5.177,5.752
24W06,13.55,-1,-6.87%,0.17,81.74,2.487,2.984,3.481,3.978,4.476,4.973
24W05,14.55,+3,+26%,0.14,104.1,2.097,2.517,2.936,3.355,3.775,4.194
24W04,11.55,+0.55,+5%,0.11,101.4,1.708,2.049,2.391,2.732,3.074,3.415
24W03,11,+0.15,+1.38%,0.09,125.2,1.318,1.582,1.846,2.109,2.373,2.637
24W02,10.85,-0.65,-5.65%,0.06,175.2,0.929,1.115,1.3,1.486,1.672,1.858
24W01,11.5,0,0%,0.04,319.8,0.539,0.647,0.755,0.863,0.971,1.079
