Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,654,+5,+0.77%,8.87,73.73,133,159.7,186.3,212.9,239.5,266.1
24W52,649,+71,+12.3%,8.87,73.17,133,159.7,186.3,212.9,239.5,266.1
24W51,578,-49,-7.81%,8.75,66.07,131.2,157.5,183.7,210,236.2,262.4
24W50,627,+121,+23.9%,8.63,72.69,129.4,155.3,181.1,207,232.9,258.8
24W49,506,+1,+0.2%,8.5,59.5,127.6,153.1,178.6,204.1,229.6,255.1
24W48,505,+1,+0.2%,8.38,60.25,125.7,150.9,176,201.2,226.3,251.5
24W47,504,-4,-0.79%,8.26,61.01,123.9,148.7,173.5,198.2,223,247.8
24W46,508,-15,-2.87%,8.14,62.42,122.1,146.5,170.9,195.3,219.7,244.2
24W45,523,+31.5,+6.41%,8.02,65.24,120.2,144.3,168.3,192.4,216.4,240.5
24W44,491.5,+6.5,+1.34%,7.89,62.26,118.4,142.1,165.8,189.5,213.2,236.8
24W43,485,+44.5,+10.1%,7.77,62.4,116.6,139.9,163.2,186.5,209.9,233.2
24W42,440.5,+18,+4.26%,7.65,57.58,114.8,137.7,160.7,183.6,206.6,229.5
24W41,422.5,+61.5,+17%,7.53,56.12,112.9,135.5,158.1,180.7,203.3,225.9
24W40,361,-14,-3.73%,7.41,48.74,111.1,133.3,155.5,177.8,200,222.2
24W39,375,+7.5,+2.04%,7.28,51.48,109.3,131.1,153,174.8,196.7,218.6
24W38,367.5,+30.5,+9.05%,7.16,51.3,107.4,128.9,150.4,171.9,193.4,214.9
24W37,337,-35,-9.41%,7.04,47.86,105.6,126.7,147.9,169,190.1,211.2
24W36,372,-36,-8.82%,6.92,53.76,103.8,124.5,145.3,166.1,186.8,207.6
24W35,408,-42.5,-9.43%,6.8,60.02,102,122.4,142.7,163.1,183.5,203.9
24W34,450.5,+50.5,+12.6%,6.68,67.49,100.1,120.2,140.2,160.2,180.2,200.3
24W33,400,+57.5,+16.8%,6.55,61.04,98.3,118,137.6,157.3,176.9,196.6
24W32,342.5,-137.5,-28.6%,6.43,53.25,96.47,115.8,135.1,154.4,173.7,192.9
24W31,480,+50,+11.6%,6.31,76.07,94.64,113.6,132.5,151.4,170.4,189.3
24W30,430,-105,-19.6%,6.19,69.49,92.82,111.4,129.9,148.5,167.1,185.6
24W29,535,+60.5,+12.8%,6.07,88.2,90.99,109.2,127.4,145.6,163.8,182
24W28,474.5,+36,+8.21%,5.94,79.83,89.16,107,124.8,142.7,160.5,178.3
24W27,438.5,+102,+30.3%,5.82,75.32,87.33,104.8,122.3,139.7,157.2,174.7
24W26,336.5,+21,+6.66%,5.7,59.04,85.5,102.6,119.7,136.8,153.9,171
24W25,315.5,+33,+11.7%,5.58,56.56,83.67,100.4,117.1,133.9,150.6,167.3
24W24,282.5,+36,+14.6%,5.46,51.78,81.84,98.21,114.6,130.9,147.3,163.7
24W23,246.5,+65,+35.8%,5.33,46.21,80.01,96.02,112,128,144,160
24W22,181.5,+11.5,+6.76%,5.21,34.82,78.18,93.82,109.5,125.1,140.7,156.4
24W21,170,-8,-4.49%,5.09,33.4,76.36,91.63,106.9,122.2,137.4,152.7
24W20,178,+8.5,+5.01%,4.97,35.83,74.53,89.43,104.3,119.2,134.1,149.1
24W19,169.5,+8.5,+5.28%,4.85,34.97,72.7,87.24,101.8,116.3,130.9,145.4
24W18,161,+34,+26.8%,4.72,34.08,70.87,85.04,99.22,113.4,127.6,141.7
24W17,127,-1.5,-1.17%,4.6,27.59,69.04,82.85,96.66,110.5,124.3,138.1
24W16,128.5,-14.5,-10.1%,4.48,28.68,67.21,80.65,94.1,107.5,121,134.4
24W15,143,+7,+5.15%,4.36,32.81,65.38,78.46,91.54,104.6,117.7,130.8
24W14,136,-4.5,-3.2%,4.24,32.1,63.55,76.26,88.98,101.7,114.4,127.1
24W13,140.5,+11,+8.49%,4.12,34.14,61.72,74.07,86.42,98.76,111.1,123.4
24W12,129.5,+10.5,+8.82%,3.99,32.43,59.9,71.88,83.85,95.83,107.8,119.8
24W11,119,-13,-9.85%,3.87,30.74,58.07,69.68,81.29,92.91,104.5,116.1
24W10,132,-18,-12%,3.75,35.21,56.24,67.49,78.73,89.98,101.2,112.5
24W09,150,+4.5,+3.09%,3.63,41.35,54.41,65.29,76.17,87.06,97.94,108.8
24W08,145.5,+33.5,+29.9%,3.51,41.51,52.58,63.1,73.61,84.13,94.65,105.2
24W07,112,+19.1,+20.6%,3.38,33.1,50.75,60.9,71.05,81.2,91.35,101.5
24W06,92.9,-0.1,-0.11%,3.26,28.48,48.92,58.71,68.49,78.28,88.06,97.85
24W05,93,+18.4,+24.7%,3.14,29.62,47.09,56.51,65.93,75.35,84.77,94.19
24W04,74.6,+3.4,+4.78%,3.02,24.72,45.27,54.32,63.37,72.42,81.48,90.53
24W03,71.2,+2.2,+3.19%,2.9,24.59,43.44,52.12,60.81,69.5,78.19,86.87
24W02,69,+0.4,+0.58%,2.77,24.88,41.61,49.93,58.25,66.57,74.89,83.22
24W01,68.6,-1.7,-2.42%,2.65,25.87,39.78,47.73,55.69,63.65,71.6,79.56
23W52,70.3,+6.3,+9.84%,2.53,27.79,37.95,45.54,53.13,60.72,68.31,75.9
23W51,64,-2.4,-3.61%,2.58,24.85,38.63,46.36,54.09,61.81,69.54,77.26
23W50,66.4,-0.2,-0.3%,2.62,25.33,39.31,47.18,55.04,62.9,70.77,78.63
23W49,66.6,-7.8,-10.5%,2.67,24.98,40,48,56,64,71.99,79.99
23W48,74.4,+2.4,+3.33%,2.71,27.43,40.68,48.82,56.95,65.09,73.22,81.36
23W47,72,+1,+1.41%,2.76,26.11,41.36,49.63,57.91,66.18,74.45,82.72
23W46,71,+1.5,+2.16%,2.8,25.33,42.04,50.45,58.86,67.27,75.68,84.09
23W45,69.5,-5.2,-6.96%,2.85,24.4,42.73,51.27,59.82,68.36,76.91,85.45
23W44,74.7,-5.6,-6.97%,2.89,25.81,43.41,52.09,60.77,69.45,78.14,86.82
23W43,80.3,+5.9,+7.93%,2.94,27.32,44.09,52.91,61.73,70.55,79.36,88.18
23W42,74.4,+0.1,+0.13%,2.98,24.93,44.77,53.73,62.68,71.64,80.59,89.55
23W41,74.3,-0.2,-0.27%,3.03,24.52,45.46,54.55,63.64,72.73,81.82,90.91
23W40,74.5,-1.6,-2.1%,3.08,24.22,46.14,55.37,64.59,73.82,83.05,92.28
23W39,76.1,+4,+5.55%,3.12,24.38,46.82,56.18,65.55,74.91,84.28,93.64
23W38,72.1,+4.3,+6.34%,3.17,22.77,47.5,57,66.5,76,85.51,95.01
23W37,67.8,+9.9,+17.1%,3.21,21.11,48.19,57.82,67.46,77.1,86.73,96.37
23W36,57.9,-1.8,-3.02%,3.26,17.77,48.87,58.64,68.41,78.19,87.96,97.74
23W35,59.7,-1.3,-2.13%,3.3,18.07,49.55,59.46,69.37,79.28,89.19,99.1
23W34,61,-3.2,-4.98%,3.35,18.22,50.23,60.28,70.33,80.37,90.42,100.5
23W33,64.2,+2.8,+4.56%,3.39,18.91,50.91,61.1,71.28,81.46,91.65,101.8
23W32,61.4,-3,-4.66%,3.44,17.85,51.6,61.92,72.24,82.56,92.87,103.2
23W31,64.4,-12,-15.7%,3.49,18.48,52.28,62.74,73.19,83.65,94.1,104.6
23W30,76.4,+1.3,+1.73%,3.53,21.64,52.96,63.55,74.15,84.74,95.33,105.9
23W29,75.1,+10.9,+17%,3.58,21,53.64,64.37,75.1,85.83,96.56,107.3
23W28,64.2,+9.6,+17.6%,3.62,17.73,54.33,65.19,76.06,86.92,97.79,108.7
23W27,54.6,+3.2,+6.23%,3.67,14.89,55.01,66.01,77.01,88.01,99.02,110
23W26,51.4,+0.5,+0.98%,3.71,13.84,55.69,66.83,77.97,89.11,100.2,111.4
23W25,50.9,-0.5,-0.97%,3.76,13.54,56.37,67.65,78.92,90.2,101.5,112.7
23W24,51.4,-0.3,-0.58%,3.8,13.51,57.06,68.47,79.88,91.29,102.7,114.1
23W23,51.7,-1.1,-2.08%,3.85,13.43,57.74,69.29,80.83,92.38,103.9,115.5
23W22,52.8,+1.2,+2.33%,3.89,13.56,58.42,70.1,81.79,93.47,105.2,116.8
23W21,51.6,+1.2,+2.38%,3.94,13.1,59.1,70.92,82.74,94.56,106.4,118.2
23W20,50.4,+2.65,+5.55%,3.99,12.65,59.79,71.74,83.7,95.66,107.6,119.6
23W19,47.75,-7.55,-13.7%,4.03,11.85,60.47,72.56,84.65,96.75,108.8,120.9
23W18,55.3,+5,+9.94%,4.08,13.57,61.15,73.38,85.61,97.84,110.1,122.3
23W17,50.3,-0.9,-1.76%,4.12,12.2,61.83,74.2,86.57,98.93,111.3,123.7
23W16,51.2,-2.3,-4.3%,4.17,12.29,62.51,75.02,87.52,100,112.5,125
23W15,53.5,-1.4,-2.55%,4.21,12.7,63.2,75.84,88.48,101.1,113.8,126.4
23W14,54.9,+1,+1.86%,4.26,12.89,63.88,76.66,89.43,102.2,115,127.8
23W13,53.9,-0.4,-0.74%,4.3,12.52,64.56,77.47,90.39,103.3,116.2,129.1
23W12,54.3,+4.95,+10%,4.35,12.48,65.24,78.29,91.34,104.4,117.4,130.5
23W11,49.35,-0.35,-0.7%,4.4,11.23,65.93,79.11,92.3,105.5,118.7,131.9
23W10,49.7,-1.2,-2.36%,4.44,11.19,66.61,79.93,93.25,106.6,119.9,133.2
23W09,50.9,+0.9,+1.8%,4.49,11.35,67.29,80.75,94.21,107.7,121.1,134.6
23W08,50,+1.5,+3.09%,4.53,11.03,67.97,81.57,95.16,108.8,122.4,135.9
23W07,48.5,+0.5,+1.04%,4.58,10.6,68.66,82.39,96.12,109.8,123.6,137.3
23W06,48,+0.3,+0.63%,4.62,10.38,69.34,83.21,97.07,110.9,124.8,138.7
23W05,47.7,+1.05,+2.25%,4.67,10.22,70.02,84.02,98.03,112,126,140
23W03,46.65,+1.8,+4.01%,4.71,9.9,70.7,84.84,98.98,113.1,127.3,141.4
23W02,44.85,-0.15,-0.33%,4.76,9.42,71.39,85.66,99.94,114.2,128.5,142.8
23W01,45,+1.4,+3.21%,4.8,9.37,72.07,86.48,100.9,115.3,129.7,144.1
22W53,43.6,-2.25,-4.91%,4.85,8.99,72.75,87.3,101.8,116.4,131,145.5
22W52,45.85,-4.25,-8.48%,4.79,9.58,71.8,86.16,100.5,114.9,129.2,143.6
22W51,50.1,-0.3,-0.6%,4.72,10.61,70.85,85.02,99.19,113.4,127.5,141.7
22W50,50.4,-2,-3.82%,4.66,10.82,69.9,83.88,97.86,111.8,125.8,139.8
22W49,52.4,+7.6,+17%,4.6,11.4,68.95,82.74,96.54,110.3,124.1,137.9
22W48,44.8,-0.25,-0.55%,4.53,9.88,68,81.61,95.21,108.8,122.4,136
22W47,45.05,+0.3,+0.67%,4.47,10.08,67.06,80.47,93.88,107.3,120.7,134.1
22W46,44.75,+2.55,+6.04%,4.41,10.15,66.11,79.33,92.55,105.8,119,132.2
22W45,42.2,+3.8,+9.9%,4.34,9.71,65.16,78.19,91.22,104.3,117.3,130.3
22W44,38.4,+0.05,+0.13%,4.28,8.97,64.21,77.05,89.89,102.7,115.6,128.4
22W43,38.35,-2.85,-6.92%,4.22,9.09,63.26,75.91,88.56,101.2,113.9,126.5
22W42,41.2,-5.45,-11.7%,4.15,9.92,62.31,74.77,87.23,99.7,112.2,124.6
22W41,46.65,-0.25,-0.53%,4.09,11.4,61.36,73.63,85.91,98.18,110.5,122.7
22W40,46.9,-3.1,-6.2%,4.03,11.64,60.41,72.5,84.58,96.66,108.7,120.8
22W39,50,-6.2,-11%,3.96,12.61,59.46,71.36,83.25,95.14,107,118.9
