Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,89.4,-7.8,-8.02%,0.12,745,1.8,2.16,2.52,2.88,3.24,3.6
24W52,97.2,+8.4,+9.46%,0.12,810,1.8,2.16,2.52,2.88,3.24,3.6
24W51,88.8,-6.1,-6.43%,0.11,824.6,1.615,1.938,2.262,2.585,2.908,3.231
24W50,94.9,+2.5,+2.71%,0.1,994.9,1.431,1.717,2.003,2.289,2.575,2.862
24W49,92.4,+16.4,+21.6%,0.08,1112,1.246,1.495,1.745,1.994,2.243,2.492
24W48,76,-1.6,-2.06%,0.07,1074,1.062,1.274,1.486,1.698,1.911,2.123
24W47,77.6,-1.1,-1.4%,0.06,1327,0.877,1.052,1.228,1.403,1.578,1.754
24W46,78.7,+0.9,+1.16%,0.05,1705,0.692,0.831,0.969,1.108,1.246,1.385
24W45,77.8,+13,+20.1%,0.03,2299,0.508,0.609,0.711,0.812,0.914,1.015
24W44,64.8,-0.9,-1.37%,0.02,3009,0.323,0.388,0.452,0.517,0.582,0.646
24W43,65.7,-7.2,-9.88%,0.01,7118,0.138,0.166,0.194,0.222,0.249,0.277
24W42,72.9,+3.3,+4.74%,0,,-,-,-,-,-,-
24W41,69.6,-2,-2.79%,-0.02,,-,-,-,-,-,-
24W40,71.6,-2.3,-3.11%,-0.03,,-,-,-,-,-,-
24W39,73.9,+10.1,+15.8%,-0.04,,-,-,-,-,-,-
24W38,63.8,-0.1,-0.16%,-0.05,,-,-,-,-,-,-
24W37,63.9,-3.4,-5.05%,-0.06,,-,-,-,-,-,-
24W36,67.3,-15,-18.2%,-0.08,,-,-,-,-,-,-
24W35,82.3,+7.7,+10.3%,-0.09,,-,-,-,-,-,-
24W34,74.6,-13.7,-15.5%,-0.1,,-,-,-,-,-,-
24W33,88.3,+17.1,+24%,-0.11,,-,-,-,-,-,-
24W32,71.2,+6.8,+10.6%,-0.13,,-,-,-,-,-,-
24W31,64.4,+4,+6.62%,-0.14,,-,-,-,-,-,-
24W30,60.4,+5.8,+10.6%,-0.15,,-,-,-,-,-,-
24W29,54.6,-7.8,-12.5%,-0.16,,-,-,-,-,-,-
24W28,62.4,-4.6,-6.87%,-0.18,,-,-,-,-,-,-
24W27,67,+6,+9.84%,-0.19,,-,-,-,-,-,-
24W26,61,+7.6,+14.2%,-0.2,,-,-,-,-,-,-
24W25,53.4,+9.25,+21%,-0.21,,-,-,-,-,-,-
24W24,44.15,+2.3,+5.5%,-0.22,,-,-,-,-,-,-
24W23,41.85,+1.05,+2.57%,-0.24,,-,-,-,-,-,-
24W22,40.8,-0.4,-0.97%,-0.25,,-,-,-,-,-,-
24W21,41.2,+3.75,+10%,-0.26,,-,-,-,-,-,-
24W20,37.45,+1.25,+3.45%,-0.27,,-,-,-,-,-,-
24W19,36.2,+1.65,+4.78%,-0.29,,-,-,-,-,-,-
24W18,34.55,-0.3,-0.86%,-0.3,,-,-,-,-,-,-
24W17,34.85,+0.35,+1.01%,-0.31,,-,-,-,-,-,-
24W16,34.5,-0.35,-1%,-0.32,,-,-,-,-,-,-
24W15,34.85,+0.15,+0.43%,-0.34,,-,-,-,-,-,-
24W14,34.7,-0.45,-1.28%,-0.35,,-,-,-,-,-,-
24W13,35.15,+0.85,+2.48%,-0.36,,-,-,-,-,-,-
