Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,6.32,-0.04,-0.63%,-0.92,,-,-,-,-,-,-
24W52,6.36,+0.04,+0.63%,-0.92,,-,-,-,-,-,-
24W51,6.32,-0.09,-1.4%,-0.94,,-,-,-,-,-,-
24W50,6.41,-0.24,-3.61%,-0.97,,-,-,-,-,-,-
24W49,6.65,+0.05,+0.76%,-0.99,,-,-,-,-,-,-
24W48,6.6,-0.08,-1.2%,-1.01,,-,-,-,-,-,-
24W47,6.68,-0.31,-4.43%,-1.03,,-,-,-,-,-,-
24W46,6.99,-0.08,-1.13%,-1.06,,-,-,-,-,-,-
24W45,7.07,+0.09,+1.29%,-1.08,,-,-,-,-,-,-
24W44,6.98,-0.05,-0.71%,-1.1,,-,-,-,-,-,-
24W43,7.03,-0.08,-1.13%,-1.13,,-,-,-,-,-,-
24W42,7.11,-0.16,-2.2%,-1.15,,-,-,-,-,-,-
24W41,7.27,-0.06,-0.82%,-1.17,,-,-,-,-,-,-
24W40,7.33,-0.26,-3.43%,-1.19,,-,-,-,-,-,-
24W39,7.59,-0.3,-3.8%,-1.22,,-,-,-,-,-,-
24W38,7.89,+0.58,+7.93%,-1.24,,-,-,-,-,-,-
24W37,7.31,-0.21,-2.79%,-1.26,,-,-,-,-,-,-
24W36,7.52,-0.47,-5.88%,-1.29,,-,-,-,-,-,-
24W35,7.99,+0.16,+2.04%,-1.31,,-,-,-,-,-,-
24W34,7.83,-0.05,-0.63%,-1.33,,-,-,-,-,-,-
24W33,7.88,+0.6,+8.24%,-1.35,,-,-,-,-,-,-
24W32,7.28,-0.33,-4.34%,-1.38,,-,-,-,-,-,-
24W31,7.61,-0.21,-2.69%,-1.4,,-,-,-,-,-,-
24W30,7.82,-0.24,-2.98%,-1.42,,-,-,-,-,-,-
24W29,8.06,-0.49,-5.73%,-1.45,,-,-,-,-,-,-
24W28,8.55,+0.95,+12.5%,-1.47,,-,-,-,-,-,-
24W27,7.6,+0.26,+3.54%,-1.49,,-,-,-,-,-,-
24W26,7.34,+0.09,+1.24%,-1.52,,-,-,-,-,-,-
24W25,7.25,-0.27,-3.59%,-1.54,,-,-,-,-,-,-
24W24,7.52,-0.01,-0.13%,-1.56,,-,-,-,-,-,-
24W23,7.53,-0.07,-0.92%,-1.58,,-,-,-,-,-,-
24W22,7.6,+0.56,+7.95%,-1.61,,-,-,-,-,-,-
24W21,7.04,-0.17,-2.36%,-1.63,,-,-,-,-,-,-
24W20,7.21,+1.35,+23%,-1.65,,-,-,-,-,-,-
24W19,5.86,+0.07,+1.21%,-1.68,,-,-,-,-,-,-
24W18,5.79,+0.08,+1.4%,-1.7,,-,-,-,-,-,-
24W17,5.71,+0.11,+1.96%,-1.72,,-,-,-,-,-,-
24W16,5.6,+0.25,+4.67%,-1.74,,-,-,-,-,-,-
24W15,5.35,+0.53,+11%,-1.77,,-,-,-,-,-,-
24W14,4.82,-0.02,-0.41%,-1.79,,-,-,-,-,-,-
24W13,4.84,+0.03,+0.62%,-1.81,,-,-,-,-,-,-
