Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,25.4,-0.7,-2.68%,0.29,87.59,0.145,1.856,3.567,5.278,6.989,8.7
24W52,26.1,+0.9,+3.57%,0.29,90,0.145,1.856,3.567,5.278,6.989,8.7
24W51,25.2,+3.9,+18.3%,0.3,83.25,0.151,1.937,3.723,5.509,7.295,9.081
24W50,21.3,-0.2,-0.93%,0.32,67.54,0.158,2.018,3.879,5.74,7.601,9.462
24W49,21.5,-0.25,-1.15%,0.33,65.53,0.164,2.1,4.035,5.971,7.907,9.842
24W48,21.75,0,0%,0.34,63.83,0.17,2.181,4.191,6.202,8.213,10.22
24W47,21.75,+1.55,+7.67%,0.35,61.53,0.177,2.262,4.348,6.433,8.518,10.6
24W46,20.2,+0.25,+1.25%,0.37,55.17,0.183,2.343,4.504,6.664,8.824,10.98
24W45,19.95,+0.1,+0.5%,0.38,52.66,0.189,2.425,4.66,6.895,9.13,11.37
24W44,19.85,0,0%,0.39,50.7,0.196,2.506,4.816,7.126,9.436,11.75
24W43,19.85,+0.1,+0.51%,0.4,49.11,0.202,2.587,4.972,7.357,9.742,12.13
24W42,19.75,+0.9,+4.77%,0.42,47.37,0.208,2.668,5.128,7.588,10.05,12.51
24W41,18.85,+0.05,+0.27%,0.43,43.88,0.215,2.75,5.284,7.819,10.35,12.89
24W40,18.8,-0.5,-2.59%,0.44,42.5,0.221,2.831,5.44,8.05,10.66,13.27
24W39,19.3,0,0%,0.45,42.42,0.227,2.912,5.596,8.281,10.97,13.65
24W38,19.3,-0.05,-0.26%,0.47,41.27,0.234,2.993,5.753,8.512,11.27,14.03
24W37,19.35,+0.9,+4.88%,0.48,40.28,0.24,3.074,5.909,8.743,11.58,14.41
24W36,18.45,-0.45,-2.38%,0.49,37.42,0.247,3.156,6.065,8.974,11.88,14.79
24W35,18.9,+0.5,+2.72%,0.51,37.37,0.253,3.237,6.221,9.205,12.19,15.17
24W34,18.4,+0.95,+5.44%,0.52,35.49,0.259,3.318,6.377,9.436,12.49,15.55
24W33,17.45,+0.2,+1.16%,0.53,32.85,0.266,3.399,6.533,9.667,12.8,15.93
24W32,17.25,-1,-5.48%,0.54,31.72,0.272,3.481,6.689,9.898,13.11,16.32
24W31,18.25,0,0%,0.56,32.79,0.278,3.562,6.845,10.13,13.41,16.7
24W30,18.25,-0.85,-4.45%,0.57,32.06,0.285,3.643,7.002,10.36,13.72,17.08
24W29,19.1,0,0%,0.58,32.82,0.291,3.724,7.158,10.59,14.02,17.46
24W28,19.1,-0.15,-0.78%,0.59,32.12,0.297,3.806,7.314,10.82,14.33,17.84
24W27,19.25,+0.95,+5.19%,0.61,31.7,0.304,3.887,7.47,11.05,14.64,18.22
24W26,18.3,-0.15,-0.81%,0.62,29.52,0.31,3.968,7.626,11.28,14.94,18.6
24W25,18.45,+0.5,+2.79%,0.63,29.16,0.316,4.049,7.782,11.51,15.25,18.98
24W24,17.95,0,0%,0.65,27.81,0.323,4.13,7.938,11.75,15.55,19.36
24W23,17.95,0,0%,0.66,27.28,0.329,4.212,8.094,11.98,15.86,19.74
24W22,17.95,-0.4,-2.18%,0.67,26.76,0.335,4.293,8.25,12.21,16.17,20.12
24W21,18.35,+0.1,+0.55%,0.68,26.85,0.342,4.374,8.407,12.44,16.47,20.5
24W20,18.25,+0.15,+0.83%,0.7,26.22,0.348,4.455,8.563,12.67,16.78,20.88
24W19,18.1,+0.25,+1.4%,0.71,25.53,0.354,4.537,8.719,12.9,17.08,21.27
24W18,17.85,+0.15,+0.85%,0.72,24.74,0.361,4.618,8.875,13.13,17.39,21.65
24W17,17.7,+0.5,+2.91%,0.73,24.11,0.367,4.699,9.031,13.36,17.69,22.03
24W16,17.2,-0.9,-4.97%,0.75,23.03,0.373,4.78,9.187,13.59,18,22.41
24W15,18.1,-0.3,-1.63%,0.76,23.83,0.38,4.862,9.343,13.82,18.31,22.79
24W14,18.4,-0.2,-1.08%,0.77,23.82,0.386,4.943,9.499,14.06,18.61,23.17
24W13,18.6,-0.1,-0.53%,0.78,23.69,0.392,5.024,9.656,14.29,18.92,23.55
24W12,18.7,+0.15,+0.81%,0.8,23.44,0.399,5.105,9.812,14.52,19.22,23.93
24W11,18.55,-0.3,-1.59%,0.81,22.89,0.405,5.186,9.968,14.75,19.53,24.31
24W10,18.85,-0.25,-1.31%,0.82,22.9,0.412,5.268,10.12,14.98,19.84,24.69
24W09,19.1,-0.2,-1.04%,0.84,22.85,0.418,5.349,10.28,15.21,20.14,25.07
24W08,19.3,-0.25,-1.28%,0.85,22.75,0.424,5.43,10.44,15.44,20.45,25.45
24W07,19.55,+0.6,+3.17%,0.86,22.7,0.431,5.511,10.59,15.67,20.75,25.83
24W06,18.95,-0.4,-2.07%,0.87,21.69,0.437,5.593,10.75,15.9,21.06,26.22
