Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,103,+1,+0.98%,6.21,16.59,68.31,77,85.7,94.39,103.1,111.8
24W52,102,-3,-2.86%,6.21,16.43,68.31,77,85.7,94.39,103.1,111.8
24W51,105,+0.5,+0.48%,6.2,16.94,68.17,76.84,85.52,94.19,102.9,111.5
24W50,104.5,0,0%,6.18,16.9,68.02,76.68,85.34,93.99,102.7,111.3
24W49,104.5,-0.5,-0.48%,6.17,16.93,67.88,76.52,85.16,93.8,102.4,111.1
24W48,105,-4,-3.67%,6.16,17.05,67.73,76.36,84.98,93.6,102.2,110.8
24W47,109,-0.5,-0.46%,6.14,17.74,67.59,76.19,84.8,93.4,102,110.6
24W46,109.5,-3,-2.67%,6.13,17.86,67.45,76.03,84.62,93.2,101.8,110.4
24W45,112.5,-8.5,-7.02%,6.12,18.39,67.3,75.87,84.43,93,101.6,110.1
24W44,121,+2,+1.68%,6.11,19.82,67.16,75.71,84.25,92.8,101.3,109.9
24W43,119,+7,+6.25%,6.09,19.53,67.02,75.54,84.07,92.6,101.1,109.7
24W42,112,+0.5,+0.45%,6.08,18.42,66.87,75.38,83.89,92.4,100.9,109.4
24W41,111.5,+3.5,+3.24%,6.07,18.38,66.73,75.22,83.71,92.21,100.7,109.2
24W40,108,-1,-0.92%,6.05,17.84,66.58,75.06,83.53,92.01,100.5,109
24W39,109,-0.5,-0.46%,6.04,18.05,66.44,74.9,83.35,91.81,100.3,108.7
24W38,109.5,+0.5,+0.46%,6.03,18.17,66.3,74.73,83.17,91.61,100,108.5
24W37,109,+0.5,+0.46%,6.01,18.12,66.15,74.57,82.99,91.41,99.83,108.2
24W36,108.5,-6.5,-5.65%,6,18.08,66.01,74.41,82.81,91.21,99.61,108
24W35,115,+3.5,+3.14%,5.99,19.21,65.86,74.25,82.63,91.01,99.4,107.8
24W34,111.5,-0.5,-0.45%,5.97,18.66,65.72,74.09,82.45,90.81,99.18,107.5
24W33,112,+4.5,+4.19%,5.96,18.79,65.58,73.92,82.27,90.62,98.96,107.3
24W32,107.5,+1.5,+1.42%,5.95,18.07,65.43,73.76,82.09,90.42,98.74,107.1
