Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,48.1,-0.05,-0.1%,2.2,21.86,33,39.6,46.2,52.8,59.4,66
24W52,48.15,+0.05,+0.1%,2.2,21.89,33,39.6,46.2,52.8,59.4,66
24W51,48.1,-0.4,-0.82%,2.19,21.97,32.84,39.41,45.98,52.55,59.12,65.69
24W50,48.5,0,0%,2.18,22.26,32.69,39.23,45.76,52.3,58.84,65.38
24W49,48.5,+0.15,+0.31%,2.17,22.36,32.53,39.04,45.55,52.05,58.56,65.07
24W48,48.35,+0.1,+0.21%,2.16,22.4,32.38,38.85,45.33,51.8,58.28,64.75
24W47,48.25,-0.9,-1.83%,2.15,22.46,32.22,38.67,45.11,51.55,58,64.44
24W46,49.15,-1.05,-2.09%,2.14,22.99,32.07,38.48,44.89,51.3,57.72,64.13
24W45,50.2,+0.2,+0.4%,2.13,23.6,31.91,38.29,44.67,51.06,57.44,63.82
24W44,50,+1.95,+4.06%,2.12,23.62,31.75,38.1,44.46,50.81,57.16,63.51
24W43,48.05,-0.5,-1.03%,2.11,22.81,31.6,37.92,44.24,50.56,56.88,63.2
24W42,48.55,-0.35,-0.72%,2.1,23.16,31.44,37.73,44.02,50.31,56.6,62.88
24W41,48.9,-1.4,-2.78%,2.09,23.44,31.29,37.54,43.8,50.06,56.32,62.57
24W40,50.3,+0.55,+1.11%,2.08,24.24,31.13,37.36,43.58,49.81,56.04,62.26
24W39,49.75,+0.05,+0.1%,2.06,24.09,30.98,37.17,43.36,49.56,55.76,61.95
24W38,49.7,+1.05,+2.16%,2.05,24.19,30.82,36.98,43.15,49.31,55.47,61.64
24W37,48.65,-0.6,-1.22%,2.04,23.8,30.66,36.8,42.93,49.06,55.19,61.33
24W36,49.25,-0.85,-1.7%,2.03,24.22,30.51,36.61,42.71,48.81,54.91,61.02
24W35,50.1,+1.5,+3.09%,2.02,24.76,30.35,36.42,42.49,48.56,54.63,60.7
24W34,48.6,+0.95,+1.99%,2.01,24.14,30.2,36.24,42.27,48.31,54.35,60.39
24W33,47.65,+2.85,+6.36%,2,23.79,30.04,36.05,42.06,48.06,54.07,60.08
24W32,44.8,-2.5,-5.29%,1.99,22.49,29.88,35.86,41.84,47.82,53.79,59.77
24W31,47.3,-0.25,-0.53%,1.98,23.87,29.73,35.67,41.62,47.57,53.51,59.46
24W30,47.55,-1.2,-2.46%,1.97,24.12,29.57,35.49,41.4,47.32,53.23,59.15
24W29,48.75,+1.2,+2.52%,1.96,24.86,29.42,35.3,41.18,47.07,52.95,58.83
24W28,47.55,-3.75,-7.31%,1.95,24.37,29.26,35.11,40.97,46.82,52.67,58.52
24W27,51.3,+5.05,+10.9%,1.94,26.44,29.11,34.93,40.75,46.57,52.39,58.21
24W26,46.25,+2.95,+6.81%,1.93,23.96,28.95,34.74,40.53,46.32,52.11,57.9
24W25,43.3,+0.3,+0.7%,1.92,22.56,28.79,34.55,40.31,46.07,51.83,57.59
24W24,43,+0.5,+1.18%,1.91,22.52,28.64,34.37,40.09,45.82,51.55,57.28
24W23,42.5,+0.45,+1.07%,1.9,22.38,28.48,34.18,39.88,45.57,51.27,56.97
24W22,42.05,+0.35,+0.84%,1.89,22.27,28.33,33.99,39.66,45.32,50.99,56.65
24W21,41.7,-0.1,-0.24%,1.88,22.2,28.17,33.81,39.44,45.07,50.71,56.34
24W20,41.8,-0.95,-2.22%,1.87,22.38,28.02,33.62,39.22,44.82,50.43,56.03
