Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,26.25,-1,-3.67%,-2.64,,-,-,-,-,-,-
24W52,27.25,+0.75,+2.83%,-2.64,,-,-,-,-,-,-
24W51,26.5,-1.2,-4.33%,-2.64,,-,-,-,-,-,-
24W50,27.7,-0.95,-3.32%,-2.65,,-,-,-,-,-,-
24W49,28.65,+1.55,+5.72%,-2.65,,-,-,-,-,-,-
24W48,27.1,+0.15,+0.56%,-2.65,,-,-,-,-,-,-
24W47,26.95,-0.85,-3.06%,-2.66,,-,-,-,-,-,-
24W46,27.8,-0.45,-1.59%,-2.66,,-,-,-,-,-,-
24W45,28.25,+0.15,+0.53%,-2.66,,-,-,-,-,-,-
24W44,28.1,-0.45,-1.58%,-2.67,,-,-,-,-,-,-
24W43,28.55,-0.45,-1.55%,-2.67,,-,-,-,-,-,-
24W42,29,0,0%,-2.67,,-,-,-,-,-,-
24W41,29,-0.05,-0.17%,-2.68,,-,-,-,-,-,-
24W40,29.05,-0.5,-1.69%,-2.68,,-,-,-,-,-,-
24W39,29.55,-0.15,-0.51%,-2.68,,-,-,-,-,-,-
24W38,29.7,+0.2,+0.68%,-2.69,,-,-,-,-,-,-
24W37,29.5,+0.3,+1.03%,-2.69,,-,-,-,-,-,-
24W36,29.2,-0.6,-2.01%,-2.69,,-,-,-,-,-,-
24W35,29.8,-1,-3.25%,-2.7,,-,-,-,-,-,-
24W34,30.8,-1.1,-3.45%,-2.7,,-,-,-,-,-,-
24W33,31.9,+6.1,+23.6%,-2.7,,-,-,-,-,-,-
24W32,25.8,-1.5,-5.49%,-2.71,,-,-,-,-,-,-
24W31,27.3,-1.4,-4.88%,-2.71,,-,-,-,-,-,-
24W30,28.7,-1.05,-3.53%,-2.71,,-,-,-,-,-,-
24W29,29.75,+0.55,+1.88%,-2.72,,-,-,-,-,-,-
24W28,29.2,-1.5,-4.89%,-2.72,,-,-,-,-,-,-
24W27,30.7,+1.25,+4.24%,-2.72,,-,-,-,-,-,-
24W26,29.45,+1.05,+3.7%,-2.72,,-,-,-,-,-,-
24W25,28.4,+1.1,+4.03%,-2.73,,-,-,-,-,-,-
24W24,27.3,-0.1,-0.36%,-2.73,,-,-,-,-,-,-
24W23,27.4,+0.75,+2.81%,-2.73,,-,-,-,-,-,-
24W22,26.65,-0.45,-1.66%,-2.74,,-,-,-,-,-,-
24W21,27.1,-0.05,-0.18%,-2.74,,-,-,-,-,-,-
24W20,27.15,-0.2,-0.73%,-2.74,,-,-,-,-,-,-
24W19,27.35,+0.25,+0.92%,-2.75,,-,-,-,-,-,-
24W18,27.1,-0.2,-0.73%,-2.75,,-,-,-,-,-,-
24W17,27.3,+0.3,+1.11%,-2.75,,-,-,-,-,-,-
24W16,27,-1.35,-4.76%,-2.76,,-,-,-,-,-,-
24W15,28.35,+0.6,+2.16%,-2.76,,-,-,-,-,-,-
24W14,27.75,0,0%,-2.76,,-,-,-,-,-,-
24W13,27.75,-0.3,-1.07%,-2.77,,-,-,-,-,-,-
24W12,28.05,+0.25,+0.9%,-2.77,,-,-,-,-,-,-
24W11,27.8,-0.5,-1.77%,-2.77,,-,-,-,-,-,-
24W10,28.3,-2.2,-7.21%,-2.78,,-,-,-,-,-,-
24W09,30.5,+1.65,+5.72%,-2.78,,-,-,-,-,-,-
24W08,28.85,-1.05,-3.51%,-2.78,,-,-,-,-,-,-
24W07,29.9,+1.6,+5.65%,-2.79,,-,-,-,-,-,-
24W06,28.3,-0.05,-0.18%,-2.79,,-,-,-,-,-,-
24W05,28.35,-0.25,-0.87%,-2.79,,-,-,-,-,-,-
24W04,28.6,+0.2,+0.7%,-2.8,,-,-,-,-,-,-
24W03,28.4,+0.05,+0.18%,-2.8,,-,-,-,-,-,-
24W02,28.35,-1.75,-5.81%,-2.8,,-,-,-,-,-,-
24W01,30.1,+0.2,+0.67%,-2.81,,-,-,-,-,-,-
23W52,29.9,-2.05,-6.42%,-2.81,,-,-,-,-,-,-
23W51,31.95,+4.8,+17.7%,-2.81,,-,-,-,-,-,-
23W50,27.15,+0.35,+1.31%,-2.81,,-,-,-,-,-,-
23W49,26.8,-0.85,-3.07%,-2.81,,-,-,-,-,-,-
23W48,27.65,-0.25,-0.9%,-2.81,,-,-,-,-,-,-
23W47,27.9,+1.95,+7.51%,-2.81,,-,-,-,-,-,-
23W46,25.95,-0.45,-1.7%,-2.81,,-,-,-,-,-,-
23W45,26.4,+2,+8.2%,-2.81,,-,-,-,-,-,-
23W44,24.4,-1.45,-5.61%,-2.81,,-,-,-,-,-,-
23W43,25.85,+0.85,+3.4%,-2.81,,-,-,-,-,-,-
23W42,25,-1,-3.85%,-2.81,,-,-,-,-,-,-
23W41,26,-1.4,-5.11%,-2.81,,-,-,-,-,-,-
23W40,27.4,-0.65,-2.32%,-2.81,,-,-,-,-,-,-
23W39,28.05,-0.3,-1.06%,-2.81,,-,-,-,-,-,-
23W38,28.35,-0.35,-1.22%,-2.81,,-,-,-,-,-,-
23W37,28.7,-0.4,-1.37%,-2.81,,-,-,-,-,-,-
23W36,29.1,+1,+3.56%,-2.81,,-,-,-,-,-,-
23W35,28.1,-0.4,-1.4%,-2.81,,-,-,-,-,-,-
23W34,28.5,-0.5,-1.72%,-2.81,,-,-,-,-,-,-
23W33,29,+0.45,+1.58%,-2.81,,-,-,-,-,-,-
23W32,28.55,-1.65,-5.46%,-2.81,,-,-,-,-,-,-
23W31,30.2,+0.05,+0.17%,-2.81,,-,-,-,-,-,-
23W30,30.15,-0.8,-2.58%,-2.81,,-,-,-,-,-,-
23W29,30.95,-0.25,-0.8%,-2.81,,-,-,-,-,-,-
23W28,31.2,-2.05,-6.17%,-2.81,,-,-,-,-,-,-
23W27,33.25,-0.95,-2.78%,-2.81,,-,-,-,-,-,-
23W26,34.2,0,0%,-2.82,,-,-,-,-,-,-
23W25,34.2,+0.15,+0.44%,-2.82,,-,-,-,-,-,-
23W24,34.05,-1.25,-3.54%,-2.82,,-,-,-,-,-,-
23W23,35.3,-0.7,-1.94%,-2.82,,-,-,-,-,-,-
23W22,36,+0.4,+1.12%,-2.82,,-,-,-,-,-,-
23W21,35.6,+2.4,+7.23%,-2.82,,-,-,-,-,-,-
23W20,33.2,-1.35,-3.91%,-2.82,,-,-,-,-,-,-
23W19,34.55,-0.6,-1.71%,-2.82,,-,-,-,-,-,-
23W18,35.15,-1.6,-4.35%,-2.82,,-,-,-,-,-,-
23W17,36.75,+2.65,+7.77%,-2.82,,-,-,-,-,-,-
23W16,34.1,-2,-5.54%,-2.82,,-,-,-,-,-,-
23W15,36.1,+0.45,+1.26%,-2.82,,-,-,-,-,-,-
23W14,35.65,+6.15,+20.8%,-2.82,,-,-,-,-,-,-
23W13,29.5,-1.6,-5.14%,-2.82,,-,-,-,-,-,-
23W12,31.1,+2.35,+8.17%,-2.82,,-,-,-,-,-,-
23W11,28.75,-1.15,-3.85%,-2.82,,-,-,-,-,-,-
23W10,29.9,-1.35,-4.32%,-2.82,,-,-,-,-,-,-
23W09,31.25,+0.3,+0.97%,-2.82,,-,-,-,-,-,-
23W08,30.95,-0.55,-1.75%,-2.82,,-,-,-,-,-,-
23W07,31.5,-0.25,-0.79%,-2.82,,-,-,-,-,-,-
23W06,31.75,+0.05,+0.16%,-2.82,,-,-,-,-,-,-
23W05,31.7,+1.45,+4.79%,-2.82,,-,-,-,-,-,-
23W03,30.25,0,0%,-2.82,,-,-,-,-,-,-
23W02,30.25,-2.6,-7.91%,-2.82,,-,-,-,-,-,-
