Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,14.65,-1.65,-10.1%,-4.41,,-,-,-,-,-,-
24W52,16.3,+0.6,+3.82%,-4.41,,-,-,-,-,-,-
24W51,15.7,+0.05,+0.32%,-4.44,,-,-,-,-,-,-
24W50,15.65,-1.15,-6.85%,-4.47,,-,-,-,-,-,-
24W49,16.8,-0.35,-2.04%,-4.5,,-,-,-,-,-,-
24W48,17.15,-0.75,-4.19%,-4.54,,-,-,-,-,-,-
24W47,17.9,+0.6,+3.47%,-4.57,,-,-,-,-,-,-
24W46,17.3,-1.65,-8.71%,-4.6,,-,-,-,-,-,-
24W45,18.95,-0.6,-3.07%,-4.63,,-,-,-,-,-,-
24W44,19.55,-0.8,-3.93%,-4.66,,-,-,-,-,-,-
24W43,20.35,+0.2,+0.99%,-4.69,,-,-,-,-,-,-
24W42,20.15,+0.05,+0.25%,-4.72,,-,-,-,-,-,-
24W41,20.1,-0.9,-4.29%,-4.75,,-,-,-,-,-,-
24W40,21,-0.3,-1.41%,-4.79,,-,-,-,-,-,-
24W39,21.3,+0.05,+0.24%,-4.82,,-,-,-,-,-,-
24W38,21.25,+0.15,+0.71%,-4.85,,-,-,-,-,-,-
24W37,21.1,-0.2,-0.94%,-4.88,,-,-,-,-,-,-
24W36,21.3,-2.35,-9.94%,-4.91,,-,-,-,-,-,-
24W35,23.65,+2.1,+9.74%,-4.94,,-,-,-,-,-,-
24W34,21.55,0,0%,-4.97,,-,-,-,-,-,-
24W33,21.55,+0.9,+4.36%,-5.01,,-,-,-,-,-,-
24W32,20.65,-2.15,-9.43%,-5.04,,-,-,-,-,-,-
24W31,22.8,+0.55,+2.47%,-5.07,,-,-,-,-,-,-
24W30,22.25,-1.25,-5.32%,-5.1,,-,-,-,-,-,-
24W29,23.5,-0.95,-3.89%,-5.13,,-,-,-,-,-,-
24W28,24.45,+0.5,+2.09%,-5.16,,-,-,-,-,-,-
24W27,23.95,+2.4,+11.1%,-5.19,,-,-,-,-,-,-
24W26,21.55,+0.05,+0.23%,-5.22,,-,-,-,-,-,-
24W25,21.5,+0.9,+4.37%,-5.26,,-,-,-,-,-,-
24W24,20.6,-0.3,-1.44%,-5.29,,-,-,-,-,-,-
24W23,20.9,-0.85,-3.91%,-5.32,,-,-,-,-,-,-
24W22,21.75,+0.35,+1.64%,-5.35,,-,-,-,-,-,-
24W21,21.4,+0.7,+3.38%,-5.38,,-,-,-,-,-,-
24W20,20.7,+0.95,+4.81%,-5.41,,-,-,-,-,-,-
24W19,19.75,0,0%,-5.44,,-,-,-,-,-,-
24W18,19.75,+0.3,+1.54%,-5.48,,-,-,-,-,-,-
24W17,19.45,+0.35,+1.83%,-5.51,,-,-,-,-,-,-
24W16,19.1,-0.95,-4.74%,-5.54,,-,-,-,-,-,-
24W15,20.05,-0.3,-1.47%,-5.57,,-,-,-,-,-,-
24W14,20.35,+0.1,+0.49%,-5.6,,-,-,-,-,-,-
24W13,20.25,0,0%,-5.63,,-,-,-,-,-,-
24W12,20.25,+0.55,+2.79%,-5.66,,-,-,-,-,-,-
24W11,19.7,-0.6,-2.96%,-5.7,,-,-,-,-,-,-
24W10,20.3,-0.4,-1.93%,-5.73,,-,-,-,-,-,-
24W09,20.7,-0.5,-2.36%,-5.76,,-,-,-,-,-,-
24W08,21.2,-1.35,-5.99%,-5.79,,-,-,-,-,-,-
24W07,22.55,+2.05,+10%,-5.82,,-,-,-,-,-,-
24W06,20.5,-0.35,-1.68%,-5.85,,-,-,-,-,-,-
24W05,20.85,+0.15,+0.72%,-5.88,,-,-,-,-,-,-
24W04,20.7,+0.45,+2.22%,-5.91,,-,-,-,-,-,-
24W03,20.25,-0.85,-4.03%,-5.95,,-,-,-,-,-,-
24W02,21.1,-0.3,-1.4%,-5.98,,-,-,-,-,-,-
24W01,21.4,-0.8,-3.6%,-6.01,,-,-,-,-,-,-
23W52,22.2,+0.2,+0.91%,-6.04,,-,-,-,-,-,-
23W51,22,-1.4,-5.98%,-5.91,,-,-,-,-,-,-
23W50,23.4,+1.15,+5.17%,-5.77,,-,-,-,-,-,-
23W49,22.25,+0.15,+0.68%,-5.64,,-,-,-,-,-,-
23W48,22.1,-0.05,-0.23%,-5.5,,-,-,-,-,-,-
23W47,22.15,+0.8,+3.75%,-5.37,,-,-,-,-,-,-
23W46,21.35,+0.3,+1.43%,-5.24,,-,-,-,-,-,-
23W45,21.05,+0.25,+1.2%,-5.1,,-,-,-,-,-,-
23W44,20.8,-0.5,-2.35%,-4.97,,-,-,-,-,-,-
23W43,21.3,+0.3,+1.43%,-4.83,,-,-,-,-,-,-
23W42,21,-0.65,-3%,-4.7,,-,-,-,-,-,-
23W41,21.65,+0.1,+0.46%,-4.56,,-,-,-,-,-,-
23W40,21.55,-0.2,-0.92%,-4.43,,-,-,-,-,-,-
