Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,46.9,-0.5,-1.05%,-0.36,,-,-,-,-,-,-
24W52,47.4,+0.25,+0.53%,-0.36,,-,-,-,-,-,-
24W51,47.15,+5.05,+12%,-0.35,,-,-,-,-,-,-
24W50,42.1,+1.6,+3.95%,-0.35,,-,-,-,-,-,-
24W49,40.5,-0.6,-1.46%,-0.34,,-,-,-,-,-,-
24W48,41.1,+2,+5.12%,-0.33,,-,-,-,-,-,-
24W47,39.1,-0.6,-1.51%,-0.32,,-,-,-,-,-,-
24W46,39.7,-0.85,-2.1%,-0.32,,-,-,-,-,-,-
24W45,40.55,-0.25,-0.61%,-0.31,,-,-,-,-,-,-
24W44,40.8,-0.6,-1.45%,-0.3,,-,-,-,-,-,-
24W43,41.4,-0.7,-1.66%,-0.3,,-,-,-,-,-,-
24W42,42.1,+0.4,+0.96%,-0.29,,-,-,-,-,-,-
24W41,41.7,-1.35,-3.14%,-0.28,,-,-,-,-,-,-
24W40,43.05,-2.55,-5.59%,-0.27,,-,-,-,-,-,-
24W39,45.6,+1.45,+3.28%,-0.27,,-,-,-,-,-,-
24W38,44.15,+0.9,+2.08%,-0.26,,-,-,-,-,-,-
24W37,43.25,-1.1,-2.48%,-0.25,,-,-,-,-,-,-
24W36,44.35,-4.05,-8.37%,-0.25,,-,-,-,-,-,-
24W35,48.4,+0.4,+0.83%,-0.24,,-,-,-,-,-,-
24W34,48,+2.95,+6.55%,-0.23,,-,-,-,-,-,-
24W33,45.05,+1.8,+4.16%,-0.22,,-,-,-,-,-,-
24W32,43.25,-1.45,-3.24%,-0.22,,-,-,-,-,-,-
24W31,44.7,+0.05,+0.11%,-0.21,,-,-,-,-,-,-
24W30,44.65,-2.05,-4.39%,-0.2,,-,-,-,-,-,-
24W29,46.7,-4.3,-8.43%,-0.2,,-,-,-,-,-,-
24W28,51,-7.3,-12.5%,-0.19,,-,-,-,-,-,-
24W27,58.3,+10.5,+22%,-0.18,,-,-,-,-,-,-
24W26,47.8,+3.7,+8.39%,-0.18,,-,-,-,-,-,-
24W25,44.1,+0.25,+0.57%,-0.17,,-,-,-,-,-,-
24W24,43.85,-2.35,-5.09%,-0.16,,-,-,-,-,-,-
24W23,46.2,+1.5,+3.36%,-0.15,,-,-,-,-,-,-
24W22,44.7,+2.05,+4.81%,-0.15,,-,-,-,-,-,-
24W21,42.65,+2.65,+6.62%,-0.14,,-,-,-,-,-,-
24W20,40,+1.9,+4.99%,-0.13,,-,-,-,-,-,-
24W19,38.1,+2.05,+5.69%,-0.13,,-,-,-,-,-,-
24W18,36.05,-0.65,-1.77%,-0.12,,-,-,-,-,-,-
24W17,36.7,-0.05,-0.14%,-0.11,,-,-,-,-,-,-
24W16,36.75,-6.05,-14.1%,-0.1,,-,-,-,-,-,-
24W15,42.8,-1.8,-4.04%,-0.1,,-,-,-,-,-,-
24W14,44.6,+1.2,+2.76%,-0.09,,-,-,-,-,-,-
24W13,43.4,-7.3,-14.4%,-0.08,,-,-,-,-,-,-
24W12,50.7,+4.15,+8.92%,-0.08,,-,-,-,-,-,-
24W11,46.55,-4.35,-8.55%,-0.07,,-,-,-,-,-,-
24W10,50.9,+11.6,+29.5%,-0.06,,-,-,-,-,-,-
24W09,39.3,+2.35,+6.36%,-0.05,,-,-,-,-,-,-
24W08,36.95,+2.25,+6.48%,-0.05,,-,-,-,-,-,-
24W07,34.7,+1.7,+5.15%,-0.04,,-,-,-,-,-,-
24W06,33,-0.7,-2.08%,-0.03,,-,-,-,-,-,-
24W05,33.7,-0.55,-1.61%,-0.03,,-,-,-,-,-,-
24W04,34.25,+2.25,+7.03%,-0.02,,-,-,-,-,-,-
24W03,32,-0.6,-1.84%,-0.01,,-,-,-,-,-,-
24W02,32.6,-1.95,-5.64%,0,,-,-,-,-,-,-
24W01,34.55,-1.45,-4.03%,0,11977,0.043,0.052,0.061,0.069,0.078,0.087
23W52,36,+0.4,+1.12%,0.01,3600,0.15,0.18,0.21,0.24,0.27,0.3
23W51,35.6,-0.65,-1.79%,0.01,2487,0.215,0.258,0.301,0.344,0.386,0.429
23W50,36.25,-2.7,-6.93%,0.02,1946,0.279,0.335,0.391,0.447,0.503,0.559
23W49,38.95,0,0%,0.02,1698,0.344,0.413,0.482,0.551,0.619,0.688
23W48,38.95,-1.35,-3.35%,0.03,1429,0.409,0.491,0.572,0.654,0.736,0.818
23W47,40.3,+2.1,+5.5%,0.03,1277,0.474,0.568,0.663,0.758,0.852,0.947
23W46,38.2,+4.95,+14.9%,0.04,1065,0.538,0.646,0.754,0.861,0.969,1.076
23W45,33.25,-1.55,-4.45%,0.04,827.2,0.603,0.724,0.844,0.965,1.085,1.206
23W44,34.8,+2.15,+6.58%,0.04,781.8,0.668,0.801,0.935,1.068,1.202,1.335
23W43,32.65,+3.9,+13.6%,0.05,668.7,0.732,0.879,1.025,1.172,1.318,1.465
23W42,28.75,-3.6,-11.1%,0.05,541,0.797,0.956,1.116,1.275,1.435,1.594
23W41,32.35,-1.9,-5.55%,0.06,563.1,0.862,1.034,1.206,1.379,1.551,1.724
23W40,34.25,+7.05,+25.9%,0.06,554.5,0.926,1.112,1.297,1.482,1.668,1.853
23W39,27.2,+0.55,+2.06%,0.07,411.6,0.991,1.189,1.388,1.586,1.784,1.982
23W38,26.65,+3.55,+15.4%,0.07,378.6,1.056,1.267,1.478,1.689,1.901,2.112
23W37,23.1,+2,+9.48%,0.07,309.2,1.121,1.345,1.569,1.793,2.017,2.241
23W36,21.1,-0.25,-1.17%,0.08,267,1.185,1.422,1.659,1.896,2.134,2.371
23W35,21.35,+0.75,+3.64%,0.08,256.2,1.25,1.5,1.75,2,2.25,2.5
23W34,20.6,+0.05,+0.24%,0.09,235,1.315,1.578,1.841,2.104,2.366,2.629
23W33,20.55,+0.25,+1.23%,0.09,223.5,1.379,1.655,1.931,2.207,2.483,2.759
23W32,20.3,-0.5,-2.4%,0.1,210.9,1.444,1.733,2.022,2.311,2.599,2.888
23W31,20.8,0,0%,0.1,206.8,1.509,1.811,2.112,2.414,2.716,3.018
23W30,20.8,-0.15,-0.72%,0.1,198.3,1.574,1.888,2.203,2.518,2.832,3.147
23W29,20.95,+0.05,+0.24%,0.11,191.8,1.638,1.966,2.294,2.621,2.949,3.276
23W28,20.9,-0.7,-3.24%,0.11,184.1,1.703,2.044,2.384,2.725,3.065,3.406
23W27,21.6,-0.15,-0.69%,0.12,183.3,1.768,2.121,2.475,2.828,3.182,3.535
23W26,21.75,-0.45,-2.03%,0.12,178,1.832,2.199,2.565,2.932,3.298,3.665
23W25,22.2,0,0%,0.13,175.5,1.897,2.276,2.656,3.035,3.415,3.794
23W24,22.2,+0.35,+1.6%,0.13,169.8,1.962,2.354,2.746,3.139,3.531,3.924
23W23,21.85,-0.3,-1.35%,0.14,161.7,2.026,2.432,2.837,3.242,3.648,4.053
23W22,22.15,+0.55,+2.55%,0.14,158.9,2.091,2.509,2.928,3.346,3.764,4.182
23W21,21.6,+0.25,+1.17%,0.14,150.3,2.156,2.587,3.018,3.449,3.881,4.312
23W20,21.35,+0.35,+1.67%,0.15,144.2,2.221,2.665,3.109,3.553,3.997,4.441
23W19,21,-1.65,-7.28%,0.15,137.8,2.285,2.742,3.199,3.656,4.114,4.571
23W18,22.65,-0.5,-2.16%,0.16,144.6,2.35,2.82,3.29,3.76,4.23,4.7
23W17,23.15,-0.05,-0.22%,0.16,143.8,2.415,2.898,3.381,3.864,4.346,4.829
23W16,23.2,-0.7,-2.93%,0.17,140.4,2.479,2.975,3.471,3.967,4.463,4.959
23W15,23.9,0,0%,0.17,140.9,2.544,3.053,3.562,4.071,4.579,5.088
23W14,23.9,+0.55,+2.36%,0.17,137.4,2.609,3.131,3.652,4.174,4.696,5.218
23W13,23.35,-0.65,-2.71%,0.18,131,2.674,3.208,3.743,4.278,4.812,5.347
