Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,30.1,+0.05,+0.17%,0.88,34.2,13.2,15.84,18.48,21.12,23.76,26.4
24W52,30.05,+0.05,+0.17%,0.88,34.15,13.2,15.84,18.48,21.12,23.76,26.4
24W51,30,-1.25,-4%,0.88,33.96,13.25,15.9,18.55,21.2,23.85,26.5
24W50,31.25,+0.2,+0.64%,0.89,35.23,13.3,15.96,18.63,21.29,23.95,26.61
24W49,31.05,-0.75,-2.36%,0.89,34.87,13.36,16.03,18.7,21.37,24.04,26.71
24W48,31.8,-0.2,-0.62%,0.89,35.58,13.41,16.09,18.77,21.45,24.13,26.82
24W47,32,+0.15,+0.47%,0.9,35.66,13.46,16.15,18.84,21.54,24.23,26.92
24W46,31.85,-0.1,-0.31%,0.9,35.36,13.51,16.21,18.92,21.62,24.32,27.02
24W45,31.95,-1.05,-3.18%,0.9,35.33,13.56,16.28,18.99,21.7,24.41,27.13
24W44,33,+1,+3.12%,0.91,36.36,13.62,16.34,19.06,21.78,24.51,27.23
24W43,32,-0.75,-2.29%,0.91,35.12,13.67,16.4,19.13,21.87,24.6,27.33
24W42,32.75,-0.1,-0.3%,0.91,35.81,13.72,16.46,19.21,21.95,24.69,27.44
24W41,32.85,-0.55,-1.65%,0.92,35.78,13.77,16.53,19.28,22.03,24.79,27.54
24W40,33.4,+0.35,+1.06%,0.92,36.24,13.82,16.59,19.35,22.12,24.88,27.65
24W39,33.05,+0.3,+0.92%,0.92,35.73,13.88,16.65,19.42,22.2,24.98,27.75
24W38,32.75,+0.6,+1.87%,0.93,35.27,13.93,16.71,19.5,22.28,25.07,27.85
24W37,32.15,+0.15,+0.47%,0.93,34.5,13.98,16.77,19.57,22.37,25.16,27.96
24W36,32,-0.6,-1.84%,0.94,34.21,14.03,16.84,19.64,22.45,25.26,28.06
24W35,32.6,+0.3,+0.93%,0.94,34.72,14.08,16.9,19.72,22.53,25.35,28.17
24W34,32.3,-0.3,-0.92%,0.94,34.28,14.13,16.96,19.79,22.62,25.44,28.27
24W33,32.6,+0.45,+1.4%,0.95,34.47,14.19,17.02,19.86,22.7,25.54,28.37
24W32,32.15,-1.3,-3.89%,0.95,33.87,14.24,17.09,19.93,22.78,25.63,28.48
24W31,33.45,+0.15,+0.45%,0.95,35.11,14.29,17.15,20.01,22.86,25.72,28.58
24W30,33.3,0,0%,0.96,34.83,14.34,17.21,20.08,22.95,25.82,28.68
24W29,33.3,0,0%,0.96,34.7,14.39,17.27,20.15,23.03,25.91,28.79
24W28,33.3,-0.85,-2.49%,0.96,34.58,14.45,17.34,20.22,23.11,26,28.89
24W27,34.15,-0.05,-0.15%,0.97,35.33,14.5,17.4,20.3,23.2,26.1,29
24W26,34.2,+0.1,+0.29%,0.97,35.26,14.55,17.46,20.37,23.28,26.19,29.1
24W25,34.1,+0.1,+0.29%,0.97,35.03,14.6,17.52,20.44,23.36,26.28,29.2
24W24,34,-0.2,-0.58%,0.98,34.8,14.65,17.58,20.52,23.45,26.38,29.31
24W23,34.2,+0.1,+0.29%,0.98,34.88,14.71,17.65,20.59,23.53,26.47,29.41
24W22,34.1,+0.1,+0.29%,0.98,34.66,14.76,17.71,20.66,23.61,26.56,29.52
24W21,34,+0.15,+0.44%,0.99,34.44,14.81,17.77,20.73,23.7,26.66,29.62
24W20,33.85,0,0%,0.99,34.17,14.86,17.83,20.81,23.78,26.75,29.72
24W19,33.85,-0.05,-0.15%,0.99,34.05,14.91,17.9,20.88,23.86,26.84,29.83
24W18,33.9,+0.5,+1.5%,1,33.98,14.97,17.96,20.95,23.94,26.94,29.93
24W17,33.4,+0.1,+0.3%,1,33.36,15.02,18.02,21.02,24.03,27.03,30.03
24W16,33.3,-0.3,-0.89%,1,33.15,15.07,18.08,21.1,24.11,27.12,30.14
24W15,33.6,-0.2,-0.59%,1.01,33.33,15.12,18.15,21.17,24.19,27.22,30.24
24W14,33.8,-0.05,-0.15%,1.01,33.41,15.17,18.21,21.24,24.28,27.31,30.35
24W13,33.85,+0.15,+0.45%,1.02,33.35,15.23,18.27,21.32,24.36,27.41,30.45
24W12,33.7,-0.25,-0.74%,1.02,33.09,15.28,18.33,21.39,24.44,27.5,30.55
24W11,33.95,-0.55,-1.59%,1.02,33.22,15.33,18.39,21.46,24.53,27.59,30.66
24W10,34.5,-0.2,-0.58%,1.03,33.65,15.38,18.46,21.53,24.61,27.69,30.76
24W09,34.7,0,0%,1.03,33.73,15.43,18.52,21.61,24.69,27.78,30.87
24W08,34.7,-0.6,-1.7%,1.03,33.61,15.48,18.58,21.68,24.78,27.87,30.97
24W07,35.3,+0.9,+2.62%,1.04,34.08,15.54,18.64,21.75,24.86,27.97,31.07
24W06,34.4,-0.2,-0.58%,1.04,33.1,15.59,18.71,21.82,24.94,28.06,31.18
24W05,34.6,+0.1,+0.29%,1.04,33.18,15.64,18.77,21.9,25.02,28.15,31.28
24W04,34.5,+0.2,+0.58%,1.05,32.98,15.69,18.83,21.97,25.11,28.25,31.38
24W03,34.3,-0.55,-1.58%,1.05,32.68,15.74,18.89,22.04,25.19,28.34,31.49
24W02,34.85,-0.15,-0.43%,1.05,33.09,15.8,18.96,22.11,25.27,28.43,31.59
24W01,35,+0.15,+0.43%,1.06,33.13,15.85,19.02,22.19,25.36,28.53,31.7
23W52,34.85,+0.05,+0.14%,1.06,32.88,15.9,19.08,22.26,25.44,28.62,31.8
23W51,34.8,-0.15,-0.43%,1.05,33.13,15.76,18.91,22.06,25.21,28.36,31.51
23W50,34.95,-0.05,-0.14%,1.04,33.58,15.61,18.73,21.86,24.98,28.1,31.22
23W49,35,+0.15,+0.43%,1.03,33.94,15.47,18.56,21.65,24.75,27.84,30.94
23W48,34.85,+0.05,+0.14%,1.02,34.11,15.32,18.39,21.45,24.52,27.58,30.65
23W47,34.8,+0.05,+0.14%,1.01,34.39,15.18,18.22,21.25,24.29,27.32,30.36
23W46,34.75,0,0%,1,34.67,15.04,18.04,21.05,24.06,27.06,30.07
23W45,34.75,-0.05,-0.14%,0.99,35,14.89,17.87,20.85,23.83,26.8,29.78
23W44,34.8,+0.05,+0.14%,0.98,35.4,14.75,17.7,20.65,23.6,26.54,29.49
23W43,34.75,-0.5,-1.42%,0.97,35.69,14.6,17.52,20.44,23.36,26.29,29.21
23W42,35.25,0,0%,0.96,36.57,14.46,17.35,20.24,23.13,26.03,28.92
23W41,35.25,-0.35,-0.98%,0.95,36.94,14.31,17.18,20.04,22.9,25.77,28.63
23W40,35.6,+0.35,+0.99%,0.94,37.68,14.17,17,19.84,22.67,25.51,28.34
23W39,35.25,-0.15,-0.42%,0.94,37.7,14.03,16.83,19.64,22.44,25.25,28.05
