2034	允強	20.35
2035	唐榮	31.6
2038	海光	16.05
2049	上銀科	270.5
2061	風青	19.1
2062	橋椿	35.15
2063	世鎧	32.45
2064	晉椿	14.7
2065	世豐	49.8
2066	世德	90.8
2067	嘉鋼	11.05
2069	運錩	16.45
2070	精湛	74.3
2073	雄順	27.95
2101	南港	47.6
2102	泰豐	19.05
2103	台橡	20.95
2104	中橡	13.5
2105	正新	49.45
2106	建大	27.15
2107	厚生	25.85
2108	南帝	31.6
2109	華豐	18.2
2114	鑫永銓	95
2115	六暉-KY	30.8
2201	裕隆	50.7
2204	中華	75.5
2206	三陽	68.9
2207	和泰車	610
2208	台船	15.5
2211	長榮鋼	109.5
2221	大甲	29.2
2227	裕日車	77
2228	劍麟	100
2230	泰茂	119
2231	為升	102.5
2233	宇隆	190.5
2235	謚源	46.2
2236	百達-KY	124.5
2239	英利-KY	37.45
2241	艾姆勒	27.1
2243	宏旭-KY	16.6
2247	汎德永業	296.5
2250	第一化成IKKA-KY	93.9
2254	巨鎧精密	81.9
2301	光寶科	99.8
2302	麗正	18.15
2303	聯電	42.55
2305	全友	14.6
2308	台達電	419.5
2312	金寶	27.25
2313	華通	70.2
2314	台揚	31.7
2316	楠梓電	47.7
2317	鴻海	183
2321	東訊	15.5
2323	中環	10.8
2324	仁寶	37.05
2327	國巨	527
2328	廣宇	38.85
2329	華泰電	34.4
2330	台積電	1075
2331	精英	21.7
2332	友訊	21.35
2337	旺宏	20.5
2338	光罩	50.1
2340	台亞	28.15
2342	茂矽	32.3
2344	華邦電	14.9
2345	智邦	740
2347	聯強	71.4
2348	海悅	186
2349	錸德	14.2
2351	順德	94.9
2352	佳世達	35
2353	宏碁	36.45
2354	鴻準	78
2355	敬鵬	39.55
2356	英業達	49.65
2357	華碩	595
2359	所羅門	163
2360	致茂	403
2362	藍天	52.2
2363	矽統	73
2364	倫飛	79.1
2365	昆盈	42.4
2367	燿華	31.9
2368	金像	234
2369	菱生	17.15
2371	大同	45.3
2373	震旦行	64.5
2374	佳能	56.6
2375	凱美	69
2376	技嘉	268
2377	微星	172
2379	瑞昱	545
2380	虹光	4.55
2382	廣達	275
2383	台光電	599
2385	群光	143
2387	精元	61.9
2388	威盛	103
2390	云辰	11.7
2392	正崴	73.4
2393	億光	80.5
2395	研華	351.5
2397	友通	75.2
2399	映泰	27.5
2401	凌陽	27.95
2402	毅嘉	37.7
2404	漢唐	474
2405	輔信	19.95
2406	國碩	15.1
2408	南亞科	30.75
2409	友達	15.15
2412	中華電	123.5
2413	環科	23.65
2414	精技	36.95
2415	錩新	28.85
2417	圓剛	45
2419	仲琦	29.55
2420	新巨	62
2421	建準	98.7
2423	固緯	40.7
2424	隴華	62.6
2425	承啟	35.65
2426	鼎元	21.5
2427	三商電	25.85
