Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
23W43,13.9,+0.8,+6.11%,1.32,10.5,0.662,8.471,16.28,24.09,31.9,39.71
23W42,13.1,0,0%,1.29,10.15,0.645,8.26,15.87,23.49,31.1,38.72
23W41,13.1,-0.1,-0.76%,1.26,10.42,0.629,8.049,15.47,22.89,30.31,37.73
23W40,13.2,+0.1,+0.76%,1.22,10.78,0.612,7.838,15.06,22.29,29.52,36.74
23W39,13.1,0,0%,1.19,10.99,0.596,7.627,14.66,21.69,28.72,35.75
23W38,13.1,-0.2,-1.5%,1.16,11.3,0.579,7.416,14.25,21.09,27.93,34.76
23W37,13.3,-0.35,-2.56%,1.13,11.81,0.563,7.206,13.85,20.49,27.13,33.78
23W36,13.65,+0.05,+0.37%,1.09,12.49,0.546,6.995,13.44,19.89,26.34,32.79
23W35,13.6,-0.15,-1.09%,1.06,12.83,0.53,6.784,13.04,19.29,25.55,31.8
23W34,13.75,+0.25,+1.85%,1.03,13.39,0.514,6.573,12.63,18.69,24.75,30.81
23W33,13.5,-0.25,-1.82%,0.99,13.58,0.497,6.362,12.23,18.09,23.96,29.82
23W32,13.75,-0.25,-1.79%,0.96,14.31,0.481,6.152,11.82,17.49,23.16,28.84
23W31,14,-0.05,-0.36%,0.93,15.08,0.464,5.941,11.42,16.89,22.37,27.85
23W30,14.05,-0.5,-3.44%,0.9,15.69,0.448,5.73,11.01,16.29,21.58,26.86
23W29,14.55,+0.25,+1.75%,0.86,16.87,0.431,5.519,10.61,15.69,20.78,25.87
23W28,14.3,0,0%,0.83,17.24,0.415,5.308,10.2,15.1,19.99,24.88
23W27,14.3,+0.2,+1.42%,0.8,17.95,0.398,5.097,9.797,14.5,19.19,23.89
23W26,14.1,-0.3,-2.08%,0.76,18.47,0.382,4.887,9.391,13.9,18.4,22.91
23W25,14.4,-0.7,-4.64%,0.73,19.71,0.365,4.676,8.986,13.3,17.61,21.92
23W24,15.1,-0.15,-0.98%,0.7,21.64,0.349,4.465,8.581,12.7,16.81,20.93
23W23,15.25,+0.25,+1.67%,0.66,22.94,0.332,4.254,8.176,12.1,16.02,19.94
23W22,15,+0.15,+1.01%,0.63,23.74,0.316,4.043,7.771,11.5,15.23,18.95
23W21,14.85,-0.3,-1.98%,0.6,24.8,0.299,3.832,7.366,10.9,14.43,17.96
23W20,15.15,-0.5,-3.19%,0.57,26.77,0.283,3.622,6.96,10.3,13.64,16.98
23W19,15.65,-0.15,-0.95%,0.53,29.37,0.266,3.411,6.555,9.7,12.84,15.99
23W18,15.8,-0.2,-1.25%,0.5,31.6,0.25,3.2,6.15,9.1,12.05,15
23W17,16,+0.6,+3.9%,0.47,34.26,0.234,2.989,5.745,8.5,11.26,14.01
23W16,15.4,+0.3,+1.99%,0.43,35.47,0.217,2.778,5.34,7.901,10.46,13.02
23W15,15.1,+0.4,+2.72%,0.4,37.64,0.201,2.568,4.934,7.301,9.668,12.04
23W14,14.7,0,0%,0.37,39.92,0.184,2.357,4.529,6.702,8.874,11.05
23W13,14.7,0,0%,0.34,43.84,0.168,2.146,4.124,6.102,8.081,10.06
23W12,14.7,+0.05,+0.34%,0.3,48.62,0.151,1.935,3.719,5.503,7.287,9.071
23W11,14.65,-0.15,-1.01%,0.27,54.38,0.135,1.724,3.314,4.903,6.493,8.082
23W10,14.8,+0.05,+0.34%,0.24,62.59,0.118,1.513,2.909,4.304,5.699,7.094
23W09,14.75,-0.1,-0.67%,0.2,72.47,0.102,1.303,2.503,3.704,4.905,6.106
23W08,14.85,+0.4,+2.77%,0.17,87.05,0.085,1.092,2.098,3.105,4.111,5.118
23W07,14.45,-0.15,-1.03%,0.14,105,0.069,0.881,1.693,2.505,3.317,4.129
23W06,14.6,+0.3,+2.1%,0.1,139.4,0.052,0.67,1.288,1.906,2.523,3.141
