Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,21.75,-0.15,-0.68%,-1.97,,-,-,-,-,-,-
24W52,21.9,+0.55,+2.58%,-1.97,,-,-,-,-,-,-
24W51,21.35,-0.65,-2.95%,-1.97,,-,-,-,-,-,-
24W50,22,0,0%,-1.97,,-,-,-,-,-,-
24W49,22,-0.05,-0.23%,-1.96,,-,-,-,-,-,-
24W48,22.05,-0.05,-0.23%,-1.96,,-,-,-,-,-,-
24W47,22.1,-0.2,-0.9%,-1.96,,-,-,-,-,-,-
24W46,22.3,-0.35,-1.55%,-1.96,,-,-,-,-,-,-
24W45,22.65,-0.5,-2.16%,-1.96,,-,-,-,-,-,-
24W44,23.15,+0.2,+0.87%,-1.95,,-,-,-,-,-,-
24W43,22.95,-0.05,-0.22%,-1.95,,-,-,-,-,-,-
24W42,23,+0.15,+0.66%,-1.95,,-,-,-,-,-,-
24W41,22.85,-1.05,-4.39%,-1.95,,-,-,-,-,-,-
24W40,23.9,-0.8,-3.24%,-1.95,,-,-,-,-,-,-
24W39,24.7,-0.45,-1.79%,-1.94,,-,-,-,-,-,-
24W38,25.15,+1,+4.14%,-1.94,,-,-,-,-,-,-
24W37,24.15,-2.15,-8.17%,-1.94,,-,-,-,-,-,-
24W36,26.3,-0.1,-0.38%,-1.94,,-,-,-,-,-,-
24W35,26.4,+0.45,+1.73%,-1.94,,-,-,-,-,-,-
24W34,25.95,-1.05,-3.89%,-1.94,,-,-,-,-,-,-
24W33,27,+1.15,+4.45%,-1.93,,-,-,-,-,-,-
24W32,25.85,-2.3,-8.17%,-1.93,,-,-,-,-,-,-
24W31,28.15,+2.55,+9.96%,-1.93,,-,-,-,-,-,-
24W30,25.6,+1.65,+6.89%,-1.93,,-,-,-,-,-,-
24W29,23.95,-0.55,-2.24%,-1.93,,-,-,-,-,-,-
24W28,24.5,+0.1,+0.41%,-1.92,,-,-,-,-,-,-
24W27,24.4,+0.6,+2.52%,-1.92,,-,-,-,-,-,-
24W26,23.8,-0.2,-0.83%,-1.92,,-,-,-,-,-,-
24W25,24,+0.6,+2.56%,-1.92,,-,-,-,-,-,-
24W24,23.4,-1.05,-4.29%,-1.92,,-,-,-,-,-,-
24W23,24.45,+0.2,+0.82%,-1.91,,-,-,-,-,-,-
24W22,24.25,+0.45,+1.89%,-1.91,,-,-,-,-,-,-
24W21,23.8,-0.1,-0.42%,-1.91,,-,-,-,-,-,-
24W20,23.9,+0.5,+2.14%,-1.91,,-,-,-,-,-,-
24W19,23.4,+0.75,+3.31%,-1.91,,-,-,-,-,-,-
24W18,22.65,+0.45,+2.03%,-1.9,,-,-,-,-,-,-
24W17,22.2,+0.6,+2.78%,-1.9,,-,-,-,-,-,-
24W16,21.6,-1.4,-6.09%,-1.9,,-,-,-,-,-,-
24W15,23,-0.2,-0.86%,-1.9,,-,-,-,-,-,-
24W14,23.2,+0.2,+0.87%,-1.9,,-,-,-,-,-,-
24W13,23,-0.05,-0.22%,-1.9,,-,-,-,-,-,-
24W12,23.05,+0.25,+1.1%,-1.89,,-,-,-,-,-,-
24W11,22.8,-0.3,-1.3%,-1.89,,-,-,-,-,-,-
24W10,23.1,-0.2,-0.86%,-1.89,,-,-,-,-,-,-
24W09,23.3,0,0%,-1.89,,-,-,-,-,-,-
24W08,23.3,+0.1,+0.43%,-1.89,,-,-,-,-,-,-
24W07,23.2,+0.7,+3.11%,-1.88,,-,-,-,-,-,-
24W06,22.5,-0.5,-2.17%,-1.88,,-,-,-,-,-,-
24W05,23,-0.2,-0.86%,-1.88,,-,-,-,-,-,-
24W04,23.2,-0.15,-0.64%,-1.88,,-,-,-,-,-,-
24W03,23.35,+0.05,+0.21%,-1.88,,-,-,-,-,-,-
24W02,23.3,-0.5,-2.1%,-1.87,,-,-,-,-,-,-
24W01,23.8,+0.05,+0.21%,-1.87,,-,-,-,-,-,-
23W52,23.75,0,0%,-1.87,,-,-,-,-,-,-
23W51,23.75,-0.25,-1.04%,-1.83,,-,-,-,-,-,-
23W50,24,-0.65,-2.64%,-1.78,,-,-,-,-,-,-
23W49,24.65,+0.2,+0.82%,-1.74,,-,-,-,-,-,-
23W48,24.45,-0.55,-2.2%,-1.7,,-,-,-,-,-,-
23W47,25,+0.7,+2.88%,-1.66,,-,-,-,-,-,-
23W46,24.3,+0.55,+2.32%,-1.61,,-,-,-,-,-,-
23W45,23.75,-0.65,-2.66%,-1.57,,-,-,-,-,-,-
23W44,24.4,-0.1,-0.41%,-1.53,,-,-,-,-,-,-
23W43,24.5,0,0%,-1.49,,-,-,-,-,-,-
23W42,24.5,-2.15,-8.07%,-1.44,,-,-,-,-,-,-
23W41,26.65,-0.95,-3.44%,-1.4,,-,-,-,-,-,-
23W40,27.6,+1.75,+6.77%,-1.36,,-,-,-,-,-,-
23W39,25.85,-0.15,-0.58%,-1.31,,-,-,-,-,-,-
23W38,26,+0.6,+2.36%,-1.27,,-,-,-,-,-,-
23W37,25.4,-0.1,-0.39%,-1.23,,-,-,-,-,-,-
23W36,25.5,-0.4,-1.54%,-1.19,,-,-,-,-,-,-
23W35,25.9,+1.8,+7.47%,-1.14,,-,-,-,-,-,-
23W34,24.1,+0.4,+1.69%,-1.1,,-,-,-,-,-,-
23W33,23.7,-0.7,-2.87%,-1.06,,-,-,-,-,-,-
23W32,24.4,-2.3,-8.61%,-1.02,,-,-,-,-,-,-
23W31,26.7,+0.2,+0.75%,-0.97,,-,-,-,-,-,-
23W30,26.5,+0.35,+1.34%,-0.93,,-,-,-,-,-,-
23W29,26.15,-1.55,-5.6%,-0.89,,-,-,-,-,-,-
23W28,27.7,-2.3,-7.67%,-0.84,,-,-,-,-,-,-
23W27,30,-0.85,-2.76%,-0.8,,-,-,-,-,-,-
23W26,30.85,+1.45,+4.93%,-0.76,,-,-,-,-,-,-
23W25,29.4,-0.65,-2.16%,-0.72,,-,-,-,-,-,-
23W24,30.05,+0.65,+2.21%,-0.67,,-,-,-,-,-,-
23W23,29.4,-1.35,-4.39%,-0.63,,-,-,-,-,-,-
23W22,30.75,+0.45,+1.49%,-0.59,,-,-,-,-,-,-
23W21,30.3,+7.1,+30.6%,-0.54,,-,-,-,-,-,-
23W20,23.2,+0.3,+1.31%,-0.5,,-,-,-,-,-,-
23W19,22.9,-1.7,-6.91%,-0.46,,-,-,-,-,-,-
23W18,24.6,+0.55,+2.29%,-0.42,,-,-,-,-,-,-
23W17,24.05,+0.3,+1.26%,-0.37,,-,-,-,-,-,-
23W16,23.75,-0.35,-1.45%,-0.33,,-,-,-,-,-,-
23W15,24.1,+0.5,+2.12%,-0.29,,-,-,-,-,-,-
23W14,23.6,-0.65,-2.68%,-0.25,,-,-,-,-,-,-
23W13,24.25,-0.25,-1.02%,-0.2,,-,-,-,-,-,-
23W12,24.5,+0.15,+0.62%,-0.16,,-,-,-,-,-,-
23W11,24.35,-0.2,-0.81%,-0.12,,-,-,-,-,-,-
23W10,24.55,-1.05,-4.1%,-0.07,,-,-,-,-,-,-
23W09,25.6,-0.5,-1.92%,-0.03,,-,-,-,-,-,-
23W08,26.1,+2.25,+9.43%,0.01,2420,0.162,0.194,0.226,0.259,0.291,0.324
23W07,23.85,-0.7,-2.85%,0.05,445.6,0.803,0.964,1.124,1.285,1.445,1.606
23W06,24.55,-0.55,-2.19%,0.1,255,1.444,1.733,2.022,2.311,2.599,2.888
23W05,25.1,+0.8,+3.29%,0.14,180.6,2.085,2.502,2.919,3.336,3.754,4.171
23W03,24.3,+0.1,+0.41%,0.18,133.7,2.726,3.272,3.817,4.362,4.908,5.453
23W02,24.2,+0.4,+1.68%,0.22,107.8,3.368,4.041,4.715,5.388,6.062,6.735
23W01,23.8,-0.5,-2.06%,0.27,89.05,4.009,4.811,5.612,6.414,7.216,8.018
22W53,24.3,+0.45,+1.89%,0.31,78.39,4.65,5.58,6.51,7.44,8.37,9.3
22W52,23.85,+0.1,+0.42%,0.34,70.63,5.065,6.078,7.092,8.105,9.118,10.13
22W51,23.75,-0.65,-2.66%,0.37,65,5.481,6.577,7.673,8.769,9.865,10.96
22W50,24.4,-1.5,-5.79%,0.39,62.07,5.896,7.075,8.255,9.434,10.61,11.79
22W49,25.9,+2,+8.37%,0.42,61.55,6.312,7.574,8.836,10.1,11.36,12.62
22W48,23.9,-0.5,-2.05%,0.45,53.29,6.727,8.072,9.418,10.76,12.11,13.45
22W47,24.4,+0.6,+2.52%,0.48,51.24,7.142,8.571,9.999,11.43,12.86,14.28
22W46,23.8,-0.3,-1.24%,0.5,47.24,7.558,9.069,10.58,12.09,13.6,15.12
22W45,24.1,+0.8,+3.43%,0.53,45.34,7.973,9.568,11.16,12.76,14.35,15.95
22W44,23.3,+0.65,+2.87%,0.56,41.66,8.388,10.07,11.74,13.42,15.1,16.78
