Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,62,-0.1,-0.16%,4.3,14.42,55.9,62.78,69.66,76.54,83.42,90.3
24W52,62.1,-0.2,-0.32%,4.3,14.44,55.9,62.78,69.66,76.54,83.42,90.3
24W51,62.3,+0.4,+0.65%,4.3,14.48,55.95,62.84,69.72,76.61,83.49,90.38
24W50,61.9,-0.4,-0.64%,4.31,14.37,56,62.89,69.78,76.68,83.57,90.46
24W49,62.3,+0.9,+1.47%,4.31,14.45,56.05,62.95,69.85,76.75,83.64,90.54
24W48,61.4,-0.6,-0.97%,4.32,14.23,56.1,63,69.91,76.81,83.72,90.62
24W47,62,+1.5,+2.48%,4.32,14.35,56.15,63.06,69.97,76.88,83.79,90.7
24W46,60.5,-1.9,-3.04%,4.32,13.99,56.2,63.12,70.03,76.95,83.87,90.78
24W45,62.4,-1.8,-2.8%,4.33,14.42,56.25,63.17,70.1,77.02,83.94,90.87
24W44,64.2,+0.2,+0.31%,4.33,14.82,56.3,63.23,70.16,77.09,84.02,90.95
24W43,64,+1.5,+2.4%,4.33,14.76,56.35,63.29,70.22,77.16,84.09,91.03
24W42,62.5,+2.4,+3.99%,4.34,14.41,56.4,63.34,70.28,77.22,84.17,91.11
24W41,60.1,-0.8,-1.31%,4.34,13.84,56.45,63.4,70.35,77.29,84.24,91.19
24W40,60.9,-1.1,-1.77%,4.35,14.01,56.5,63.45,70.41,77.36,84.32,91.27
24W39,62,+0.7,+1.14%,4.35,14.25,56.55,63.51,70.47,77.43,84.39,91.35
24W38,61.3,+1.3,+2.17%,4.35,14.08,56.6,63.57,70.53,77.5,84.46,91.43
24W37,60,-1,-1.64%,4.36,13.77,56.65,63.62,70.59,77.57,84.54,91.51
24W36,61,-1,-1.61%,4.36,13.99,56.7,63.68,70.66,77.64,84.61,91.59
24W35,62,+0.9,+1.47%,4.37,14.2,56.75,63.73,70.72,77.7,84.69,91.67
24W34,61.1,+0.9,+1.5%,4.37,13.98,56.8,63.79,70.78,77.77,84.76,91.75
24W33,60.2,+1.7,+2.91%,4.37,13.77,56.85,63.85,70.84,77.84,84.84,91.83
24W32,58.5,-2.8,-4.57%,4.38,13.37,56.9,63.9,70.91,77.91,84.91,91.92
24W31,61.3,-0.2,-0.33%,4.38,13.99,56.95,63.96,70.97,77.98,84.99,92
24W30,61.5,-3.2,-4.95%,4.38,14.03,57,64.02,71.03,78.05,85.06,92.08
24W29,64.7,-4.9,-7.04%,4.39,14.74,57.05,64.07,71.09,78.11,85.14,92.16
24W28,69.6,-3.3,-4.53%,4.39,15.85,57.1,64.13,71.16,78.18,85.21,92.24
24W27,72.9,+2.2,+3.11%,4.4,16.58,57.15,64.18,71.22,78.25,85.29,92.32
24W26,70.7,+1,+1.43%,4.4,16.07,57.2,64.24,71.28,78.32,85.36,92.4
24W25,69.7,-0.6,-0.85%,4.4,15.83,57.25,64.3,71.34,78.39,85.43,92.48
24W24,70.3,0,0%,4.41,15.95,57.3,64.35,71.4,78.46,85.51,92.56
24W23,70.3,-1,-1.4%,4.41,15.94,57.35,64.41,71.47,78.53,85.58,92.64
24W22,71.3,+1.1,+1.57%,4.42,16.15,57.4,64.46,71.53,78.59,85.66,92.72
24W21,70.2,-0.3,-0.43%,4.42,15.89,57.45,64.52,71.59,78.66,85.73,92.8
24W20,70.5,-2.2,-3.03%,4.42,15.94,57.5,64.58,71.65,78.73,85.81,92.88
24W19,72.7,+0.1,+0.14%,4.43,16.42,57.55,64.63,71.72,78.8,85.88,92.97
24W18,72.6,-5.9,-7.52%,4.43,16.39,57.6,64.69,71.78,78.87,85.96,93.05
24W17,78.5,-11,-12.3%,4.43,17.7,57.65,64.75,71.84,78.94,86.03,93.13
24W16,89.5,+12.5,+16.2%,4.44,20.16,57.7,64.8,71.9,79,86.11,93.21
24W15,77,+3.5,+4.76%,4.44,17.33,57.75,64.86,71.97,79.07,86.18,93.29
24W14,73.5,-3.3,-4.3%,4.45,16.53,57.8,64.91,72.03,79.14,86.26,93.37
24W13,76.8,+4.3,+5.93%,4.45,17.26,57.85,64.97,72.09,79.21,86.33,93.45
24W12,72.5,+4.4,+6.46%,4.45,16.28,57.9,65.03,72.15,79.28,86.4,93.53
24W11,68.1,-0.4,-0.58%,4.46,15.28,57.95,65.08,72.21,79.35,86.48,93.61
24W10,68.5,+2.6,+3.95%,4.46,15.35,58,65.14,72.28,79.42,86.55,93.69
24W09,65.9,+6,+10%,4.47,14.76,58.05,65.19,72.34,79.48,86.63,93.77
24W08,59.9,+1.3,+2.22%,4.47,13.4,58.1,65.25,72.4,79.55,86.7,93.85
24W07,58.6,-0.7,-1.18%,4.47,13.1,58.15,65.31,72.46,79.62,86.78,93.93
24W06,59.3,-0.2,-0.34%,4.48,13.25,58.2,65.36,72.53,79.69,86.85,94.02
24W05,59.5,+0.4,+0.68%,4.48,13.28,58.25,65.42,72.59,79.76,86.93,94.1
24W04,59.1,+1,+1.72%,4.48,13.18,58.3,65.48,72.65,79.83,87,94.18
24W03,58.1,-1.4,-2.35%,4.49,12.94,58.35,65.53,72.71,79.89,87.08,94.26
24W02,59.5,+4.3,+7.79%,4.49,13.24,58.4,65.59,72.78,79.96,87.15,94.34
24W01,55.2,-1.2,-2.13%,4.5,12.28,58.45,65.64,72.84,80.03,87.23,94.42
23W52,56.4,+0.8,+1.44%,4.5,12.53,58.5,65.7,72.9,80.1,87.3,94.5
23W51,55.6,-1.1,-1.94%,4.49,12.37,58.43,65.62,72.81,80,87.19,94.38
23W50,56.7,-0.6,-1.05%,4.49,12.63,58.35,65.53,72.72,79.9,87.08,94.26
23W49,57.3,+1.5,+2.69%,4.48,12.78,58.28,65.45,72.62,79.8,86.97,94.14
23W48,55.8,+1.4,+2.57%,4.48,12.46,58.2,65.37,72.53,79.7,86.86,94.02
23W47,54.4,+0.1,+0.18%,4.47,12.17,58.13,65.28,72.44,79.59,86.75,93.9
23W46,54.3,+0.3,+0.56%,4.47,12.16,58.06,65.2,72.35,79.49,86.64,93.78
23W45,54,+2.3,+4.45%,4.46,12.11,57.98,65.12,72.26,79.39,86.53,93.66
23W44,51.7,-0.3,-0.58%,4.45,11.61,57.91,65.04,72.16,79.29,86.42,93.54
23W43,52,+0.4,+0.78%,4.45,11.69,57.83,64.95,72.07,79.19,86.31,93.43
23W42,51.6,-0.5,-0.96%,4.44,11.61,57.76,64.87,71.98,79.09,86.2,93.31
23W41,52.1,-0.2,-0.38%,4.44,11.74,57.69,64.79,71.89,78.99,86.09,93.19
23W40,52.3,-0.9,-1.69%,4.43,11.8,57.61,64.7,71.79,78.89,85.98,93.07
23W39,53.2,-0.1,-0.19%,4.43,12.02,57.54,64.62,71.7,78.78,85.87,92.95
23W38,53.3,-0.6,-1.11%,4.42,12.06,57.47,64.54,71.61,78.68,85.76,92.83
