Date,Price,PER
25W01,197.0,15.68
24W52,197.5,15.72
24W51,199.0,15.87
24W50,198.5,15.86
24W49,189.5,15.17
24W48,190.5,15.28
24W47,190.5,15.31
24W46,199.0,16.02
24W45,197.0,15.89
24W44,208.0,16.81
24W43,213.0,17.25
24W42,198.5,16.1
24W41,195.0,15.85
24W40,196.5,16.0
24W39,192.0,15.66
24W38,188.0,15.37
24W37,196.5,16.09
24W36,195.0,16.0
24W35,197.5,16.24
24W34,183.0,15.07
24W33,186.0,15.35
24W32,184.0,15.21
24W31,179.5,14.87
24W30,176.0,14.61
24W29,180.0,14.97
24W28,187.0,15.58
24W27,186.5,15.57
24W26,189.5,15.85
24W25,207.0,17.35
24W24,219.0,18.39
24W23,216.0,18.17
24W22,196.5,16.57
24W21,197.0,16.64
24W20,202.0,17.1
24W19,203.5,17.26
24W18,207.0,17.59
24W17,195.5,16.64
24W16,177.0,15.1
24W15,175.5,15.0
24W14,174.0,14.9
24W13,169.0,14.5
24W12,176.0,15.13
24W11,172.5,14.86
24W10,170.0,14.68
24W09,144.0,12.46
24W08,145.0,12.57
24W07,139.0,12.07
24W06,139.5,12.14
24W05,138.5,12.08
24W04,139.5,12.19
24W03,137.5,12.04
24W02,135.5,11.89
24W01,139.0,12.22
23W52,133.0,11.72
23W51,133.5,11.7
23W50,134.5,11.72
23W49,133.5,11.57
23W48,132.5,11.43
23W47,133.5,11.45
23W46,127.5,10.88
23W45,126.0,10.7
23W44,126.0,10.64
23W43,126.0,10.59
23W42,125.0,10.45
23W41,123.0,10.23
23W40,124.0,10.26
23W39,123.0,10.13
23W38,127.0,10.4
23W37,129.0,10.52
23W36,126.0,10.22
23W35,119.5,9.64
23W34,117.0,9.4
23W33,117.0,9.35
23W32,119.5,9.5
23W31,118.0,9.34
23W30,110.5,8.7
23W29,110.5,8.66
23W28,108.5,8.46
23W27,109.5,8.5
23W26,110.0,8.5
23W25,124.0,9.54
23W24,124.0,9.49
23W23,124.0,9.45
23W22,121.0,9.18
23W21,119.0,8.98
23W20,115.5,8.68
23W19,114.5,8.56
23W18,114.0,8.49
23W17,113.0,8.38
23W16,111.0,8.19
23W15,112.0,8.23
23W14,112.0,8.19
23W13,110.5,8.04
23W12,108.5,7.86
23W11,105.0,7.58
23W10,106.0,7.62
23W09,107.0,7.65
23W08,105.5,7.51
23W07,104.5,7.41
23W06,102.0,7.2
23W05,103.0,7.24
23W03,100.5,7.03
23W02,98.3,6.85
23W01,101.5,7.04
22W53,105.0,7.26
22W52,106.0,7.36
22W51,107.0,7.46
22W50,106.0,7.42
22W49,106.0,7.46
22W48,102.0,7.21
22W47,104.0,7.38
22W46,101.5,7.24
22W45,99.1,7.1
22W44,95.6,6.88
22W43,95.8,6.93
22W42,96.0,6.97
22W41,99.0,7.22
22W40,100.5,7.37
22W39,98.4,7.25
22W38,101.0,7.47
22W37,98.8,7.34
22W36,100.0,7.47
22W35,99.6,7.48
22W34,100.5,7.58
22W33,100.5,7.62
22W32,94.6,7.2
22W31,93.3,7.14
22W30,87.2,6.7
22W29,84.5,6.53
22W28,83.9,6.51
22W27,82.9,6.47
22W26,86.7,6.8
22W25,105.0,8.28
22W24,106.0,8.4
22W23,105.5,8.4
22W22,103.5,8.28
22W21,103.5,8.32
22W20,101.5,8.21
