Date,Price,PER
25W01,147.5,30.54
24W52,152.0,31.47
24W51,141.0,29.32
24W50,150.0,31.33
24W49,150.0,31.47
24W48,142.0,29.92
24W47,147.0,31.12
24W46,146.5,31.15
24W45,152.5,32.57
24W44,153.0,32.83
24W43,156.5,33.73
24W42,160.5,34.75
24W41,167.0,36.33
24W40,155.0,33.87
24W39,164.0,36.0
24W38,165.5,36.5
24W37,163.0,36.12
24W36,162.5,36.18
24W35,165.5,37.02
24W34,158.5,35.62
24W33,163.0,36.81
24W32,148.0,33.58
24W31,152.0,34.66
24W30,153.0,35.05
24W29,164.0,37.76
24W28,168.0,38.87
24W27,158.0,36.73
24W26,162.5,37.97
24W25,162.5,38.16
24W24,136.5,32.21
24W23,124.0,29.41
24W22,117.0,27.89
24W21,113.5,27.19
24W20,118.0,28.41
24W19,114.0,27.59
24W18,135.0,32.84
24W17,129.5,31.67
24W16,96.2,23.65
24W15,93.1,23.0
24W14,88.3,21.93
24W13,78.0,19.48
24W12,73.8,18.52
24W11,72.1,18.19
24W10,78.8,19.99
24W09,82.5,21.04
24W08,74.9,19.21
24W07,72.3,18.64
24W06,69.5,18.02
24W05,69.6,18.14
24W04,67.4,17.67
24W03,66.0,17.4
24W02,67.3,17.84
24W01,69.6,18.55
23W52,69.5,18.63
23W51,68.7,18.41
23W50,70.5,18.88
23W49,68.7,18.39
23W48,67.3,18.01
23W47,64.3,17.2
23W46,62.7,16.76
23W45,63.2,16.89
23W44,63.5,16.96
23W43,63.1,16.85
23W42,63.5,16.94
23W41,64.6,17.23
23W40,74.5,19.86
23W39,72.4,19.29
23W38,72.5,19.31
23W37,72.2,19.22
23W36,70.9,18.87
23W35,69.5,18.48
23W34,66.2,17.6
23W33,64.4,17.11
23W32,64.8,17.21
23W31,63.7,16.91
23W30,63.7,16.9
23W29,59.9,15.89
23W28,54.7,14.5
23W27,54.2,14.36
23W26,52.6,13.93
23W25,52.5,13.9
23W24,51.8,13.71
23W23,51.2,13.54
23W22,53.0,14.01
23W21,52.0,13.74
23W20,52.9,13.97
23W19,52.5,13.86
23W18,50.9,13.43
23W17,51.8,13.66
23W16,52.4,13.81
23W15,53.8,14.18
23W14,54.2,14.27
23W13,55.8,14.69
23W12,56.2,14.79
23W11,55.8,14.68
23W10,49.5,13.01
23W09,45.75,12.02
23W08,45.4,11.92
