Date,Price,PER
25W01,14.3,-
24W52,14.2,-
24W51,14.35,-
24W50,14.15,-
24W49,14.9,-
24W48,15.1,-
24W47,15.2,-
24W46,14.95,-
24W45,15.95,-
24W44,16.1,-
24W43,16.3,-
24W42,15.45,-
24W41,16.45,-
24W40,18.4,-
24W39,18.75,-
24W38,20.4,-
24W37,18.3,-
24W36,22.2,-
24W35,23.9,-
24W34,24.2,-
24W33,19.65,-
24W32,16.05,-
24W31,16.5,-
24W30,16.35,-
24W29,16.4,-
24W28,15.75,-
24W27,14.65,-
24W26,14.95,-
24W25,14.25,-
24W24,13.95,-
24W23,12.05,-
24W22,12.05,-
24W21,11.95,-
24W20,12.1,-
24W19,12.05,-
24W18,12.15,-
24W17,12.2,-
24W16,11.65,-
24W15,11.95,-
24W14,11.95,-
24W13,12.1,-
24W12,12.15,-
24W11,12.05,-
24W10,12.1,-
24W09,12.45,-
24W08,12.05,-
24W07,12.1,-
24W06,12.25,-
24W05,12.3,-
24W04,12.2,-
24W03,12.1,-
24W02,12.3,-
24W01,12.65,-
23W52,12.9,-
23W51,12.4,-
23W50,12.55,-
23W49,12.75,-
23W48,12.95,-
23W47,13.3,-
23W46,13.7,-
23W45,13.1,-
23W44,12.9,-
23W43,12.8,-
23W42,12.1,-
23W41,12.2,-
23W40,12.55,-
23W39,12.75,-
23W38,12.65,-
23W37,12.8,-
23W36,12.55,-
23W35,12.1,-
23W34,12.2,-
23W33,11.85,-
23W32,12.45,-
23W31,12.65,-
23W30,12.7,-
23W29,12.65,-
23W28,12.8,-
23W27,13.5,-
23W26,13.85,-
23W25,14.35,-
23W24,13.75,-
23W23,13.9,-
23W22,13.05,-
23W21,13.0,-
23W20,12.35,-
23W19,12.0,-
23W18,12.1,-
23W17,11.65,-
23W16,11.7,-
23W15,11.95,-
23W14,11.85,-
23W13,11.95,-
23W12,12.1,-
23W11,12.05,-
23W10,12.8,-
23W09,13.5,-
23W08,13.3,-
23W07,13.0,-
23W06,12.1,-
23W05,12.1,-
23W03,12.45,-
23W02,12.4,-
23W01,12.5,-
22W53,12.05,-
22W52,11.65,-
22W51,11.9,-
22W50,12.0,-
22W49,11.95,-
22W48,11.45,-
22W47,11.8,-
22W46,11.3,-
22W45,11.35,-
22W44,11.0,-
22W43,10.95,-
22W42,11.2,-
22W41,12.55,-
22W40,12.05,-
22W39,12.25,-
22W38,12.05,-
22W37,11.95,-
22W36,12.15,-
22W35,12.5,-
22W34,12.0,-
22W33,11.75,-
22W32,11.7,-
22W31,12.05,-
22W30,11.75,-
22W29,11.5,-
22W28,11.45,-
22W27,11.5,-
22W26,12.4,-
22W25,12.95,-
22W24,13.95,-
22W23,13.7,-
22W22,12.5,-
22W21,12.15,-
22W20,11.95,-
22W19,13.15,-
22W18,13.4,-
22W17,13.75,-
22W16,13.9,-
22W15,13.9,-
22W14,14.0,-
22W13,14.0,-
22W12,14.1,-
22W11,14.05,-
22W10,14.7,-
22W09,14.9,-
22W08,15.45,-
22W07,14.4,-
22W05,13.9,-
22W04,14.55,-
22W03,14.0,-
22W02,13.95,-
22W01,14.65,-
21W52,14.35,-
21W51,14.25,-
21W50,14.3,-
21W49,14.1,-
21W48,14.15,-
21W47,14.75,-
21W46,15.0,-
21W45,15.55,-
21W44,15.3,-
21W43,15.5,-
21W42,15.7,-
21W41,17.6,-
21W40,16.1,-
21W39,15.8,-
21W38,16.3,-
21W37,14.65,-
21W36,16.1,-
21W35,16.35,-
21W34,14.2,-
21W33,15.4,-
21W32,16.3,-
21W31,18.1,-
21W30,19.1,-
21W29,14.95,-
21W28,14.5,-
21W27,12.65,-
21W26,13.05,-
21W25,12.5,-
21W24,12.8,-
21W23,13.75,-
21W22,13.0,-
21W21,13.05,-
21W20,11.1,-
21W19,13.1,-
21W18,13.6,-
21W17,13.25,-
21W16,12.15,-
21W15,11.75,-
21W14,12.1,-
21W13,11.8,668.7
21W12,11.9,314.5
21W11,11.3,194.7
21W10,11.0,140.6
21W09,11.25,114.3
21W08,10.3,86.83
21W06,10.8,77.8
21W05,10.1,63.51
21W04,10.0,55.8
21W03,9.99,50.1
21W02,9.96,45.35
21W01,10.2,42.53
20W52,10.1,38.85
20W51,10.2,39.23
20W50,10.25,39.42
20W49,10.9,41.92
20W48,10.55,40.58
20W47,9.78,37.62
20W46,9.64,37.08
20W45,9.46,36.38
20W44,9.41,36.19
20W43,9.64,37.08
20W42,9.33,35.88
20W41,9.91,38.12
20W40,10.2,39.23
20W39,9.36,36
20W38,9.75,37.5
20W37,9.71,37.35
20W36,9.19,35.35
20W35,9.39,36.12
20W34,9.51,36.58
20W33,9.83,37.81
20W32,9.96,38.31
20W31,10.05,38.65
20W30,10.6,40.77
20W29,10.8,41.54
20W28,10.8,41.54
20W27,11.5,44.23
20W26,11.8,45.38
20W25,11.15,42.88
20W24,11.5,44.23
20W23,11.7,45
20W22,11.6,44.62
20W21,9.22,35.46
20W20,9.55,36.73
20W19,8.76,33.69
20W18,8.9,34.23
20W17,8.36,32.15
20W16,8.41,32.35
20W15,7.97,30.65
20W14,7.37,28.35
20W13,7.32,28.15
20W12,7.1,27.31
20W11,7.8,30
20W10,9.42,36.23
20W09,9.88,38
20W08,10.45,40.19
20W07,11.35,43.65
20W06,10.3,39.62
20W05,10.9,41.92
20W04,13.1,50.38
20W03,13.25,50.96
20W02,13.8,53.08
20W01,13.95,53.65
