Date,Price,PER
25W01,44.0,43.14
24W52,43.15,42.3
24W51,45.35,45.11
24W50,44.9,45.32
24W49,45.4,46.51
24W48,45.65,47.48
24W47,47.3,49.95
24W46,46.2,49.55
24W45,46.7,50.89
24W44,49.5,54.81
24W43,50.2,56.5
24W42,42.35,48.46
24W41,38.0,44.23
24W40,38.0,44.99
24W39,38.3,46.14
24W38,36.4,44.64
24W37,35.0,43.71
24W36,36.0,45.79
24W35,38.55,49.97
24W34,38.25,50.53
24W33,38.5,51.87
24W32,37.55,51.6
24W31,36.2,50.77
24W30,35.35,50.61
24W29,36.8,53.81
24W28,37.9,56.63
24W27,39.2,59.88
24W26,39.55,61.8
24W25,39.75,63.56
24W24,40.05,65.57
24W23,40.75,68.35
24W22,40.5,69.64
24W21,41.3,72.85
24W20,39.35,71.25
24W19,39.15,72.81
24W18,38.45,73.51
24W17,40.9,80.44
24W16,41.0,83.02
24W15,41.95,87.54
24W14,38.9,83.73
24W13,39.3,87.33
24W12,42.2,96.93
24W11,41.7,99.1
24W10,50.3,123.8
24W09,49.55,126.6
24W08,47.5,126.0
24W07,40.25,111.1
24W06,39.6,113.9
24W05,38.5,115.6
24W04,37.45,117.6
24W03,34.45,113.4
24W02,35.95,124.3
24W01,36.0,131.1
23W52,36.8,141.5
23W51,35.3,132.2
23W50,34.5,125.9
23W49,33.0,117.4
23W48,32.2,111.7
23W47,32.55,110.2
23W46,32.6,107.8
23W45,32.45,104.9
23W44,32.0,101.1
23W43,32.3,99.84
23W42,33.0,99.82
23W41,35.5,105.1
23W40,35.5,103.0
23W39,35.0,99.5
23W38,34.2,95.31
23W37,34.05,93.06
23W36,39.0,104.6
23W35,38.4,101.0
23W34,35.4,91.46
23W33,34.0,86.27
23W32,32.0,79.77
23W31,32.75,80.22
23W30,32.85,79.1
23W29,32.3,76.48
23W28,32.0,74.52
23W27,33.1,75.84
23W26,32.6,73.5
23W25,32.8,72.79
23W24,33.35,72.87
23W23,33.15,71.34
23W22,31.8,67.41
23W21,32.65,68.19
23W20,32.2,66.27
23W19,29.6,60.05
23W18,31.2,62.4
23W17,31.25,61.63
23W16,30.1,58.55
23W15,30.1,57.75
23W14,29.9,56.6
23W13,30.3,56.6
23W12,29.75,54.85
23W11,29.0,52.78
23W10,30.2,54.27
23W09,31.45,55.81
23W08,33.0,57.84
23W07,31.55,54.62
23W06,33.2,56.78
23W05,30.55,51.63
23W03,27.25,45.51
23W02,27.05,44.65
23W01,27.3,44.54
22W53,27.35,44.11
22W52,27.45,41.71
22W51,27.85,40.01
22W50,27.65,37.66
22W49,27.15,35.15
22W48,26.8,33.07
22W47,26.7,31.47
22W46,27.3,30.79
22W45,27.3,29.53
22W44,25.1,26.07
22W43,25.0,24.98
22W42,25.05,24.11
22W41,25.6,23.77
22W40,24.6,22.06
22W39,25.1,21.77
22W38,25.95,21.79
22W37,25.95,21.11
22W36,26.7,21.07
22W35,26.95,20.65
22W34,26.95,20.06
22W33,27.75,20.09
22W32,28.3,19.93
22W31,27.2,18.66
22W30,26.75,17.88
22W29,26.8,17.47
22W28,25.85,16.44
22W27,23.3,14.47
22W26,24.85,15.08
22W25,25.75,15.27
22W24,26.9,15.6
22W23,26.6,15.09
22W22,25.8,14.33
22W21,25.7,13.98
22W20,23.85,12.71
22W19,27.0,14.1
22W18,27.55,14.11
22W17,29.3,14.72
22W16,29.8,14.69
22W15,29.15,14.1
22W14,32.0,15.2
22W13,35.15,16.4
22W12,33.4,15.31
22W11,32.2,14.51
22W10,33.4,14.8
22W09,33.45,14.57
22W08,35.6,15.26
22W07,36.7,15.48
22W05,35.05,14.55
22W04,35.65,14.56
22W03,37.9,15.25
22W02,38.5,15.25
22W01,37.9,14.79
21W52,37.55,14.44
21W51,40.05,15.57
21W50,37.4,14.7
21W49,37.65,14.97
21W48,36.9,14.84
21W47,37.2,15.13
21W46,38.35,15.78
21W45,39.7,16.53
21W44,42.6,17.94
21W43,41.8,17.82
21W42,43.7,18.86
21W41,39.55,17.28
21W40,37.4,16.54
21W39,33.7,15.09
21W38,34.2,15.51
21W37,34.0,15.62
21W36,34.75,16.18
21W35,34.9,16.46
21W34,33.55,16.04
21W33,32.9,15.94
21W32,35.05,17.22
21W31,34.5,17.19
21W30,36.0,18.19
21W29,36.8,18.87
21W28,38.9,20.24
21W27,36.9,19.48
21W26,39.4,21.12
21W25,34.75,18.91
21W24,38.4,21.22
21W23,30.4,17.07
21W22,31.8,18.14
21W21,31.45,18.23
21W20,30.95,18.24
21W19,38.3,22.96
21W18,39.9,24.33
21W17,40.0,24.82
21W16,44.15,27.88
21W15,44.8,28.8
21W14,44.8,29.34
21W13,48.2,32.16
21W12,46.85,31.86
21W11,47.35,32.83
21W10,43.85,31.01
21W09,43.0,31.03
21W08,44.6,32.85
21W06,40.1,30.16
21W05,38.6,29.67
21W04,39.7,31.19
21W03,39.05,31.37
21W02,41.1,33.79
21W01,41.35,34.8
20W52,44.0,37.93
20W51,48.2,41.55
20W50,54.8,47.24
20W49,56.8,48.97
20W48,58.7,50.6
20W47,55.8,48.1
20W46,64.2,55.34
20W45,51.5,44.4
20W44,61.5,53.02
20W43,73.7,63.53
20W42,71.7,61.81
20W41,81.0,69.83
20W40,71.1,61.29
20W39,70.0,60.34
20W38,68.7,59.22
20W37,58.1,50.09
20W36,48.6,41.9
20W35,44.05,37.97
20W34,42.85,36.94
20W33,47.7,41.12
20W32,40.1,34.57
20W31,35.0,30.17
20W30,32.8,28.28
20W29,32.95,28.41
20W28,33.8,29.14
20W27,31.7,27.33
20W26,30.9,26.64
20W25,31.1,26.81
20W24,31.9,27.5
20W23,30.9,26.64
20W22,31.0,26.72
20W21,29.85,25.73
20W20,26.95,23.23
20W19,27.5,23.71
20W18,26.5,22.84
20W17,22.6,19.48
20W16,22.8,19.66
20W15,19.45,16.77
20W14,19.25,16.59
20W13,19.05,16.42
20W12,15.15,13.06
20W11,17.6,15.17
20W10,23.35,20.13
20W09,22.5,19.4
20W08,23.8,20.52
20W07,22.05,19.01
20W06,19.65,16.94
20W05,19.75,17.03
20W04,20.55,17.72
20W03,20.75,17.89
20W02,18.2,15.69
20W01,17.9,15.43
