Date,Price,PER
25W01,14.15,47.17
24W52,14.2,47.33
24W51,13.85,47.1
24W50,14.45,50.16
24W49,15.55,55.12
24W48,15.35,55.58
24W47,15.95,59.03
24W46,16.05,60.74
24W45,16.15,62.53
24W44,16.35,64.8
24W43,16.95,68.81
24W42,16.3,67.81
24W41,16.75,71.45
24W40,16.9,73.97
24W39,17.6,79.1
24W38,17.1,78.97
24W37,16.7,79.31
24W36,16.35,79.91
24W35,18.05,90.86
24W34,17.65,91.6
24W33,17.5,93.72
24W32,16.85,93.21
24W31,18.15,103.8
24W30,18.5,109.6
24W29,19.8,121.6
24W28,20.85,132.9
24W27,22.1,146.4
24W26,20.7,142.8
24W25,20.7,148.9
24W24,19.8,148.8
24W23,19.05,149.9
24W22,19.4,160.1
24W21,18.9,164.1
24W20,18.5,169.4
24W19,17.95,173.8
24W18,18.3,188.1
24W17,18.55,203.1
24W16,17.55,205.5
24W15,18.5,232.9
24W14,17.25,234.8
24W13,17.9,265.2
24W12,17.55,285.2
24W11,16.05,288.8
24W10,16.65,335.6
24W09,16.7,382.6
24W08,17.0,451
24W07,16.2,510.6
24W06,15.25,591.8
24W05,15.35,775
24W04,16.2,1170
24W03,14.3,1814
24W02,14.05,7306
24W01,14.35,-
23W52,15.25,-
23W51,15.55,-
23W50,15.4,1540
23W49,14.75,737.5
23W48,15.45,515
23W47,15.2,380
23W46,15.35,307
23W45,14.9,248.3
23W44,14.75,210.7
23W43,16.15,201.9
23W42,13.55,150.6
23W41,13.5,135
23W40,13.65,124.1
23W39,13.35,111.2
23W38,13.8,106.2
23W37,14.75,105.4
23W36,14.75,98.33
23W35,14.1,88.13
23W34,13.55,79.71
23W33,13.3,73.89
23W32,13.4,70.53
23W31,14.15,70.75
23W30,14.35,68.33
23W29,13.65,62.05
23W28,13.85,60.22
23W27,14.35,59.79
23W26,14.35,57.4
23W25,14.2,54.62
23W24,14.05,52.04
23W23,13.8,49.29
23W22,13.8,47.59
23W21,13.2,44
23W20,13.1,42.26
23W19,12.7,39.69
23W18,13.3,40.3
23W17,13.5,39.71
23W16,13.35,38.14
23W15,14.15,39.31
23W14,13.55,36.62
23W13,13.75,36.18
23W12,13.25,33.97
23W11,12.9,32.25
23W10,13.35,32.56
23W09,13.35,31.79
23W08,12.8,29.77
23W07,12.85,29.2
23W06,12.3,27.33
23W05,12.6,27.39
23W03,12.0,25.53
23W02,11.4,23.75
23W01,11.6,23.67
22W53,11.35,22.7
22W52,11.6,23.26
22W51,12.0,24.13
22W50,12.45,25.1
22W49,13.05,26.38
22W48,12.55,25.44
22W47,12.6,25.61
22W46,12.45,25.38
22W45,11.95,24.43
22W44,10.7,21.93
22W43,10.65,21.89
22W42,11.05,22.77
22W41,11.9,24.59
22W40,11.7,24.25
22W39,12.45,25.88
22W38,12.9,26.89
22W37,12.65,26.44
22W36,13.1,27.46
22W35,13.65,28.69
22W34,13.35,28.14
22W33,12.65,26.74
22W32,12.4,26.29
22W31,12.6,26.79
22W30,12.8,27.29
22W29,12.05,25.76
22W28,11.95,25.62
22W27,11.6,24.95
22W26,12.85,27.71
22W25,13.6,29.42
22W24,14.75,32
22W23,14.8,32.2
22W22,14.55,31.75
22W21,14.55,31.84
22W20,13.7,30.07
22W19,14.5,31.92
22W18,14.8,32.68
22W17,15.6,34.55
22W16,15.5,34.43
22W15,16.0,35.65
22W14,16.5,36.87
22W13,16.85,37.77
22W12,16.9,37.99
22W11,16.6,37.43
22W10,17.2,38.9
22W09,17.25,39.14
22W08,18.65,42.44
22W07,18.2,41.55
22W05,16.95,38.81
22W04,17.6,40.42
22W03,17.0,39.17
22W02,17.55,40.56
22W01,18.85,43.7
21W52,19.5,45.35
21W51,18.4,42.64
21W50,18.3,42.25
21W49,18.45,42.44
21W48,17.55,40.23
21W47,19.1,43.62
21W46,17.75,40.39
21W45,17.5,39.68
21W44,17.1,38.64
21W43,17.15,38.62
21W42,16.85,37.81
21W41,16.55,37
21W40,16.5,36.76
21W39,17.95,39.85
21W38,18.65,41.26
21W37,19.5,43
21W36,20.75,45.59
21W35,19.55,42.81
21W34,18.0,39.28
21W33,19.85,43.17
21W32,24.1,52.24
21W31,22.2,47.95
21W30,21.85,47.04
21W29,21.75,46.67
21W28,21.5,45.97
21W27,17.95,38.26
21W26,18.5,39.3
21W25,17.05,36.1
21W24,16.2,34.18
21W23,15.8,33.23
21W22,15.05,31.55
21W21,13.55,28.31
21W20,13.6,28.32
21W19,16.95,35.18
21W18,18.6,38.48
21W17,18.7,38.56
21W16,15.15,31.14
21W15,15.75,32.27
21W14,14.75,30.13
21W13,13.65,27.79
21W12,13.65,27.7
21W11,13.0,26.3
21W10,13.05,26.32
21W09,13.7,27.54
21W08,13.95,27.95
21W06,12.95,25.87
21W05,12.7,25.29
21W04,13.35,26.5
21W03,13.0,25.73
21W02,13.1,25.85
21W01,13.8,27.14
20W52,14.05,27.55
20W51,12.95,25.39
20W50,13.05,25.59
20W49,13.6,26.67
20W48,11.85,23.24
20W47,11.25,22.06
20W46,10.9,21.37
20W45,10.55,20.69
20W44,10.7,20.98
20W43,10.9,21.37
20W42,9.96,19.53
20W41,10.05,19.71
20W40,9.82,19.25
20W39,9.42,18.47
20W38,10.4,20.39
20W37,10.15,19.9
20W36,10.5,20.59
20W35,9.97,19.55
20W34,9.5,18.63
20W33,9.91,19.43
20W32,9.62,18.86
20W31,9.67,18.96
20W30,9.86,19.33
20W29,9.71,19.04
20W28,9.91,19.43
20W27,10.3,20.2
20W26,9.93,19.47
20W25,9.97,19.55
20W24,9.73,19.08
20W23,10.0,19.61
20W22,9.95,19.51
20W21,9.47,18.57
20W20,9.9,19.41
20W19,10.2,20
20W18,10.5,20.59
20W17,9.15,17.94
20W16,9.5,18.63
20W15,9.11,17.86
20W14,8.0,15.69
20W13,7.94,15.57
20W12,7.17,14.06
20W11,8.19,16.06
20W10,10.3,20.2
20W09,10.2,20
20W08,10.75,21.08
20W07,11.1,21.76
20W06,11.0,21.57
20W05,11.05,21.67
20W04,12.05,23.63
20W03,11.9,23.33
20W02,11.25,22.06
20W01,11.35,22.25
