Date,Price,PER
25W01,81.7,12.63
24W52,82.6,12.77
24W51,81.0,12.55
24W50,80.8,12.55
24W49,87.7,13.66
24W48,78.6,12.28
24W47,78.0,12.21
24W46,75.8,11.9
24W45,73.8,11.62
24W44,73.0,11.52
24W43,76.8,12.15
24W42,75.4,11.96
24W41,74.7,11.88
24W40,73.5,11.72
24W39,75.9,12.14
24W38,74.5,11.95
24W37,74.8,12.03
24W36,74.1,11.95
24W35,80.5,13.01
24W34,77.8,12.61
24W33,82.3,13.38
24W32,82.9,13.51
24W31,82.2,13.43
24W30,83.6,13.7
24W29,86.6,14.23
24W28,88.2,14.53
24W27,85.8,14.18
24W26,86.5,14.33
24W25,83.7,13.91
24W24,80.3,13.38
24W23,78.8,13.17
24W22,77.4,12.97
24W21,78.3,13.16
24W20,78.0,13.14
24W19,78.1,13.2
24W18,76.6,12.98
24W17,75.3,12.8
24W16,71.8,12.24
24W15,76.6,13.09
24W14,74.5,12.77
24W13,71.1,12.22
24W12,72.2,12.45
24W11,67.5,11.67
24W10,66.3,11.5
24W09,71.7,12.47
24W08,71.6,12.49
24W07,72.7,12.72
24W06,68.8,12.07
24W05,67.6,11.89
24W04,68.0,12.0
24W03,70.6,12.5
24W02,69.6,12.35
24W01,68.5,12.2
23W52,72.1,12.88
23W51,70.9,12.58
23W50,74.9,13.2
23W49,70.4,12.32
23W48,70.1,12.19
23W47,61.6,10.64
23W46,58.0,9.95
23W45,57.3,9.77
23W44,56.9,9.64
23W43,55.6,9.36
23W42,55.1,9.22
23W41,58.2,9.67
23W40,58.4,9.65
23W39,58.7,9.64
23W38,59.8,9.76
23W37,61.2,9.92
23W36,60.5,9.75
23W35,58.3,9.34
23W34,54.9,8.74
23W33,54.6,8.64
23W32,58.5,9.2
23W31,60.6,9.48
23W30,60.4,9.39
23W29,59.6,9.21
23W28,61.1,9.39
23W27,61.2,9.35
23W26,62.1,9.43
23W25,63.0,9.51
23W24,63.1,9.48
23W23,62.2,9.29
23W22,62.8,9.32
23W21,61.9,9.14
23W20,62.7,9.21
23W19,62.1,9.07
23W18,65.6,9.53
23W17,64.8,9.36
23W16,64.5,9.26
23W15,66.5,9.5
23W14,64.5,9.16
23W13,65.6,9.27
23W12,67.1,9.43
23W11,68.0,9.51
23W10,69.1,9.61
23W09,64.7,8.95
23W08,63.6,8.75
23W07,63.7,8.72
23W06,58.8,8.01
23W05,58.7,7.96
23W03,55.9,7.54
23W02,55.4,7.43
23W01,57.8,7.71
22W53,53.6,7.12
22W52,54.4,7.25
22W51,56.7,7.58
22W50,56.4,7.57
22W49,57.4,7.73
22W48,55.5,7.51
22W47,55.3,7.51
22W46,54.8,7.47
22W45,50.8,6.95
22W44,47.85,6.57
22W43,48.05,6.62
22W42,46.85,6.48
22W41,49.5,6.87
22W40,48.75,6.79
22W39,52.3,7.31
22W38,54.2,7.61
22W37,54.3,7.65
22W36,56.5,7.99
22W35,57.3,8.14
22W34,57.2,8.15
22W33,56.8,8.13
22W32,53.4,7.67
22W31,56.8,8.19
22W30,56.2,8.14
22W29,55.3,8.04
22W28,54.4,7.94
22W27,50.3,7.37
22W26,56.9,8.37
22W25,59.8,8.83
22W24,64.5,9.56
22W23,64.6,9.62
22W22,63.7,9.52
22W21,62.4,9.37
22W20,59.7,9.0
22W19,59.1,8.94
22W18,59.0,8.97
22W17,62.4,9.52
22W16,62.8,9.62
22W15,63.7,9.8
22W14,64.7,10.0
22W13,64.7,10.04
22W12,63.6,9.91
22W11,64.0,10.01
22W10,68.7,10.8
22W09,68.4,10.79
22W08,68.9,10.92
22W07,69.7,11.09
22W05,63.4,10.13
22W04,65.9,10.58
22W03,66.6,10.74
22W02,67.0,10.85
22W01,66.6,10.83
21W52,66.4,10.85
21W51,63.1,10.34
21W50,65.1,10.71
21W49,68.2,11.25
21W48,65.6,10.86
21W47,65.9,10.94
21W46,63.9,10.64
21W45,63.3,10.58
21W44,63.9,10.71
21W43,62.5,10.51
21W42,60.7,10.24
21W41,60.9,10.31
21W40,60.8,10.33
21W39,67.2,11.45
21W38,67.0,11.46
21W37,69.0,11.84
21W36,70.5,12.14
21W35,71.6,12.37
21W34,67.6,11.71
21W33,71.1,12.36
21W32,77.8,13.57
21W31,72.0,12.6
21W30,76.3,13.4
21W29,77.4,13.64
21W28,77.1,13.64
21W27,67.8,12.03
21W26,64.8,11.54
21W25,66.2,11.83
21W24,65.5,11.75
21W23,63.7,11.46
21W22,64.4,11.63
21W21,59.5,10.78
21W20,59.1,10.75
21W19,67.9,12.39
21W18,70.2,12.86
21W17,71.1,13.07
21W16,72.3,13.34
21W15,75.8,14.03
21W14,75.7,14.06
21W13,76.1,14.19
21W12,79.1,14.8
21W11,79.7,14.97
21W10,77.9,14.69
21W09,81.9,15.5
21W08,71.8,13.63
21W06,68.2,13.0
21W05,68.0,13.01
21W04,69.5,13.35
21W03,69.7,13.43
21W02,72.6,14.05
21W01,63.8,12.39
20W52,61.8,12.05
20W51,61.1,11.91
20W50,63.4,12.36
20W49,58.7,11.44
20W48,57.8,11.27
20W47,58.2,11.35
20W46,56.9,11.09
20W45,53.4,10.41
20W44,52.5,10.23
20W43,53.1,10.35
20W42,53.2,10.37
20W41,53.0,10.33
20W40,52.4,10.21
20W39,49.8,9.71
20W38,53.4,10.41
20W37,52.9,10.31
20W36,56.1,10.94
20W35,54.5,10.62
20W34,57.4,11.19
20W33,53.8,10.49
20W32,48.7,9.49
20W31,46.5,9.06
20W30,46.4,9.04
20W29,46.1,8.99
20W28,44.6,8.69
20W27,44.8,8.73
20W26,44.05,8.59
20W25,43.7,8.52
20W24,42.8,8.34
20W23,42.55,8.29
20W22,41.7,8.13
20W21,41.85,8.16
20W20,41.55,8.1
20W19,40.15,7.83
20W18,40.35,7.87
20W17,38.4,7.49
20W16,39.0,7.6
20W15,34.55,6.73
20W14,27.4,5.34
20W13,27.45,5.35
20W12,25.05,4.88
20W11,29.95,5.84
20W10,36.3,7.08
20W09,36.45,7.11
20W08,38.6,7.52
20W07,39.05,7.61
20W06,38.4,7.49
20W05,38.15,7.44
20W04,42.0,8.19
20W03,42.05,8.2
20W02,41.6,8.11
20W01,43.5,8.48
