Date,Price,PER
25W01,31.7,25.98
24W52,31.9,26.15
24W51,31.85,26.17
24W50,32.8,27.02
24W49,33.7,27.83
24W48,33.5,27.74
24W47,33.35,27.69
24W46,33.15,27.59
24W45,31.9,26.62
24W44,32.1,26.85
24W43,32.05,26.88
24W42,32.75,27.54
24W41,32.5,27.4
24W40,33.8,28.57
24W39,33.3,28.22
24W38,32.3,27.44
24W37,31.8,27.09
24W36,31.75,27.12
24W35,32.95,28.22
24W34,32.95,28.29
24W33,32.85,28.28
24W32,34.5,29.78
24W31,34.3,29.69
24W30,34.9,30.29
24W29,34.6,30.11
24W28,34.25,29.88
24W27,34.45,30.14
24W26,34.2,30.0
24W25,34.65,30.48
24W24,34.0,29.99
24W23,33.05,29.23
24W22,33.0,29.26
24W21,34.05,30.28
24W20,33.9,30.23
24W19,33.3,29.77
24W18,32.4,29.05
24W17,31.8,28.59
24W16,32.0,28.85
24W15,32.2,29.11
24W14,32.0,29.01
24W13,32.15,29.23
24W12,31.15,28.4
24W11,31.95,29.21
24W10,31.85,29.2
24W09,32.05,29.47
24W08,32.4,29.87
24W07,31.9,29.5
24W06,32.15,29.81
24W05,32.25,29.99
24W04,32.6,30.4
24W03,32.4,30.3
24W02,33.75,31.66
24W01,34.35,32.31
23W52,34.85,32.88
23W51,34.3,32.55
23W50,34.3,32.75
23W49,34.6,33.23
23W48,34.4,33.24
23W47,33.75,32.81
23W46,33.2,32.47
23W45,32.85,32.33
23W44,32.9,32.58
23W43,31.85,31.74
23W42,31.75,31.84
23W41,33.8,34.11
23W40,32.8,33.31
23W39,33.25,33.98
23W38,33.5,34.46
23W37,35.1,36.34
23W36,34.1,35.54
23W35,35.25,36.98
23W34,35.1,37.06
23W33,35.15,37.36
23W32,37.4,40.02
23W31,37.35,40.24
23W30,37.35,40.51
23W29,36.1,39.42
23W28,37.0,40.69
23W27,37.3,41.3
23W26,38.05,42.43
23W25,38.7,43.45
23W24,38.7,43.76
23W23,38.45,43.79
23W22,38.55,44.22
23W21,38.0,43.91
23W20,37.85,44.05
23W19,37.8,44.32
23W18,39.3,46.42
23W17,38.7,46.05
23W16,38.3,45.92
23W15,37.55,45.36
23W14,36.4,44.31
23W13,36.4,44.65
23W12,37.6,46.48
23W11,36.4,45.34
23W10,36.7,46.08
23W09,37.75,47.77
23W08,39.15,49.94
23W07,38.0,48.87
23W06,36.85,47.77
23W05,36.45,47.64
23W03,36.0,47.44
23W02,36.15,48.04
23W01,34.25,45.89
22W53,33.65,45.47
22W52,34.05,43.14
22W51,34.6,41.27
22W50,33.7,37.96
22W49,33.65,35.92
22W48,33.55,34.02
22W47,33.3,32.16
22W46,32.15,29.64
22W45,30.45,26.86
22W44,30.5,25.78
22W43,31.0,25.16
22W42,32.4,25.28
22W41,34.25,25.74
22W40,33.8,24.49
22W39,37.0,25.89
22W38,38.6,26.11
22W37,39.85,26.09
22W36,38.5,24.41
22W35,39.65,24.38
22W34,39.45,23.55
22W33,39.3,22.79
22W32,38.85,21.9
22W31,38.75,21.26
22W30,37.7,20.14
22W29,40.5,21.08
22W28,40.8,20.7
22W27,40.35,19.98
22W26,39.5,19.09
22W25,39.6,18.69
22W24,41.4,19.1
22W23,41.7,18.81
22W22,42.2,18.62
22W21,41.15,17.77
22W20,41.6,17.59
22W19,45.1,18.68
22W18,45.9,18.64
22W17,46.55,18.53
22W16,47.1,18.39
22W15,49.8,19.07
22W14,49.75,18.7
22W13,49.7,18.34
22W12,48.95,17.75
22W11,47.45,16.9
22W10,47.65,16.68
22W09,47.35,16.29
22W08,47.45,16.06
22W07,47.55,15.83
22W05,46.85,15.34
22W04,47.4,15.28
22W03,47.6,15.1
22W02,47.45,14.82
22W01,48.0,14.77
21W52,47.9,14.52
21W51,47.45,14.29
21W50,47.3,14.16
21W49,46.4,13.81
21W48,46.5,13.76
21W47,48.3,14.21
21W46,48.7,14.24
21W45,48.15,14.0
21W44,48.25,13.95
21W43,48.8,14.02
21W42,50.1,14.31
21W41,50.4,14.32
21W40,50.2,14.18
21W39,51.3,14.41
21W38,50.7,14.16
21W37,49.0,13.61
21W36,48.5,13.4
21W35,47.45,13.04
21W34,46.15,12.61
21W33,48.4,13.15
21W32,52.9,14.3
21W31,52.6,14.14
21W30,53.0,14.17
21W29,51.5,13.7
21W28,52.0,13.76
21W27,50.5,13.29
21W26,51.0,13.35
21W25,51.0,13.28
21W24,51.4,13.32
21W23,51.9,13.38
21W22,50.6,12.97
21W21,51.2,13.06
21W20,49.6,12.59
21W19,52.3,13.21
21W18,52.1,13.09
21W17,53.0,13.25
21W16,49.0,12.19
21W15,46.7,11.56
21W14,46.7,11.5
21W13,46.15,11.31
21W12,42.7,10.41
21W11,42.7,10.36
21W10,42.5,10.27
21W09,42.0,10.1
21W08,41.6,9.95
21W06,40.85,9.73
21W05,40.15,9.51
21W04,40.6,9.58
21W03,41.95,9.85
21W02,42.95,10.04
21W01,43.2,10.05
20W52,42.8,9.91
20W51,42.95,9.94
20W50,42.9,9.93
20W49,43.65,10.1
20W48,43.3,10.02
20W47,42.7,9.88
20W46,42.25,9.78
20W45,40.85,9.46
20W44,40.55,9.39
20W43,40.65,9.41
20W42,40.3,9.33
20W41,41.15,9.53
20W40,41.4,9.58
20W39,40.55,9.39
20W38,42.5,9.84
20W37,42.3,9.79
20W36,42.2,9.77
20W35,43.5,10.07
20W34,44.25,10.24
20W33,42.85,9.92
20W32,47.1,10.9
20W31,45.0,10.42
20W30,45.0,10.42
20W29,44.8,10.37
20W28,44.95,10.41
20W27,43.95,10.17
20W26,42.85,9.92
20W25,42.55,9.85
20W24,42.9,9.93
20W23,43.65,10.1
20W22,42.55,9.85
20W21,42.65,9.87
20W20,42.3,9.79
20W19,43.0,9.95
20W18,43.2,10.0
20W17,42.0,9.72
20W16,42.0,9.72
20W15,41.0,9.49
20W14,39.0,9.03
20W13,38.95,9.02
20W12,36.95,8.55
20W11,40.25,9.32
20W10,42.85,9.92
20W09,42.25,9.78
20W08,43.25,10.01
20W07,43.2,10.0
20W06,42.5,9.84
20W05,42.05,9.73
20W04,44.95,10.41
20W03,44.9,10.39
20W02,43.5,10.07
20W01,43.95,10.17
