Date,Price,PER
25W01,59.7,11.82
24W52,60.5,11.98
24W51,59.2,11.74
24W50,61.8,12.27
24W49,66.4,13.2
24W48,64.3,12.8
24W47,64.6,12.88
24W46,64.0,12.78
24W45,64.5,12.89
24W44,67.5,13.51
24W43,67.8,13.59
24W42,68.1,13.67
24W41,68.6,13.79
24W40,65.9,13.26
24W39,66.8,13.46
24W38,65.5,13.22
24W37,65.5,13.23
24W36,68.4,13.84
24W35,75.0,15.2
24W34,73.7,14.95
24W33,74.8,15.2
24W32,73.3,14.91
24W31,78.8,16.05
24W30,79.3,16.18
24W29,80.3,16.4
24W28,82.7,16.92
24W27,82.4,16.88
24W26,81.8,16.78
24W25,83.7,17.19
24W24,84.7,17.42
24W23,84.6,17.43
24W22,82.2,16.96
24W21,81.0,16.73
24W20,85.3,17.64
24W19,79.1,16.38
24W18,93.9,19.48
24W17,85.1,17.68
24W16,81.9,17.04
24W15,86.6,18.04
24W14,74.8,15.6
24W13,72.8,15.21
24W12,75.6,15.81
24W11,68.1,14.26
24W10,66.8,14.01
24W09,62.6,13.15
24W08,63.1,13.27
24W07,62.7,13.21
24W06,60.9,12.85
24W05,60.8,12.84
24W04,60.3,12.76
24W03,60.9,12.9
24W02,61.5,13.05
24W01,61.0,12.96
23W52,60.5,12.87
23W51,59.9,12.72
23W50,68.0,14.41
23W49,62.1,13.14
23W48,55.9,11.8
23W47,53.2,11.21
23W46,53.4,11.23
23W45,53.6,11.25
23W44,55.4,11.61
23W43,54.3,11.36
23W42,54.2,11.31
23W41,54.3,11.31
23W40,56.0,11.65
23W39,55.1,11.44
23W38,54.4,11.27
23W37,54.1,11.19
23W36,51.1,10.55
23W35,48.2,9.93
23W34,49.85,10.25
23W33,49.65,10.19
23W32,51.2,10.49
23W31,47.8,9.78
23W30,49.05,10.01
23W29,48.4,9.86
23W28,47.4,9.64
23W27,43.4,8.81
23W26,48.4,9.81
23W25,48.85,9.88
23W24,48.9,9.87
23W23,49.45,9.97
23W22,47.7,9.6
23W21,45.75,9.19
23W20,45.6,9.14
23W19,44.95,8.99
23W18,44.65,8.92
23W17,43.4,8.65
23W16,43.45,8.65
23W15,44.3,8.8
23W14,45.1,8.94
23W13,44.55,8.82
23W12,43.75,8.64
23W11,43.2,8.52
23W10,42.6,8.39
23W09,42.75,8.4
23W08,38.6,7.57
23W07,37.85,7.41
23W06,37.4,7.31
23W05,38.3,7.47
23W03,37.1,7.23
23W02,36.6,7.12
23W01,37.0,7.18
22W53,35.8,6.94
22W52,36.05,6.94
22W51,35.85,6.85
22W50,36.65,6.96
22W49,38.0,7.17
22W48,36.95,6.92
22W47,36.75,6.84
22W46,36.4,6.73
22W45,34.45,6.33
22W44,33.0,6.02
22W43,33.05,5.99
22W42,33.3,6.0
22W41,34.45,6.16
22W40,34.05,6.05
22W39,35.45,6.26
22W38,36.45,6.4
22W37,36.15,6.31
22W36,37.0,6.41
22W35,38.1,6.56
22W34,38.3,6.56
22W33,38.7,6.59
22W32,36.7,6.21
22W31,37.0,6.22
22W30,37.3,6.23
22W29,34.05,5.66
22W28,40.9,6.76
22W27,39.9,6.55
22W26,43.1,7.04
22W25,45.65,7.41
22W24,48.05,7.75
22W23,48.2,7.73
22W22,48.05,7.66
22W21,47.75,7.57
22W20,46.9,7.4
22W19,46.3,7.26
22W18,46.25,7.21
22W17,48.8,7.57
22W16,48.15,7.43
22W15,50.4,7.73
22W14,52.0,7.93
22W13,51.2,7.77
22W12,51.3,7.74
22W11,52.6,7.9
22W10,54.0,8.06
22W09,53.1,7.89
22W08,53.6,7.92
22W07,49.5,7.27
22W05,48.3,7.06
22W04,49.15,7.15
22W03,49.35,7.14
22W02,49.2,7.08
22W01,50.5,7.23
21W52,47.2,6.72
21W51,47.7,6.85
21W50,47.2,6.83
21W49,44.65,6.51
21W48,43.95,6.46
21W47,44.0,6.52
21W46,44.45,6.64
21W45,43.4,6.54
21W44,44.85,6.82
21W43,42.55,6.52
21W42,42.1,6.51
21W41,43.15,6.73
21W40,43.0,6.76
21W39,45.2,7.17
21W38,45.95,7.35
21W37,45.25,7.3
21W36,43.2,7.03
21W35,43.8,7.2
21W34,42.35,7.02
21W33,43.15,7.22
21W32,44.3,7.48
21W31,44.3,7.55
21W30,44.65,7.68
21W29,45.25,7.86
21W28,43.3,7.59
21W27,39.9,7.07
21W26,39.7,7.1
21W25,40.0,7.22
21W24,39.8,7.26
21W23,39.5,7.28
21W22,39.75,7.4
21W21,38.4,7.22
21W20,38.65,7.34
21W19,42.5,8.16
21W18,42.0,8.15
21W17,41.1,8.06
21W16,47.85,9.49
21W15,46.35,9.29
21W14,42.85,8.69
21W13,42.25,8.66
21W12,42.8,8.87
21W11,40.5,8.49
21W10,38.4,8.15
21W09,38.85,8.34
21W08,37.45,8.13
21W06,35.95,7.9
21W05,34.85,7.75
21W04,35.65,8.03
21W03,35.0,7.98
21W02,34.7,8.01
21W01,34.3,8.02
20W52,34.5,8.18
20W51,34.1,8.08
20W50,34.6,8.2
20W49,33.4,7.91
20W48,32.35,7.67
20W47,31.1,7.37
20W46,30.7,7.27
20W45,30.3,7.18
20W44,30.3,7.18
20W43,29.55,7.0
20W42,29.5,6.99
20W41,29.55,7.0
20W40,29.35,6.95
20W39,29.05,6.88
20W38,29.5,6.99
20W37,29.55,7.0
20W36,30.0,7.11
20W35,29.7,7.04
20W34,29.5,6.99
20W33,30.3,7.18
20W32,30.4,7.2
20W31,29.7,7.04
20W30,29.6,7.01
20W29,29.85,7.07
20W28,30.2,7.16
20W27,30.8,7.3
20W26,29.8,7.06
20W25,29.6,7.01
20W24,29.85,7.07
20W23,31.35,7.43
20W22,29.5,6.99
20W21,29.65,7.03
20W20,30.7,7.27
20W19,31.9,7.56
20W18,33.7,7.99
20W17,31.85,7.55
20W16,34.95,8.28
20W15,32.8,7.77
20W14,30.45,7.22
20W13,29.4,6.97
20W12,28.4,6.73
20W11,31.45,7.45
20W10,32.65,7.74
20W09,31.15,7.38
20W08,31.75,7.52
20W07,32.05,7.59
20W06,31.05,7.36
20W05,32.7,7.75
20W04,32.3,7.65
20W03,32.3,7.65
20W02,31.75,7.52
20W01,30.55,7.24
