Date,Price,PER
25W01,41.9,21.49
24W52,41.4,21.23
24W51,40.15,20.47
24W50,41.35,20.96
24W49,41.45,20.89
24W48,41.0,20.54
24W47,39.9,19.87
24W46,39.55,19.59
24W45,42.1,20.73
24W44,42.0,20.56
24W43,43.0,20.94
24W42,45.35,21.96
24W41,44.7,21.52
24W40,43.9,21.02
24W39,43.15,20.55
24W38,43.35,20.53
24W37,42.9,20.21
24W36,41.6,19.49
24W35,45.45,21.18
24W34,44.5,20.62
24W33,43.95,20.26
24W32,43.0,19.72
24W31,46.05,21.01
24W30,47.25,21.44
24W29,47.05,21.24
24W28,49.3,22.14
24W27,52.3,23.36
24W26,53.7,23.87
24W25,54.1,23.92
24W24,52.8,23.23
24W23,52.1,22.8
24W22,52.5,22.86
24W21,52.3,22.66
24W20,52.3,22.55
24W19,52.7,22.61
24W18,52.9,22.58
24W17,55.8,23.71
24W16,55.6,23.51
24W15,59.5,25.03
24W14,60.6,25.37
24W13,60.3,25.12
24W12,61.6,25.54
24W11,57.6,23.77
24W10,59.1,24.27
24W09,61.0,24.94
24W08,60.6,24.66
24W07,57.0,23.08
24W06,56.4,22.73
24W05,57.2,22.95
24W04,56.8,22.69
24W03,57.8,22.98
24W02,58.9,23.31
24W01,60.2,23.72
23W52,61.1,23.96
23W51,60.5,23.79
23W50,61.3,24.17
23W49,59.8,23.64
23W48,61.2,24.25
23W47,61.0,24.24
23W46,60.9,24.26
23W45,63.5,25.37
23W44,61.3,24.55
23W43,63.1,25.34
23W42,57.5,23.15
23W41,60.5,24.43
23W40,62.1,25.14
23W39,59.9,24.32
23W38,60.5,24.63
23W37,61.0,24.9
23W36,57.2,23.41
23W35,55.7,22.86
23W34,53.6,22.06
23W33,53.0,21.87
23W32,55.0,22.76
23W31,58.9,24.44
23W30,61.3,25.51
23W29,62.0,25.87
23W28,64.2,26.86
23W27,68.2,28.62
23W26,70.7,29.75
23W25,60.7,25.61
23W24,61.3,25.94
23W23,62.0,26.31
23W22,62.4,26.55
23W21,64.1,27.35
23W20,67.1,28.72
23W19,68.1,29.23
23W18,72.6,31.25
23W17,68.4,29.53
23W16,67.1,29.05
23W15,68.5,29.74
23W14,70.1,30.52
23W13,69.0,30.13
23W12,66.2,28.99
23W11,69.0,30.31
23W10,66.4,29.25
23W09,66.7,29.47
23W08,60.0,26.59
23W07,61.0,27.11
23W06,53.2,23.71
23W05,53.1,23.74
23W03,45.9,20.58
23W02,45.75,20.58
23W01,44.1,19.89
22W53,43.55,19.71
22W52,44.2,19.96
22W51,44.75,20.17
22W50,46.1,20.74
22W49,45.65,20.5
22W48,43.5,19.5
22W47,41.8,18.7
22W46,40.2,17.95
22W45,39.95,17.8
22W44,39.55,17.59
22W43,38.8,17.23
22W42,39.7,17.59
22W41,43.45,19.22
22W40,41.75,18.43
22W39,44.1,19.43
22W38,45.3,19.93
22W37,44.25,19.43
22W36,45.5,19.94
22W35,46.0,20.12
22W34,44.5,19.43
22W33,41.7,18.17
22W32,36.8,16.01
22W31,36.5,15.85
22W30,36.55,15.84
22W29,35.95,15.55
22W28,37.6,16.24
22W27,37.45,16.14
22W26,41.2,17.73
22W25,40.95,17.59
22W24,40.9,17.53
22W23,39.3,16.82
22W22,38.5,16.44
22W21,38.1,16.24
22W20,39.15,16.66
22W19,42.25,17.95
22W18,45.65,19.36
22W17,49.5,20.95
22W16,48.3,20.41
22W15,47.95,20.23
22W14,46.7,19.66
22W13,45.0,18.91
22W12,43.65,18.31
22W11,42.15,17.65
22W10,41.6,17.39
22W09,39.2,16.36
22W08,37.75,15.73
22W07,37.95,15.78
22W05,36.05,14.97
22W04,36.3,15.04
22W03,37.3,15.43
22W02,37.55,15.51
22W01,38.05,15.69
21W52,37.8,15.56
21W51,37.55,15.44
21W50,37.6,15.45
21W49,37.1,15.23
21W48,36.95,15.16
21W47,37.3,15.29
21W46,36.45,14.93
21W45,36.2,14.81
21W44,36.75,15.03
21W43,36.7,14.99
21W42,36.55,14.92
21W41,36.95,15.07
21W40,37.8,15.41
21W39,36.1,14.7
21W38,35.3,14.36
21W37,33.9,13.78
21W36,34.1,13.85
21W35,34.3,13.92
21W34,33.2,13.47
21W33,34.0,13.78
21W32,35.05,14.19
