Date,Price,PER
25W01,110.0,48.67
24W52,114.5,50.66
24W51,116.5,52.0
24W50,120.5,54.25
24W49,123.0,55.87
24W48,122.0,55.9
24W47,128.5,59.41
24W46,126.5,59.02
24W45,129.5,60.97
24W44,122.5,58.21
24W43,121.5,58.27
24W42,131.5,63.66
24W41,138.5,67.68
24W40,143.0,70.55
24W39,143.5,71.48
24W38,147.5,74.19
24W37,148.5,75.43
24W36,141.0,72.34
24W35,151.0,78.25
24W34,130.0,68.05
24W33,110.0,58.17
24W32,91.9,49.1
24W31,98.0,52.91
24W30,103.5,56.47
24W29,98.3,54.21
24W28,94.6,52.74
24W27,109.0,61.43
24W26,80.0,45.58
24W25,70.4,40.56
24W24,57.6,33.56
24W23,57.8,34.07
24W22,57.3,34.16
24W21,59.3,35.77
24W20,54.0,32.96
24W19,52.9,32.67
24W18,55.4,34.63
24W17,55.1,34.87
24W16,56.0,35.88
24W15,65.9,42.75
24W14,67.9,44.61
24W13,54.6,36.34
24W12,56.1,37.83
24W11,49.65,33.92
24W10,53.2,36.84
24W09,49.85,34.99
24W08,50.0,35.58
24W07,42.05,30.34
24W06,34.8,25.47
24W05,34.65,25.72
24W04,34.6,26.06
24W03,34.3,26.22
24W02,32.6,25.29
24W01,30.75,24.22
23W52,30.4,24.32
23W51,30.0,23.57
23W50,31.0,23.93
23W49,30.75,23.33
23W48,31.8,23.71
23W47,31.7,23.25
23W46,29.65,21.39
23W45,28.3,20.08
23W44,28.65,20.01
23W43,28.95,19.9
23W42,29.6,20.03
23W41,30.4,20.26
23W40,30.9,20.29
23W39,30.5,19.73
23W38,30.8,19.64
23W37,31.45,19.77
23W36,32.4,20.08
23W35,32.5,19.86
23W34,33.4,20.13
23W33,30.55,18.16
23W32,32.0,18.77
23W31,35.5,20.55
23W30,34.5,19.71
23W29,32.65,18.41
23W28,32.4,18.04
23W27,30.9,16.99
23W26,31.4,17.05
23W25,32.05,17.19
23W24,33.3,17.65
23W23,32.6,17.07
23W22,30.75,15.91
23W21,31.2,15.96
23W20,28.2,14.26
23W19,27.8,13.9
23W18,28.35,14.01
23W17,28.4,13.88
23W16,28.3,13.68
23W15,28.95,13.84
23W14,28.85,13.65
23W13,29.0,13.57
23W12,29.35,13.59
23W11,28.8,13.2
23W10,30.0,13.6
23W09,29.8,13.37
23W08,29.45,13.08
23W07,29.1,12.8
23W06,28.8,12.54
23W05,29.5,12.72
23W03,28.25,12.06
23W02,28.1,11.88
23W01,28.3,11.85
22W53,27.6,11.45
22W52,28.65,11.97
22W51,28.9,12.16
22W50,30.65,12.99
22W49,28.55,12.18
22W48,27.8,11.95
22W47,28.3,12.25
22W46,26.6,11.6
22W45,26.25,11.53
22W44,25.25,11.18
22W43,25.0,11.15
22W42,25.5,11.46
22W41,26.7,12.09
22W40,26.2,11.95
22W39,27.4,12.59
22W38,28.1,13.02
22W37,26.35,12.3
22W36,26.8,12.61
22W35,27.8,13.18
22W34,28.7,13.72
22W33,25.7,12.38
22W32,25.15,12.22
22W31,25.1,12.29
22W30,26.4,13.04
22W29,25.3,12.6
22W28,24.35,12.23
22W27,23.7,12.0
22W26,26.35,13.46
22W25,27.8,14.32
22W24,30.45,15.82
22W23,30.5,15.98
22W22,28.85,15.25
22W21,29.05,15.5
22W20,27.75,14.94
22W19,29.4,15.97
22W18,29.25,16.03
22W17,30.4,16.82
22W16,31.1,17.36
22W15,31.0,17.47
22W14,32.0,18.21
22W13,32.3,18.56
22W12,31.0,17.98
22W11,29.6,17.34
22W10,30.3,17.92
22W09,30.2,18.04
22W08,32.5,19.61
22W07,33.7,20.54
22W05,31.1,19.15
22W04,31.8,19.79
22W03,32.4,20.37
22W02,33.15,21.07
22W01,34.45,22.13
21W52,33.4,21.69
21W51,32.8,21.47
21W50,35.0,23.09
21W49,34.85,23.17
21W48,36.5,24.46
21W47,34.0,22.97
21W46,34.0,23.16
21W45,33.3,22.87
21W44,32.5,22.5
21W43,32.4,22.62
21W42,30.65,21.58
21W41,31.85,22.61
21W40,31.35,22.45
21W39,33.25,24.02
21W38,33.2,24.19
21W37,34.7,25.5
21W36,36.4,26.99
21W35,35.75,26.75
21W34,34.15,25.78
21W33,35.35,26.93
21W32,41.1,31.6
21W31,39.3,30.49
21W30,42.0,32.89
21W29,45.35,35.85
21W28,45.15,36.04
21W27,39.3,31.67
21W26,39.7,32.3
21W25,39.3,32.29
21W24,38.65,32.07
21W23,36.45,30.55
21W22,36.2,30.65
21W21,34.15,29.21
21W20,33.25,28.73
21W19,38.5,33.62
21W18,40.2,35.47
21W17,40.7,36.29
21W16,43.9,39.57
