Date,Price,PER
25W01,558.0,41.77
24W52,537.0,40.19
24W51,544.0,40.92
24W50,529.0,40.0
24W49,558.0,42.41
24W48,550.0,42.01
24W47,551.0,42.31
24W46,624.0,48.16
24W45,620.0,48.1
24W44,559.0,43.59
24W43,586.0,45.94
24W42,618.0,48.7
24W41,601.0,47.62
24W40,631.0,50.26
24W39,660.0,52.85
24W38,606.0,48.79
24W37,569.0,46.06
24W36,558.0,45.42
24W35,667.0,54.59
24W34,691.0,56.86
24W33,697.0,57.68
24W32,632.0,52.59
24W31,661.0,55.31
24W30,775.0,65.22
24W29,957.0,80.99
24W28,907.0,77.2
24W27,936.0,80.12
24W26,945.0,81.36
24W25,947.0,82.01
24W24,920.0,80.13
24W23,742.0,65.01
24W22,714.0,62.93
24W21,704.0,62.41
24W20,741.0,66.09
24W19,798.0,71.6
24W18,818.0,73.84
24W17,854.0,77.56
24W16,915.0,83.61
24W15,946.0,86.97
24W14,816.0,75.49
24W13,683.0,63.58
24W12,714.0,66.88
24W11,665.0,62.69
24W10,502.0,47.62
24W09,538.0,51.37
24W08,560.0,53.81
24W07,503.0,48.65
24W06,492.0,47.89
24W05,488.5,47.87
24W04,380.5,37.53
24W03,354.5,35.2
24W02,370.0,36.98
24W01,334.0,33.61
23W52,327.0,33.13
23W51,321.0,32.96
23W50,347.5,36.16
23W49,367.0,38.72
23W48,285.0,30.49
23W47,275.0,29.84
23W46,273.0,30.04
23W45,237.5,26.52
23W44,225.0,25.49
23W43,251.0,28.87
23W42,263.0,30.71
23W41,279.0,33.08
23W40,300.5,36.19
23W39,271.0,33.16
23W38,236.0,29.35
23W37,257.5,32.55
23W36,293.0,37.66
23W35,292.5,38.24
23W34,286.5,38.1
23W33,229.0,30.99
23W32,211.5,29.14
23W31,213.0,29.88
23W30,229.0,32.73
23W29,216.0,31.46
23W28,200.0,29.69
23W27,149.5,22.63
23W26,147.5,22.78
23W25,163.5,25.77
23W24,165.5,26.64
23W23,153.5,25.23
23W22,158.0,26.54
23W21,135.5,23.27
23W20,123.5,21.7
23W19,101.5,18.25
23W18,99.1,18.25
23W17,94.9,17.91
23W16,95.4,18.46
23W15,94.7,18.8
23W14,78.9,16.08
23W13,69.3,14.51
23W12,71.6,15.41
23W11,66.7,14.77
23W10,70.0,15.96
23W09,63.0,14.81
23W08,63.0,15.28
23W07,57.8,14.47
23W06,54.5,14.11
23W05,54.5,14.6
