Date,Price,PER
25W01,115.5,24.06
24W52,117.0,24.38
24W51,120.0,24.96
24W50,115.5,23.98
24W49,124.0,25.69
24W48,121.0,25.03
24W47,127.5,26.33
24W46,128.0,26.38
24W45,144.0,29.63
24W44,140.5,28.85
24W43,139.5,28.6
24W42,133.5,27.32
24W41,134.0,27.37
24W40,126.5,25.8
24W39,131.0,26.67
24W38,142.5,28.96
24W37,126.5,25.66
24W36,122.5,24.81
24W35,132.0,26.68
24W34,140.5,28.35
24W33,125.0,25.18
24W32,105.5,21.21
24W31,112.0,22.48
24W30,113.5,22.74
24W29,119.0,23.8
24W28,130.0,25.96
24W27,129.0,25.72
24W26,104.5,20.8
24W25,105.0,20.86
24W24,100.0,19.83
24W23,117.5,23.26
24W22,107.5,21.25
24W21,109.5,21.61
24W20,95.8,18.87
24W19,91.0,17.89
24W18,90.5,17.77
24W17,90.8,17.79
24W16,86.1,16.84
24W15,86.0,16.8
24W14,84.4,16.46
24W13,81.9,15.94
24W12,80.9,15.72
24W11,79.7,15.46
24W10,78.9,15.28
24W09,78.1,15.1
24W08,73.0,14.09
24W07,72.6,13.99
24W06,74.5,14.33
24W05,75.1,14.42
24W04,74.4,14.27
24W03,75.0,14.36
24W02,74.5,14.24
24W01,73.9,14.1
23W52,73.9,14.08
23W51,73.9,13.7
23W50,74.5,13.46
23W49,73.1,12.87
23W48,73.6,12.64
23W47,73.5,12.32
23W46,72.5,11.87
23W45,71.8,11.48
23W44,70.4,11.01
23W43,69.6,10.65
23W42,70.9,10.61
23W41,70.8,10.37
23W40,71.3,10.23
23W39,69.1,9.72
23W38,69.3,9.55
23W37,71.0,9.6
23W36,70.9,9.4
23W35,71.2,9.27
23W34,79.6,10.17
23W33,79.1,9.93
23W32,78.7,9.7
23W31,80.8,9.79
23W30,81.8,9.74
23W29,80.7,9.45
23W28,81.1,9.34
23W27,82.9,9.39
23W26,84.4,9.41
23W25,83.5,9.16
23W24,83.5,9.02
23W23,85.8,9.13
23W22,85.1,8.92
23W21,84.4,8.71
23W20,84.3,8.58
23W19,83.1,8.33
23W18,89.3,8.83
23W17,88.7,8.65
23W16,88.2,8.48
23W15,90.6,8.59
23W14,92.2,8.63
23W13,93.4,8.62
23W12,95.4,8.69
23W11,93.9,8.45
23W10,91.3,8.11
23W09,90.6,7.94
23W08,90.6,7.85
23W07,88.1,7.54
23W06,88.2,7.45
23W05,88.2,7.36
23W03,85.8,7.08
23W02,85.2,6.95
23W01,82.5,6.65
22W53,79.9,6.37
22W52,80.3,6.45
22W51,84.5,6.84
22W50,87.3,7.12
22W49,87.7,7.21
22W48,84.1,6.97
22W47,85.3,7.13
22W46,84.8,7.14
22W45,80.1,6.8
22W44,73.4,6.29
22W43,74.0,6.39
22W42,77.2,6.72
22W41,83.8,7.36
22W40,78.8,6.98
22W39,82.3,7.35
22W38,86.9,7.83
22W37,82.5,7.5
22W36,85.5,7.84
22W35,90.0,8.33
22W34,88.8,8.3
22W33,88.6,8.35
22W32,80.6,7.67
22W31,81.3,7.81
22W30,79.3,7.69
22W29,79.8,7.81
22W28,75.6,7.47
22W27,72.0,7.18
22W26,73.9,7.44
22W25,80.0,8.14
22W24,84.1,8.64
22W23,83.5,8.66
22W22,81.7,8.56
22W21,84.0,8.9
22W20,83.2,8.9
22W19,82.0,8.87
22W18,83.9,9.17
22W17,90.0,9.94
22W16,90.0,10.05
22W15,97.9,11.05
22W14,99.8,11.39
22W13,98.7,11.39
22W12,93.8,10.95
22W11,93.8,11.07
22W10,99.7,11.91
22W09,96.0,11.6
22W08,101.0,12.35
22W07,113.0,13.98
22W05,96.5,12.08
22W04,102.5,12.99
22W03,97.1,12.46
22W02,102.5,13.32
22W01,88.0,11.58
21W52,74.3,9.91
21W51,74.2,9.98
21W50,81.0,11.0
21W49,71.1,9.75
21W48,69.8,9.66
21W47,73.7,10.29
21W46,71.3,10.05
21W45,69.4,9.88
21W44,63.8,9.17
21W43,58.9,8.55
21W42,55.5,8.14
21W41,54.2,8.03
21W40,54.8,8.2
21W39,57.5,8.69
21W38,57.9,8.84
21W37,56.5,8.72
21W36,57.7,9.0
21W35,62.3,9.82
21W34,59.3,9.45
21W33,60.0,9.67
21W32,60.5,9.85
21W31,59.8,9.85
21W30,61.0,10.16
21W29,61.3,10.33
21W28,61.1,10.41
21W27,58.6,10.11
21W26,59.2,10.33
21W25,59.1,10.44
21W24,58.9,10.53
21W23,59.1,10.69
21W22,56.6,10.37
21W21,56.3,10.44
21W20,55.4,10.41
21W19,62.7,11.93
21W18,65.7,12.67
21W17,65.7,12.84
21W16,65.7,13.01
21W15,64.9,13.03
21W14,61.2,12.45
21W13,57.3,11.82
21W12,56.5,11.82
21W11,57.6,12.23
21W10,59.5,12.82
21W09,57.8,12.64
21W08,57.4,12.74
21W06,55.7,12.55
21W05,53.9,12.33
21W04,52.4,12.18
21W03,52.9,12.49
21W02,53.9,12.94
21W01,54.7,13.35
20W52,54.6,13.55
20W51,54.2,13.45
20W50,55.2,13.7
20W49,57.0,14.14
20W48,59.4,14.74
20W47,58.3,14.47
20W46,51.3,12.73
20W45,49.85,12.37
20W44,48.85,12.12
20W43,50.1,12.43
20W42,48.45,12.02
20W41,49.8,12.36
20W40,51.0,12.66
20W39,50.0,12.41
20W38,52.3,12.98
20W37,51.6,12.8
20W36,52.5,13.03
20W35,51.3,12.73
20W34,49.6,12.31
20W33,50.5,12.53
20W32,51.2,12.7
20W31,50.5,12.53
20W30,50.3,12.48
20W29,49.95,12.39
20W28,49.5,12.28
20W27,49.3,12.23
20W26,48.4,12.01
20W25,48.5,12.03
20W24,48.25,11.97
20W23,49.15,12.2
20W22,47.45,11.77
20W21,45.4,11.27
20W20,45.25,11.23
20W19,48.6,12.06
20W18,49.2,12.21
20W17,48.4,12.01
20W16,50.0,12.41
20W15,45.15,11.2
20W14,44.5,11.04
20W13,44.0,10.92
20W12,37.15,9.22
20W11,42.05,10.43
20W10,52.7,13.08
20W09,52.9,13.13
20W08,53.8,13.35
20W07,53.7,13.33
20W06,54.1,13.42
20W05,55.0,13.65
20W04,59.9,14.86
20W03,59.8,14.84
20W02,59.4,14.74
20W01,61.5,15.26
