Date,Price,PER
25W01,17.8,10.29
24W52,17.9,10.35
24W51,17.9,10.31
24W50,18.35,10.54
24W49,18.5,10.59
24W48,18.35,10.48
24W47,18.45,10.5
24W46,18.3,10.38
24W45,18.65,10.55
24W44,18.6,10.49
24W43,18.5,10.4
24W42,18.4,10.31
24W41,18.45,10.31
24W40,18.65,10.39
24W39,18.8,10.44
24W38,18.6,10.3
24W37,18.45,10.19
24W36,18.2,10.02
24W35,18.35,10.07
24W34,18.4,10.07
24W33,18.2,9.93
24W32,17.5,9.52
24W31,18.0,9.77
24W30,18.05,9.76
24W29,18.3,9.87
24W28,19.75,10.62
24W27,19.9,10.67
24W26,19.7,10.53
24W25,19.55,10.42
24W24,19.5,10.37
24W23,19.4,10.29
24W22,19.5,10.31
24W21,19.4,10.23
24W20,20.0,10.51
24W19,20.25,10.61
24W18,20.7,10.82
24W17,19.35,10.09
24W16,19.15,9.95
24W15,19.35,10.03
24W14,19.45,10.05
24W13,19.2,9.9
24W12,18.95,9.74
24W11,18.65,9.56
24W10,17.6,9.0
24W09,17.8,9.07
24W08,17.7,9.0
24W07,17.65,8.95
24W06,17.75,8.98
24W05,17.75,8.95
24W04,17.85,8.98
24W03,17.75,8.9
24W02,18.05,9.03
24W01,18.15,9.05
23W52,18.25,9.08
23W51,18.2,9.13
23W50,18.15,9.18
23W49,18.15,9.26
23W48,18.15,9.34
23W47,17.95,9.31
23W46,17.9,9.37
23W45,17.7,9.34
23W44,17.7,9.42
23W43,17.55,9.43
23W42,17.5,9.48
23W41,17.7,9.68
23W40,17.8,9.82
23W39,17.75,9.88
23W38,17.85,10.03
23W37,18.1,10.27
23W36,17.95,10.28
23W35,18.2,10.52
23W34,18.1,10.56
23W33,18.0,10.61
23W32,17.8,10.59
23W31,17.3,10.4
23W30,17.25,10.47
23W29,17.3,10.61
23W28,17.3,10.71
23W27,18.15,11.36
23W26,18.5,11.7
23W25,18.7,11.95
23W24,18.6,12.01
23W23,18.7,12.2
23W22,18.45,12.17
23W21,18.6,12.4
23W20,18.5,12.48
23W19,17.7,12.07
23W18,17.9,12.34
23W17,17.8,12.42
23W16,17.5,12.35
23W15,17.6,12.57
23W14,17.15,12.39
23W13,17.05,12.47
23W12,17.1,12.66
23W11,17.05,12.77
23W10,16.9,12.82
23W09,16.95,13.02
23W08,17.1,13.3
23W07,16.55,13.04
23W06,16.3,13.02
23W05,16.6,13.43
23W03,16.25,13.33
23W02,15.95,13.26
23W01,15.75,13.27
22W53,15.65,13.38
22W52,15.7,13.13
22W51,15.85,12.97
22W50,16.05,12.86
22W49,16.5,12.95
22W48,15.85,12.19
22W47,15.55,11.73
22W46,15.25,11.28
22W45,15.15,11.0
22W44,15.2,10.83
22W43,14.65,10.25
22W42,15.5,10.65
22W41,15.65,10.56
22W40,15.0,9.95
22W39,16.3,10.63
22W38,17.35,11.13
22W37,17.4,10.98
22W36,17.6,10.92
22W35,18.0,10.99
22W34,17.7,10.64
22W33,17.8,10.54
22W32,18.15,10.58
22W31,19.85,11.4
22W30,19.9,11.26
22W29,19.45,10.85
22W28,19.7,10.83
22W27,19.7,10.68
22W26,20.0,10.69
22W25,19.8,10.44
22W24,20.0,10.4
22W23,20.05,10.29
22W22,20.0,10.13
22W21,19.6,9.8
22W20,19.5,9.62
22W19,20.1,9.79
22W18,20.35,9.79
22W17,20.65,9.81
22W16,20.9,9.81
22W15,21.15,9.81
22W14,21.5,9.85
22W13,20.55,9.31
22W12,20.3,9.09
22W11,19.85,8.78
22W10,20.1,8.79
22W09,19.8,8.56
22W08,20.1,8.6
22W07,20.1,8.5
22W05,19.9,8.33
22W04,19.85,8.22
22W03,20.0,8.19
22W02,20.2,8.18
22W01,20.8,8.34
21W52,20.2,8.02
21W51,20.0,7.91
21W50,20.1,7.92
21W49,20.05,7.88
21W48,20.35,7.97
21W47,21.25,8.3
21W46,21.2,8.25
21W45,20.8,8.07
21W44,21.05,8.14
21W43,21.1,8.13
21W42,21.15,8.13
21W41,21.35,8.18
21W40,21.9,8.36
21W39,23.15,8.81
21W38,24.1,9.15
21W37,21.1,7.98
21W36,21.8,8.22
21W35,21.2,7.97
21W34,20.7,7.76
21W33,21.5,8.03
21W32,22.85,8.51
21W31,25.35,9.41
21W30,25.8,9.55
21W29,25.4,9.37
21W28,26.4,9.71
21W27,25.75,9.45
21W26,25.4,9.29
21W25,25.1,9.15
21W24,25.55,9.29
21W23,26.85,9.73
21W22,26.05,9.41
21W21,26.1,9.4
21W20,25.25,9.07
21W19,28.4,10.17
21W18,29.05,10.38
21W17,27.85,9.92
21W16,28.15,9.99
21W15,24.05,8.51
21W14,23.8,8.4
21W13,21.65,7.62
21W12,20.5,7.19
21W11,19.7,6.89
21W10,19.85,6.93
21W09,19.65,6.84
21W08,19.35,6.71
21W06,18.65,6.45
21W05,18.4,6.35
21W04,18.3,6.3
21W03,19.15,6.57
21W02,19.55,6.69
21W01,20.0,6.82
20W52,19.95,6.79
20W51,19.8,6.73
20W50,20.1,6.84
20W49,21.15,7.19
20W48,20.4,6.94
20W47,20.2,6.87
20W46,19.95,6.79
20W45,18.95,6.45
20W44,18.85,6.41
20W43,19.2,6.53
20W42,19.1,6.5
20W41,19.8,6.73
20W40,19.55,6.65
20W39,18.75,6.38
20W38,20.5,6.97
20W37,19.55,6.65
20W36,18.65,6.34
20W35,18.4,6.26
20W34,18.3,6.22
20W33,18.0,6.12
20W32,17.2,5.85
20W31,16.95,5.77
20W30,16.65,5.66
20W29,16.95,5.77
20W28,18.2,6.19
20W27,18.35,6.24
20W26,18.1,6.16
20W25,18.05,6.14
20W24,17.8,6.05
20W23,18.3,6.22
20W22,17.6,5.99
20W21,17.3,5.88
20W20,17.3,5.88
20W19,17.45,5.94
20W18,17.6,5.99
20W17,16.5,5.61
20W16,16.95,5.77
20W15,16.55,5.63
20W14,15.85,5.39
20W13,15.75,5.36
20W12,14.5,4.93
20W11,15.5,5.27
20W10,17.25,5.87
20W09,16.95,5.77
20W08,17.35,5.9
20W07,17.4,5.92
20W06,17.75,6.04
20W05,18.7,6.36
20W04,19.9,6.77
20W03,19.9,6.77
20W02,19.75,6.72
20W01,20.65,7.02
