Date,Price,PER
25W01,125.0,-
24W52,125.0,-
24W51,125.0,-
24W50,133.0,-
24W49,138.0,-
24W48,147.0,-
24W47,144.5,-
24W46,140.0,-
24W45,146.0,-
24W44,150.0,-
24W43,151.0,-
24W42,164.0,-
24W41,147.0,-
24W40,154.0,-
24W39,150.0,-
24W38,140.0,-
24W37,139.5,-
24W36,139.0,-
24W35,144.5,-
24W34,148.0,-
24W33,146.5,-
24W32,154.0,-
24W31,147.5,-
24W30,147.0,-
24W29,152.5,-
24W28,147.0,-
24W27,155.5,-
24W26,159.0,-
24W25,169.0,-
24W24,174.0,-
24W23,159.5,-
24W22,145.0,-
24W21,154.0,-
24W20,153.5,-
24W19,163.5,-
24W18,157.0,-
24W17,153.0,-
24W16,155.0,-
24W15,158.0,-
24W14,148.0,-
24W13,150.5,-
24W12,155.0,-
24W11,152.0,-
24W10,154.0,-
24W09,154.0,-
24W08,160.0,-
24W07,161.5,-
24W06,168.0,-
24W05,168.0,-
24W04,170.0,18417
24W03,169.0,3602
24W02,184.5,2180
24W01,170.0,1390
23W52,170.0,1062
23W51,187.5,1172
23W50,182.0,1138
23W49,184.5,1153
23W48,189.0,1181
23W47,180.0,1125
23W46,171.5,1072
23W45,142.0,887.5
23W44,140.0,875
23W43,142.0,887.5
23W42,148.0,925
23W41,149.5,934.4
23W40,153.0,956.2
23W39,160.5,1003
23W38,165.0,1031
23W37,170.0,1062
23W36,170.0,1062
23W35,170.0,1062
23W34,167.5,1047
23W33,172.0,1075
23W32,170.5,1066
23W31,182.0,1138
23W30,222.0,1388
23W29,225.0,1406
23W28,260.0,1625
