Date,Price,PER
25W01,61.3,20.99
24W52,61.4,21.03
24W51,60.3,20.64
24W50,61.5,21.04
24W49,63.9,21.85
24W48,60.6,20.71
24W47,60.6,20.7
24W46,60.8,20.76
24W45,63.3,21.6
24W44,63.6,21.69
24W43,65.1,22.19
24W42,64.6,22.01
24W41,64.7,22.03
24W40,66.3,22.56
24W39,67.7,23.03
24W38,68.4,23.25
24W37,66.9,22.73
24W36,67.5,22.92
24W35,69.9,23.73
24W34,71.3,24.19
24W33,69.3,23.5
24W32,65.3,22.13
24W31,70.2,23.78
24W30,75.9,25.7
24W29,74.7,25.28
24W28,78.0,26.38
24W27,82.0,27.72
24W26,83.8,28.31
24W25,77.2,26.07
24W24,73.7,24.87
24W23,72.3,24.39
24W22,72.7,24.51
24W21,72.9,24.56
24W20,74.0,24.92
24W19,70.3,23.66
24W18,71.5,24.06
24W17,70.1,23.57
24W16,69.2,23.26
24W15,75.8,25.46
24W14,79.0,26.52
24W13,79.6,26.71
24W12,80.0,26.83
24W11,80.5,26.99
24W10,82.7,27.71
24W09,84.4,28.26
24W08,80.9,27.08
24W07,80.2,26.83
24W06,79.6,26.62
24W05,80.5,26.9
24W04,81.7,27.29
24W03,80.9,27.01
24W02,81.0,27.03
24W01,83.5,27.85
23W52,85.3,28.43
23W51,84.3,28.1
23W50,87.7,29.23
23W49,86.5,28.83
23W48,89.5,29.83
23W47,87.6,29.2
23W46,86.1,28.7
23W45,85.1,28.37
23W44,82.3,27.43
23W43,85.5,28.5
23W42,80.4,26.8
23W41,85.7,28.57
23W40,91.7,30.57
23W39,85.5,28.5
23W38,88.8,29.6
23W37,100.0,33.33
23W36,100.5,33.5
23W35,101.5,33.83
23W34,99.3,33.1
23W33,101.0,33.67
23W32,101.5,33.83
23W31,109.5,36.5
23W30,123.0,41.0
23W29,124.5,41.5
23W28,108.5,36.17
23W27,100.0,33.33
23W26,104.5,34.83
23W25,105.5,35.17
23W24,104.5,34.83
23W23,109.5,36.5
23W22,113.5,37.83
23W21,102.5,34.17
23W20,103.0,34.33
23W19,105.0,35.0
23W18,114.0,38.0
23W17,117.5,39.17
23W16,123.5,41.17
23W15,132.5,44.17
23W14,156.5,52.17
23W13,130.0,43.33
