Date,Price,PER
25W01,75.6,14.65
24W52,74.3,14.4
24W51,72.0,14.2
24W50,73.5,14.76
24W49,74.9,15.31
24W48,73.6,15.33
24W47,75.4,16.0
24W46,76.7,16.59
24W45,79.5,17.54
24W44,79.7,17.94
24W43,80.0,18.38
24W42,80.6,18.9
24W41,79.7,19.09
24W40,81.1,19.85
24W39,81.6,20.43
24W38,81.6,20.89
24W37,81.2,21.28
24W36,82.8,22.22
24W35,83.8,23.04
24W34,83.4,23.51
24W33,84.3,24.38
24W32,83.1,24.68
24W31,82.4,25.14
24W30,82.6,25.91
24W29,83.8,27.04
24W28,83.8,27.85
24W27,81.5,27.91
24W26,82.8,29.26
24W25,83.7,30.54
24W24,83.7,31.58
24W23,86.7,33.85
24W22,85.3,34.51
24W21,82.8,34.76
24W20,82.9,36.16
24W19,83.5,37.91
24W18,76.3,36.11
24W17,75.2,37.16
24W16,76.2,39.4
24W15,74.7,40.5
24W14,71.0,40.46
24W13,69.8,41.92
24W12,71.0,45.07
24W11,71.6,48.19
24W10,72.7,52.07
24W09,74.1,56.71
24W08,76.3,62.7
24W07,71.2,63.16
24W06,70.5,67.94
24W05,70.7,74.57
24W04,71.9,83.75
24W03,71.3,92.74
24W02,70.8,104.2
24W01,72.6,123.1
23W52,72.8,145.6
23W51,73.3,89.18
23W50,73.0,63.82
23W49,72.9,49.73
23W48,71.8,40.16
23W47,69.9,33.13
23W46,68.6,28.21
23W45,68.3,24.8
23W44,68.5,22.27
23W43,66.9,19.69
23W42,66.1,17.77
23W41,68.8,17.02
23W40,72.9,16.71
23W39,70.4,15.03
23W38,76.6,15.3
23W37,76.1,14.28
23W36,76.3,13.5
23W35,76.8,12.86
23W34,71.5,11.36
23W33,71.5,10.81
23W32,72.3,10.42
23W31,78.2,10.77
23W30,79.0,10.42
23W29,82.1,10.39
23W28,83.2,10.11
23W27,79.2,9.26
23W26,79.5,8.96
23W25,77.9,8.47
23W24,77.7,8.17
23W23,79.7,8.1
23W22,79.3,7.81
23W21,80.1,7.64
23W20,80.2,7.42
23W19,78.6,7.07
23W18,88.9,7.77
23W17,90.4,7.68
23W16,89.9,7.44
23W15,93.5,7.53
23W14,98.6,7.74
23W13,99.4,7.61
23W12,109.5,8.18
23W11,108.0,7.88
23W10,113.5,8.09
23W09,117.0,8.16
23W08,111.5,7.6
23W07,95.0,6.34
23W06,96.5,6.3
23W05,96.6,6.18
23W03,98.2,6.16
23W02,98.6,6.06
23W01,98.9,5.96
22W53,94.9,5.61
22W52,94.7,5.64
22W51,97.0,5.82
22W50,100.5,6.08
22W49,102.0,6.22
22W48,97.7,6.01
22W47,96.3,5.97
22W46,97.7,6.11
22W45,98.9,6.24
22W44,91.1,5.79
22W43,89.2,5.72
22W42,88.3,5.71
22W41,91.1,5.94
22W40,91.8,6.04
22W39,97.5,6.47
22W38,103.0,6.9
22W37,105.0,7.1
22W36,110.5,7.54
22W35,95.0,6.54
22W34,92.6,6.43
22W33,91.7,6.43
22W32,84.5,5.98
22W31,82.1,5.87
22W30,79.6,5.74
22W29,77.2,5.62
22W28,79.6,5.85
22W27,73.5,5.46
22W26,79.7,5.98
22W25,82.5,6.25
22W24,89.1,6.82
22W23,94.5,7.31
22W22,90.8,7.09
22W21,93.6,7.39
22W20,87.9,7.01
22W19,90.2,7.27
22W18,85.2,6.94
22W17,89.7,7.39
22W16,82.4,6.86
22W15,81.7,6.88
22W14,79.5,6.77
22W13,78.4,6.76
22W12,78.4,6.83
22W11,77.0,6.79
22W10,85.4,7.62
22W09,84.4,7.62
22W08,84.6,7.73
22W07,85.3,7.89
22W05,80.0,7.49
22W04,75.5,7.16
22W03,73.2,7.03
22W02,75.6,7.36
22W01,75.0,7.39
21W52,74.2,7.41
21W51,74.8,7.55
21W50,75.8,7.72
21W49,74.1,7.63
21W48,76.0,7.9
21W47,76.7,8.06
21W46,76.6,8.13
21W45,78.8,8.45
21W44,79.0,8.56
21W43,76.4,8.37
21W42,75.4,8.35
21W41,76.4,8.55
21W40,76.0,8.6
21W39,77.2,8.83
21W38,74.1,8.57
21W37,71.5,8.37
21W36,75.7,8.96
21W35,77.2,9.25
21W34,76.1,9.22
21W33,84.8,10.4
21W32,90.8,11.27
21W31,75.1,9.44
21W30,81.3,10.34
21W29,81.6,10.51
21W28,81.0,10.57
21W27,84.0,11.1
21W26,84.4,11.3
21W25,85.8,11.64
21W24,86.9,11.94
21W23,78.4,10.92
21W22,73.0,10.31
21W21,65.3,9.35
21W20,64.0,9.3
21W19,84.8,12.49
21W18,84.6,12.65
21W17,71.6,10.86
21W16,70.8,10.9
21W15,70.2,10.97
21W14,63.5,10.08
21W13,61.6,9.93
21W12,61.3,10.04
21W11,61.0,10.16
21W10,64.5,10.92
21W09,56.0,9.64
21W08,48.0,8.4
21W06,43.2,7.69
21W05,42.05,7.62
21W04,39.4,7.27
21W03,39.65,7.45
21W02,40.15,7.68
21W01,40.8,7.96
20W52,40.1,7.97
20W51,40.3,8.01
20W50,43.05,8.56
20W49,42.85,8.52
20W48,42.7,8.49
20W47,43.75,8.7
20W46,42.9,8.53
20W45,39.8,7.91
20W44,38.7,7.69
20W43,39.7,7.89
20W42,37.7,7.5
20W41,40.75,8.1
20W40,39.15,7.78
20W39,36.55,7.27
20W38,40.0,7.95
20W37,38.5,7.65
20W36,38.35,7.62
20W35,32.65,6.49
20W34,30.9,6.14
20W33,30.85,6.13
20W32,30.5,6.06
20W31,30.5,6.06
20W30,31.1,6.18
20W29,31.2,6.2
20W28,31.15,6.19
20W27,31.15,6.19
20W26,33.95,6.75
20W25,34.4,6.84
20W24,33.0,6.56
20W23,34.25,6.81
20W22,33.6,6.68
20W21,32.8,6.52
20W20,32.1,6.38
20W19,32.5,6.46
20W18,32.95,6.55
20W17,30.95,6.15
20W16,32.15,6.39
20W15,30.85,6.13
20W14,29.95,5.95
20W13,30.4,6.04
20W12,28.8,5.73
20W11,30.8,6.12
20W10,37.55,7.47
20W09,36.7,7.3
20W08,37.6,7.48
20W07,37.2,7.4
20W06,37.1,7.38
20W05,37.8,7.51
20W04,39.9,7.93
20W03,40.0,7.95
20W02,40.0,7.95
20W01,40.1,7.97
