Date,Price,PER
25W01,42.35,14.36
24W52,41.75,14.15
24W51,41.5,14.07
24W50,42.25,14.33
24W49,41.45,14.07
24W48,42.0,14.26
24W47,42.0,14.27
24W46,42.05,14.29
24W45,42.5,14.45
24W44,42.6,14.49
24W43,42.65,14.51
24W42,43.0,14.63
24W41,43.05,14.66
24W40,43.2,14.71
24W39,42.85,14.6
24W38,43.0,14.66
24W37,41.95,14.3
24W36,43.65,14.89
24W35,44.05,15.03
24W34,43.8,14.95
24W33,43.0,14.69
24W32,43.5,14.86
24W31,43.4,14.83
24W30,44.15,15.1
24W29,44.7,15.29
24W28,47.1,16.12
24W27,46.15,15.8
24W26,46.0,15.75
24W25,45.8,15.69
24W24,45.5,15.59
24W23,45.45,15.58
24W22,45.5,15.61
24W21,45.5,15.61
24W20,45.1,15.48
24W19,45.2,15.52
24W18,42.95,14.76
24W17,42.95,14.76
24W16,42.8,14.72
24W15,42.85,14.74
24W14,43.2,14.87
24W13,43.3,14.91
24W12,42.75,14.72
24W11,43.5,14.99
24W10,40.95,14.11
24W09,41.0,14.14
24W08,40.5,13.97
24W07,40.6,14.01
24W06,40.7,14.05
24W05,40.7,14.05
24W04,40.3,13.92
24W03,40.45,13.98
24W02,40.8,14.11
24W01,40.65,14.06
23W52,40.7,14.08
23W51,40.35,14.01
23W50,40.5,14.1
23W49,40.4,14.11
23W48,40.3,14.12
23W47,39.95,14.04
23W46,39.6,13.96
23W45,39.7,14.04
23W44,39.9,14.16
23W43,39.5,14.06
23W42,39.85,14.23
23W41,39.65,14.21
23W40,39.7,14.27
23W39,39.5,14.25
23W38,40.0,14.47
23W37,40.1,14.56
23W36,39.8,14.5
23W35,39.8,14.54
23W34,39.75,14.57
23W33,39.55,14.55
23W32,39.7,14.65
23W31,40.4,14.96
23W30,40.45,15.03
23W29,42.3,15.77
23W28,42.3,15.82
23W27,42.5,15.95
23W26,42.5,16.0
23W25,42.9,16.21
23W24,42.3,16.04
23W23,42.6,16.21
23W22,43.0,16.42
23W21,43.0,16.47
23W20,42.0,16.15
23W19,41.5,16.01
23W18,41.5,16.06
23W17,41.5,16.12
23W16,40.95,15.96
23W15,40.4,15.8
23W14,39.85,15.64
23W13,39.8,15.68
23W12,39.4,15.58
23W11,38.75,15.38
23W10,39.6,15.77
23W09,39.6,15.83
23W08,39.85,15.98
23W07,37.95,15.28
23W06,37.35,15.09
23W05,37.85,15.35
23W03,38.2,15.55
23W02,37.9,15.48
23W01,37.55,15.4
22W53,37.1,15.27
22W52,37.5,15.3
22W51,37.75,15.28
22W50,37.55,15.07
22W49,37.9,15.09
22W48,38.15,15.06
22W47,38.1,14.92
22W46,39.0,15.15
22W45,39.2,15.11
22W44,39.0,14.91
22W43,37.6,14.27
22W42,39.1,14.72
22W41,38.45,14.36
22W40,38.4,14.24
22W39,38.5,14.16
22W38,39.25,14.33
22W37,40.3,14.61
22W36,40.95,14.73
22W35,40.75,14.55
22W34,40.7,14.43
22W33,42.2,14.85
22W32,41.0,14.33
22W31,43.95,15.25
22W30,43.4,14.95
22W29,45.4,15.53
22W28,46.5,15.79
22W27,46.9,15.82
22W26,47.0,15.74
22W25,46.85,15.58
22W24,47.9,15.83
22W23,47.5,15.59
22W22,47.0,15.32
22W21,45.9,14.86
22W20,46.3,14.89
22W19,47.25,15.1
22W18,47.25,15.0
22W17,47.4,14.95
22W16,48.0,15.04
22W15,47.9,14.91
22W14,48.65,15.05
22W13,48.85,15.02
22W12,48.8,14.91
22W11,48.6,14.75
22W10,48.15,14.53
22W09,47.8,14.33
22W08,47.7,14.21
22W07,47.8,14.16
22W05,47.5,13.98
22W04,47.5,13.9
22W03,47.1,13.7
22W02,47.85,13.83
22W01,48.0,13.8
21W52,48.3,13.8
21W51,48.15,13.74
